"tick","Dead","InfectedvA","InfectedvB","Quarantined","Recovered","Susceptible","Vaccinated"
1.0,0,5,6,0,0,999,0
2.0,0,8,7,0,0,995,0
3.0,0,11,7,0,0,992,0
4.0,0,10,7,0,1,992,0
5.0,0,12,7,0,1,990,0
6.0,0,12,7,0,1,990,0
7.0,0,13,10,0,1,986,0
8.0,0,13,11,0,1,985,0
9.0,0,13,12,0,1,984,0
10.0,0,14,11,0,2,983,0
11.0,0,15,12,0,2,981,0
12.0,0,20,16,0,3,971,0
13.0,0,20,16,0,3,971,0
14.0,0,21,17,0,3,969,0
15.0,0,23,16,0,5,966,0
16.0,0,26,17,0,5,962,0
17.0,0,32,17,0,6,955,0
18.0,0,33,20,0,7,950,0
19.0,0,38,21,0,9,942,0
20.0,0,47,23,0,9,931,0
21.0,0,46,22,0,17,925,0
22.0,0,50,22,0,18,920,0
23.0,0,48,22,0,23,917,0
24.0,0,47,25,0,26,912,0
25.0,0,50,29,0,26,905,0
26.0,0,51,29,0,30,900,0
27.0,0,57,30,0,30,893,0
28.0,0,67,32,0,31,880,0
29.0,0,71,34,0,32,873,0
30.0,0,74,36,0,33,867,0
31.0,0,75,39,0,37,859,0
32.0,0,81,41,0,39,849,0
33.0,0,84,37,0,48,841,0
34.0,0,87,40,0,49,834,0
35.0,0,88,42,0,54,826,0
36.0,0,92,47,0,56,815,0
37.0,0,94,50,0,60,806,0
38.0,0,93,55,0,67,795,0
39.0,0,95,55,0,71,789,0
40.0,0,96,53,0,78,783,0
41.0,0,94,55,0,89,772,0
42.0,0,98,55,0,94,763,0
43.0,0,96,56,0,99,759,0
44.0,0,96,56,0,102,756,0
45.0,0,97,56,0,107,750,0
46.0,0,98,60,0,114,738,0
47.0,0,99,62,0,121,728,0
48.0,0,98,65,0,127,720,0
49.0,0,96,67,0,138,709,0
50.0,0,98,65,0,146,701,0
51.0,0,99,64,0,154,693,0
52.0,0,98,59,0,166,687,0
53.0,0,97,62,0,174,677,0
54.0,0,94,65,0,182,669,0
55.0,0,98,64,0,187,661,0
56.0,0,98,64,0,195,653,0
57.0,0,93,62,0,209,646,0
58.0,0,93,61,0,216,640,0
59.0,0,97,56,0,226,631,0
60.0,0,100,55,0,230,625,0
61.0,0,97,59,0,237,617,0
62.0,0,94,59,0,246,611,0
63.0,0,90,62,0,254,604,0
64.0,0,94,60,0,261,595,0
65.0,0,92,59,0,266,593,0
66.0,0,92,58,0,273,587,0
67.0,0,88,51,0,286,585,0
68.0,0,88,51,0,300,571,0
69.0,0,86,49,0,309,566,0
70.0,0,93,46,0,317,554,0
71.0,0,95,45,0,325,545,0
72.0,0,97,45,0,333,535,0
73.0,0,97,47,0,341,525,0
74.0,0,95,46,0,352,517,0
75.0,0,95,43,0,361,511,0
76.0,0,98,45,0,368,499,0
77.0,0,96,43,0,375,496,0
78.0,0,96,38,0,383,493,0
79.0,0,99,40,0,387,484,0
80.0,0,102,40,0,391,477,0
81.0,0,105,43,0,399,463,0
82.0,0,108,42,0,406,454,0
83.0,0,109,41,0,413,447,0
84.0,0,111,40,0,420,439,0
85.0,0,110,40,0,428,432,0
86.0,0,110,40,0,433,427,0
87.0,0,112,37,0,441,420,0
88.0,0,113,36,0,445,416,0
89.0,0,107,33,0,459,411,0
90.0,0,110,34,0,463,403,0
91.0,0,104,35,0,472,399,0
92.0,0,100,34,0,480,396,0
93.0,0,96,33,0,492,389,0
94.0,0,95,31,0,501,383,0
95.0,0,96,29,0,510,375,0
96.0,0,96,28,0,515,371,0
97.0,0,91,27,0,523,369,0
98.0,0,94,27,0,525,364,0
99.0,0,92,29,0,528,361,0
100.0,0,92,27,0,535,356,0
101.0,0,86,26,0,544,354,0
102.0,0,81,22,0,557,350,0
103.0,0,75,20,0,567,348,0
104.0,0,73,20,0,573,344,0
105.0,0,69,17,0,581,343,0
106.0,0,66,18,0,586,340,0
107.0,0,64,20,0,590,336,0
108.0,0,60,22,0,596,332,0
109.0,0,57,22,0,602,329,0
110.0,0,58,21,0,607,324,0
111.0,0,55,19,0,614,322,0
112.0,0,57,17,0,618,318,0
113.0,0,57,17,0,621,315,0
114.0,0,53,13,0,631,313,0
115.0,0,56,14,0,634,306,0
116.0,0,53,13,0,641,303,0
117.0,0,56,13,0,644,297,0
118.0,0,58,13,0,646,293,0
119.0,0,53,12,0,652,293,0
120.0,0,55,11,0,654,290,0
121.0,0,51,12,0,658,289,0
122.0,0,48,13,0,662,287,0
123.0,0,46,14,0,666,284,0
124.0,0,47,14,0,669,280,0
125.0,0,44,13,0,673,280,0
126.0,0,44,13,0,674,279,0
127.0,0,45,11,0,677,277,0
128.0,0,45,9,0,682,274,0
129.0,0,44,7,0,686,273,0
130.0,0,44,8,0,689,269,0
131.0,0,41,7,0,693,269,0
132.0,0,45,7,0,694,264,0
133.0,0,42,8,0,700,260,0
134.0,0,37,8,0,705,260,0
135.0,0,37,8,0,706,259,0
136.0,0,34,7,0,712,257,0
137.0,0,33,7,0,714,256,0
138.0,0,34,6,0,718,252,0
139.0,0,33,6,0,721,250,0
140.0,0,34,6,0,721,249,0
141.0,0,33,7,0,724,246,0
142.0,0,35,6,0,725,244,0
143.0,0,37,5,0,727,241,0
144.0,0,36,4,0,729,241,0
145.0,0,35,4,0,731,240,0
146.0,0,35,4,0,732,239,0
147.0,0,34,4,0,733,239,0
148.0,0,34,4,0,734,238,0
149.0,0,33,3,0,738,236,0
150.0,0,31,3,0,740,236,0
151.0,0,31,2,0,744,233,0
152.0,0,32,2,0,744,232,0
153.0,0,29,2,0,749,230,0
154.0,0,26,1,0,755,228,0
155.0,0,27,1,0,755,227,0
156.0,0,26,1,0,756,227,0
157.0,0,24,1,0,758,227,0
158.0,0,25,1,0,758,226,0
159.0,0,22,1,0,762,225,0
160.0,0,23,1,0,763,223,0
161.0,0,23,1,0,763,223,0
162.0,0,21,0,0,767,222,0
163.0,0,21,0,0,769,220,0
164.0,0,20,0,0,771,219,0
165.0,0,20,0,0,771,219,0
166.0,0,20,0,0,772,218,0
167.0,0,21,0,0,773,216,0
168.0,0,21,0,0,773,216,0
169.0,0,20,0,0,774,216,0
