"tick","Dead","InfectedvA","InfectedvB","Quarantined","Recovered","Susceptible","Vaccinated"
1.0,0,11,13,0,0,996,0
2.0,0,11,13,0,0,996,0
3.0,0,12,16,0,0,992,0
4.0,0,12,20,0,1,987,0
5.0,0,12,23,0,1,984,0
6.0,0,13,24,0,1,982,0
7.0,0,12,27,0,3,978,0
8.0,0,12,28,0,3,977,0
9.0,0,11,32,0,4,973,0
10.0,0,11,33,0,5,971,0
11.0,0,11,35,0,5,969,0
12.0,0,13,35,0,5,967,0
13.0,0,12,35,0,7,966,0
14.0,0,12,36,0,7,965,0
15.0,0,14,39,0,7,960,0
16.0,0,16,39,0,8,957,0
17.0,1,15,41,0,8,955,0
18.0,1,15,43,0,9,952,0
19.0,1,15,46,0,9,949,0
20.0,1,15,52,0,10,942,0
21.0,1,9,48,0,26,936,0
22.0,1,9,49,0,28,933,0
23.0,1,10,52,0,28,929,0
24.0,1,9,56,0,32,922,0
25.0,1,9,55,0,36,919,0
26.0,1,9,56,0,38,916,0
27.0,1,10,58,0,40,911,0
28.0,1,13,56,0,44,906,0
29.0,1,17,56,0,47,899,0
30.0,1,18,56,0,51,894,0
31.0,1,17,57,0,53,892,0
32.0,1,18,63,0,57,881,0
33.0,1,18,66,0,59,876,0
34.0,1,21,66,0,61,871,0
35.0,1,24,71,0,63,861,0
36.0,1,22,73,0,69,855,0
37.0,1,20,73,0,72,854,0
38.0,1,20,75,0,74,850,0
39.0,1,22,82,0,76,839,0
40.0,1,22,86,0,79,832,0
41.0,1,22,83,0,87,827,0
42.0,1,21,79,0,94,825,0
43.0,1,20,80,0,97,822,0
44.0,1,19,80,0,102,818,0
45.0,1,19,80,0,109,811,0
46.0,1,19,80,0,112,808,0
47.0,1,19,85,0,115,800,0
48.0,1,19,82,0,121,797,0
49.0,1,22,86,0,126,785,0
50.0,1,19,92,0,131,777,0
51.0,1,22,94,0,135,768,0
52.0,1,24,93,0,139,763,0
53.0,1,22,85,0,155,757,0
54.0,1,21,84,0,161,753,0
55.0,1,18,90,0,166,745,0
56.0,1,18,91,0,173,737,0
57.0,1,21,92,0,179,727,0
58.0,1,21,96,0,180,722,0
59.0,1,22,95,0,185,717,0
60.0,1,23,88,0,194,714,0
61.0,1,24,85,0,199,711,0
62.0,1,24,86,0,204,705,0
63.0,1,25,86,0,207,701,0
64.0,1,27,90,0,209,693,0
65.0,1,28,91,0,213,687,0
66.0,1,28,92,0,220,679,0
67.0,1,28,93,0,223,675,0
68.0,1,28,91,0,232,668,0
69.0,1,27,92,0,236,664,0
70.0,1,21,94,0,247,657,0
71.0,1,20,93,0,255,651,0
72.0,1,17,91,0,262,649,0
73.0,1,17,92,0,265,645,0
74.0,1,17,90,0,270,642,0
75.0,1,17,91,0,274,637,0
76.0,2,16,90,0,281,631,0
77.0,2,14,84,0,289,631,0
78.0,2,10,82,0,299,627,0
79.0,2,11,80,0,303,624,0
80.0,2,9,80,0,309,620,0
81.0,2,6,81,0,312,619,0
82.0,2,6,82,0,315,615,0
83.0,2,4,83,0,321,610,0
84.0,2,3,80,0,326,609,0
85.0,2,1,75,0,334,608,0
86.0,2,1,72,0,339,606,0
87.0,2,1,64,0,347,606,0
88.0,2,1,59,0,353,605,0
89.0,2,1,57,0,357,603,0
90.0,2,1,54,0,363,600,0
91.0,2,1,49,0,369,599,0
92.0,2,1,42,0,376,599,0
93.0,2,1,42,0,377,598,0
94.0,2,1,42,0,381,594,0
95.0,2,0,39,0,385,594,0
96.0,2,0,38,0,388,592,0
97.0,2,0,33,0,393,592,0
98.0,2,0,34,0,394,590,0
99.0,2,0,32,0,397,589,0
100.0,2,0,31,0,398,589,0
101.0,2,0,28,0,401,589,0
102.0,2,0,27,0,402,589,0
103.0,2,0,24,0,405,589,0
104.0,2,0,21,0,410,587,0
105.0,2,0,19,0,412,587,0
106.0,2,0,19,0,413,586,0
107.0,2,0,20,0,414,584,0
108.0,2,0,20,0,414,584,0
109.0,2,0,20,0,415,583,0
110.0,2,0,20,0,417,581,0
111.0,2,0,20,0,419,579,0
112.0,2,0,19,0,421,578,0
113.0,2,0,20,0,421,577,0
114.0,2,0,21,0,422,575,0
115.0,2,0,16,0,427,575,0
116.0,2,0,16,0,427,575,0
117.0,2,0,16,0,429,573,0
118.0,2,0,17,0,429,572,0
