"tick","Dead","InfectedvA","InfectedvB","Quarantined","Recovered","Susceptible","Vaccinated"
1.0,0,7,5,0,0,998,0
2.0,0,8,6,0,0,996,0
3.0,0,10,8,0,0,992,0
4.0,0,11,9,0,0,990,0
5.0,0,13,9,0,0,988,0
6.0,0,16,9,0,0,985,0
7.0,0,18,12,0,0,980,0
8.0,0,19,13,0,0,978,0
9.0,0,21,15,0,0,974,0
10.0,0,25,20,0,0,965,0
11.0,0,26,20,0,0,964,0
12.0,0,31,25,0,1,953,0
13.0,0,35,26,0,2,947,0
14.0,0,38,29,0,3,940,0
15.0,0,41,33,0,3,933,0
16.0,0,48,38,0,4,920,0
17.0,0,52,41,0,4,913,0
18.0,0,59,44,0,5,902,0
19.0,0,67,46,0,5,892,0
20.0,0,73,53,0,6,878,0
21.0,0,73,50,0,17,870,0
22.0,0,72,53,0,21,864,0
23.0,0,73,53,0,26,858,0
24.0,0,78,53,0,31,848,0
25.0,0,78,56,0,35,841,0
26.0,0,82,62,0,37,829,0
27.0,0,83,60,0,43,824,0
28.0,0,84,62,0,49,815,0
29.0,0,85,62,0,55,808,0
30.0,0,86,69,0,60,795,0
31.0,0,86,73,0,65,786,0
32.0,0,91,77,0,68,774,0
33.0,0,97,77,0,77,759,0
34.0,0,96,80,0,82,752,0
35.0,0,94,82,0,90,744,0
36.0,1,95,82,0,99,733,0
37.0,1,92,86,0,110,721,0
38.0,1,91,89,0,118,711,0
39.0,1,90,92,0,128,699,0
40.0,1,95,94,0,134,686,0
41.0,1,93,89,0,145,682,0
42.0,1,95,91,0,153,670,0
43.0,1,100,99,0,161,649,0
44.0,1,103,98,0,169,639,0
45.0,1,96,104,0,182,627,0
46.0,1,95,104,0,192,618,0
47.0,1,92,102,0,204,611,0
48.0,1,92,104,0,209,604,0
49.0,1,89,103,0,220,597,0
50.0,1,94,105,0,226,584,0
51.0,1,91,101,0,238,579,0
52.0,1,90,98,0,249,572,0
53.0,1,91,98,0,259,561,0
54.0,1,84,101,0,273,551,0
55.0,1,87,103,0,280,539,0
56.0,1,89,100,0,290,530,0
57.0,1,93,97,0,297,522,0
58.0,1,93,93,0,308,515,0
59.0,1,94,89,0,318,508,0
60.0,1,94,82,0,329,504,0
61.0,1,88,83,0,342,496,0
62.0,1,87,85,0,346,491,0
63.0,1,86,84,0,358,481,0
64.0,1,78,74,0,378,479,0
65.0,1,79,73,0,386,471,0
66.0,1,80,65,0,398,466,0
67.0,1,76,65,0,410,458,0
68.0,1,77,66,0,416,450,0
69.0,1,74,65,0,427,443,0
70.0,1,74,63,0,434,438,0
71.0,1,73,61,0,444,431,0
72.0,1,75,59,0,449,426,0
73.0,1,73,60,0,456,420,0
74.0,1,69,58,0,466,416,0
75.0,1,68,54,0,474,413,0
76.0,1,64,50,0,485,410,0
77.0,1,62,49,0,493,405,0
78.0,1,62,49,0,501,397,0
79.0,1,66,49,0,509,385,0
80.0,1,61,52,0,514,382,0
81.0,1,59,54,0,519,377,0
82.0,1,60,58,0,525,366,0
83.0,1,59,59,0,530,361,0
84.0,1,55,58,0,539,357,0
85.0,1,54,58,0,541,356,0
86.0,1,51,58,0,549,351,0
87.0,1,47,57,0,555,350,0
88.0,1,44,55,0,562,348,0
89.0,1,43,53,0,568,345,0
90.0,1,42,50,0,573,344,0
91.0,1,40,54,0,578,337,0
92.0,1,39,54,0,586,330,0
93.0,1,37,51,0,593,328,0
94.0,1,36,51,0,599,323,0
95.0,1,40,49,0,604,316,0
96.0,1,40,48,0,606,315,0
97.0,1,40,47,0,609,313,0
98.0,1,37,45,0,616,311,0
99.0,1,37,41,0,625,306,0
100.0,1,31,39,0,634,305,0
101.0,1,32,39,0,636,302,0
102.0,1,29,39,0,640,301,0
103.0,1,27,34,0,648,300,0
104.0,1,26,33,0,653,297,0
105.0,1,24,33,0,657,295,0
106.0,1,26,34,0,658,291,0
107.0,1,23,30,0,665,291,0
108.0,1,23,30,0,668,288,0
109.0,1,22,30,0,670,287,0
110.0,1,21,31,0,673,284,0
111.0,1,21,32,0,673,283,0
112.0,1,21,29,0,677,282,0
113.0,1,18,26,0,683,282,0
114.0,1,16,28,0,685,280,0
115.0,1,16,27,0,688,278,0
116.0,1,12,26,0,694,277,0
117.0,1,12,29,0,694,274,0
118.0,1,12,27,0,696,274,0
119.0,1,11,25,0,699,274,0
120.0,1,7,24,0,705,273,0
121.0,1,7,23,0,706,273,0
122.0,1,6,22,0,709,272,0
123.0,1,7,22,0,710,270,0
124.0,1,6,22,0,711,270,0
125.0,1,5,19,0,715,270,0
126.0,1,5,19,0,717,268,0
127.0,1,4,19,0,720,266,0
128.0,1,4,19,0,721,265,0
129.0,1,3,17,0,724,265,0
130.0,1,3,17,0,725,264,0
131.0,1,2,14,0,729,264,0
132.0,1,2,15,0,730,262,0
133.0,1,2,14,0,731,262,0
134.0,1,3,13,0,732,261,0
135.0,1,3,11,0,734,261,0
136.0,1,3,13,0,734,259,0
137.0,1,3,13,0,734,259,0
138.0,1,3,10,0,737,259,0
139.0,1,4,10,0,737,258,0
140.0,1,4,10,0,737,258,0
141.0,1,4,12,0,737,256,0
142.0,1,4,12,0,737,256,0
143.0,1,5,12,0,738,254,0
144.0,1,4,12,0,741,252,0
145.0,1,4,13,0,741,251,0
146.0,1,4,13,0,741,251,0
147.0,1,3,13,0,743,250,0
148.0,1,3,11,0,745,250,0
149.0,1,3,11,0,745,250,0
150.0,1,3,11,0,745,250,0
151.0,1,3,11,0,745,250,0
152.0,1,3,10,0,746,250,0
153.0,1,3,8,0,748,250,0
154.0,1,3,9,0,748,249,0
155.0,1,2,8,0,750,249,0
156.0,1,2,8,0,750,249,0
157.0,1,2,7,0,751,249,0
158.0,1,2,7,0,751,249,0
159.0,1,2,7,0,751,249,0
160.0,1,1,7,0,752,249,0
161.0,1,1,7,0,752,249,0
162.0,1,1,5,0,754,249,0
163.0,1,1,5,0,754,249,0
164.0,1,0,4,0,756,249,0
165.0,1,0,3,0,757,249,0
166.0,1,0,2,0,758,249,0
167.0,1,0,2,0,758,249,0
168.0,1,0,1,0,759,249,0
169.0,1,0,1,0,759,249,0
170.0,1,0,1,0,759,249,0
171.0,1,0,1,0,759,249,0
172.0,1,0,1,0,759,249,0
173.0,1,0,2,0,759,248,0
174.0,1,0,2,0,759,248,0
175.0,1,0,1,0,760,248,0
176.0,1,0,1,0,760,248,0
177.0,1,0,1,0,760,248,0
