"tick","Dead","InfectedvA","InfectedvB","Quarantined","Recovered","Susceptible","Vaccinated"
1.0,0,7,6,0,0,997,0
2.0,0,8,7,0,0,995,0
3.0,0,10,7,0,0,993,0
4.0,0,12,8,0,0,990,0
5.0,0,13,8,0,0,989,0
6.0,0,16,8,0,0,986,0
7.0,0,18,10,0,0,982,0
8.0,0,19,13,0,0,978,0
9.0,0,20,14,0,0,976,0
10.0,0,21,15,0,0,974,0
11.0,0,24,19,0,0,967,0
12.0,0,23,23,0,3,961,0
13.0,0,26,23,0,4,957,0
14.0,0,26,26,0,5,953,0
15.0,0,26,30,0,6,948,0
16.0,0,30,31,0,6,943,0
17.0,0,32,32,0,7,939,0
18.0,0,34,34,0,9,933,0
19.0,0,35,36,0,10,929,0
20.0,0,37,39,0,10,924,0
21.0,0,34,37,0,19,920,0
22.0,0,32,38,0,23,917,0
23.0,0,38,38,0,26,908,0
24.0,0,40,39,0,29,902,0
25.0,0,40,37,0,33,900,0
26.0,0,46,39,0,34,891,0
27.0,0,49,43,0,36,882,0
28.0,0,49,42,0,41,878,0
29.0,0,51,45,0,44,870,0
30.0,0,54,49,0,49,858,0
31.0,0,60,57,0,49,844,0
32.0,0,65,59,0,55,831,0
33.0,0,68,58,0,59,825,0
34.0,0,72,63,0,64,811,0
35.0,0,80,62,0,68,800,0
36.0,0,84,63,0,72,791,0
37.0,0,82,65,0,77,786,0
38.0,0,88,68,0,82,772,0
39.0,0,92,70,0,87,761,0
40.0,0,100,75,0,93,742,0
41.0,0,106,77,0,98,729,0
42.0,0,107,83,0,103,717,0
43.0,0,107,84,0,106,713,0
44.0,0,105,92,0,115,698,0
45.0,0,103,98,0,123,686,0
46.0,0,108,101,0,128,673,0
47.0,0,105,105,0,136,664,0
48.0,0,105,107,0,145,653,0
49.0,0,109,110,0,150,641,0
50.0,0,109,113,0,163,625,0
51.0,0,109,113,0,175,613,0
52.0,0,104,109,0,191,606,0
53.0,0,102,108,0,202,598,0
54.0,0,108,111,0,206,585,0
55.0,0,107,118,0,219,566,0
56.0,0,105,121,0,231,553,0
57.0,0,105,121,0,238,546,0
58.0,0,107,122,0,246,535,0
59.0,0,104,123,0,259,524,0
60.0,0,101,121,0,273,515,0
61.0,0,92,119,0,292,507,0
62.0,0,88,117,0,304,501,0
63.0,0,86,114,0,319,491,0
64.0,0,86,113,0,326,485,0
65.0,0,82,114,0,338,476,0
66.0,0,83,111,0,351,465,0
67.0,0,80,111,0,360,459,0
68.0,0,84,108,0,368,450,0
69.0,0,84,109,0,377,440,0
70.0,0,86,108,0,386,430,0
71.0,0,86,106,0,399,419,0
72.0,0,85,101,0,414,410,0
73.0,0,84,97,0,424,405,0
74.0,0,84,93,0,431,402,0
75.0,0,79,93,0,444,394,0
76.0,0,78,82,0,461,389,0
77.0,0,77,77,0,474,382,0
78.0,0,75,76,0,482,377,0
79.0,0,76,77,0,491,366,0
80.0,0,73,76,0,499,362,0
81.0,0,72,73,0,508,357,0
82.0,0,74,73,0,516,347,0
83.0,0,73,78,0,521,338,0
84.0,0,68,74,0,531,337,0
85.0,0,69,74,0,538,329,0
86.0,0,74,71,0,547,318,0
87.0,0,75,66,0,560,309,0
88.0,0,77,64,0,566,303,0
89.0,0,77,63,0,573,297,0
90.0,0,77,59,0,582,292,0
91.0,0,72,59,0,592,287,0
92.0,0,68,56,0,601,285,0
93.0,0,66,53,0,608,283,0
94.0,0,65,57,0,611,277,0
95.0,0,64,60,0,616,270,0
96.0,0,63,56,0,627,264,0
97.0,0,59,56,0,632,263,0
98.0,0,56,53,0,641,260,0
99.0,0,56,50,0,646,258,0
100.0,0,53,46,0,657,254,0
101.0,0,53,42,0,662,253,0
102.0,0,53,42,0,665,250,0
103.0,0,47,37,0,676,250,0
104.0,0,44,34,0,684,248,0
105.0,0,44,34,0,686,246,0
106.0,0,41,33,0,693,243,0
107.0,0,37,33,0,701,239,0
108.0,0,28,32,0,713,237,0
109.0,0,24,31,0,719,236,0
110.0,0,21,31,0,724,234,0
111.0,0,19,30,0,730,231,0
112.0,0,19,29,0,733,229,0
113.0,0,19,27,0,736,228,0
114.0,0,17,27,0,739,227,0
115.0,0,18,27,0,740,225,0
116.0,0,17,24,0,745,224,0
117.0,0,15,24,0,749,222,0
118.0,0,15,24,0,749,222,0
119.0,0,15,25,0,751,219,0
120.0,0,15,24,0,752,219,0
121.0,0,14,21,0,756,219,0
122.0,0,13,21,0,757,219,0
123.0,0,10,22,0,761,217,0
124.0,0,10,23,0,761,216,0
125.0,0,8,22,0,764,216,0
126.0,0,8,20,0,766,216,0
127.0,0,7,18,0,769,216,0
128.0,0,7,15,0,772,216,0
129.0,0,6,13,0,775,216,0
130.0,0,5,15,0,776,214,0
131.0,0,5,13,0,778,214,0
132.0,0,3,12,0,781,214,0
133.0,0,3,11,0,783,213,0
134.0,0,2,10,0,785,213,0
135.0,0,2,9,0,786,213,0
136.0,0,1,9,0,788,212,0
