"tick","Dead","Hospital","InfectedvA","InfectedvB","Susceptible","Vaccinatated","Recovered"
1.0,0,1,11,11,998,0,0
2.0,0,1,12,11,997,0,0
3.0,0,1,12,11,997,0,0
4.0,0,1,12,11,997,0,0
5.0,0,1,14,16,990,0,0
6.0,0,1,14,17,989,0,0
7.0,0,1,15,16,987,0,2
8.0,0,1,15,16,987,0,2
9.0,0,1,17,20,981,0,2
10.0,0,1,17,21,980,0,2
11.0,0,1,17,23,978,0,2
12.0,0,1,18,26,974,0,2
13.0,0,1,20,29,969,0,2
14.0,0,1,20,36,962,0,2
15.0,0,1,22,43,951,0,4
16.0,0,1,23,47,945,0,5
17.0,0,1,24,48,942,0,6
18.0,0,1,24,49,940,0,7
19.0,0,1,23,51,937,0,9
20.0,0,1,27,52,932,0,9
21.0,0,1,21,46,927,0,26
22.0,0,1,21,48,923,0,28
23.0,0,1,21,52,918,0,29
24.0,0,1,21,56,914,0,29
25.0,0,1,21,59,910,0,30
26.0,0,1,19,62,904,0,35
27.0,0,1,19,66,898,0,37
28.0,0,1,19,69,892,0,40
29.0,0,1,21,70,886,0,43
30.0,0,1,19,74,878,0,49
31.0,0,1,20,79,871,0,50
32.0,0,1,21,79,866,0,54
33.0,0,1,20,79,863,0,58
34.0,0,1,18,82,857,0,63
35.0,0,1,19,78,852,0,71
36.0,0,1,16,74,850,0,80
37.0,0,1,15,71,848,0,86
38.0,0,1,16,77,840,0,87
39.0,0,1,18,80,833,0,89
40.0,0,1,19,83,827,0,91
41.0,0,1,19,83,821,0,97
42.0,0,1,18,88,813,0,101
43.0,0,1,18,87,810,0,105
44.0,0,1,18,86,806,0,110
45.0,0,1,18,84,804,0,114
46.0,0,1,19,84,799,0,118
47.0,0,1,21,82,796,0,121
48.0,0,1,22,82,789,0,127
49.0,0,1,23,79,785,0,133
50.0,0,1,21,81,779,0,139
51.0,0,1,20,78,774,0,148
52.0,0,1,19,74,771,0,156
53.0,0,1,20,72,768,0,160
54.0,0,1,22,70,765,0,163
55.0,0,1,22,66,763,0,169
56.0,0,1,20,63,761,0,176
57.0,0,1,20,63,759,0,178
58.0,0,1,20,65,754,0,181
59.0,0,1,20,60,751,0,189
60.0,0,1,20,60,745,0,195
61.0,0,1,23,59,738,0,200
62.0,0,1,22,55,734,0,209
63.0,0,1,22,50,732,0,216
64.0,0,1,21,48,732,0,219
65.0,0,1,21,46,730,0,223
66.0,0,1,21,47,727,0,225
67.0,0,1,19,45,726,0,230
68.0,0,1,18,47,722,0,233
69.0,0,1,17,42,721,0,240
70.0,0,1,16,43,718,0,243
71.0,0,1,17,40,716,0,247
72.0,0,1,17,39,714,0,250
73.0,0,1,17,37,712,0,254
74.0,0,1,15,35,712,0,258
75.0,0,1,16,36,707,0,261
76.0,0,1,15,36,706,0,263
77.0,0,1,14,37,704,0,265
78.0,0,1,14,36,703,0,267
79.0,0,1,14,35,699,0,272
80.0,0,1,13,34,698,0,275
81.0,0,1,13,32,694,0,281
82.0,0,1,11,32,691,0,286
83.0,0,1,8,34,688,0,290
84.0,0,1,7,33,687,0,293
85.0,0,1,7,34,686,0,293
86.0,0,1,7,35,684,0,294
87.0,0,1,6,34,682,0,298
88.0,0,1,6,35,680,0,299
89.0,0,1,5,35,676,0,304
90.0,0,1,5,33,675,0,307
91.0,0,1,5,30,675,0,310
92.0,0,1,4,29,675,0,312
93.0,0,1,4,29,674,0,313
94.0,0,1,4,32,671,0,313
95.0,0,1,4,35,668,0,313
96.0,0,1,2,33,668,0,317
97.0,0,1,2,31,667,0,320
98.0,0,1,2,32,664,0,322
99.0,0,1,3,32,662,0,323
100.0,0,1,4,28,661,0,327
101.0,0,1,4,28,661,0,327
102.0,0,1,2,26,660,0,332
103.0,0,1,2,25,659,0,334
104.0,0,1,2,24,657,0,337
105.0,0,1,3,23,655,0,339
106.0,0,1,3,22,655,0,340
107.0,0,1,3,20,655,0,342
108.0,0,1,2,21,653,0,344
109.0,0,1,2,21,652,0,345
110.0,0,1,3,20,649,0,348
111.0,0,1,5,20,647,0,348
112.0,0,1,5,20,647,0,348
113.0,0,1,6,21,645,0,348
114.0,0,1,6,20,645,0,349
115.0,0,1,6,20,643,0,351
116.0,0,1,6,19,642,0,353
117.0,0,1,6,20,641,0,353
118.0,0,1,6,23,637,0,354
119.0,0,1,6,19,637,0,358
120.0,0,1,6,21,634,0,359
121.0,0,1,7,24,629,0,360
122.0,0,1,7,27,626,0,360
123.0,0,1,7,26,625,0,362
124.0,0,1,8,26,623,0,363
125.0,0,1,8,26,621,0,365
126.0,0,1,7,26,620,0,367
127.0,0,1,7,26,620,0,367
128.0,0,1,7,26,620,0,367
129.0,0,1,10,25,616,0,369
130.0,0,1,10,25,616,0,369
131.0,0,1,10,24,614,0,372
132.0,0,1,9,23,613,0,375
133.0,0,1,9,23,613,0,375
134.0,0,1,8,25,610,0,377
135.0,0,1,8,25,610,0,377
136.0,0,1,8,26,607,0,379
137.0,0,1,8,24,607,0,381
138.0,0,1,8,23,607,0,382
139.0,0,1,8,24,604,0,384
140.0,0,1,8,26,602,0,384
141.0,0,1,8,24,601,0,387
142.0,0,1,7,23,599,0,391
143.0,0,1,7,21,598,0,394
144.0,0,1,7,23,595,0,395
145.0,0,1,6,22,595,0,397
146.0,0,1,7,20,593,0,400
147.0,0,1,7,18,593,0,402
148.0,0,1,7,18,593,0,402
149.0,0,1,7,19,592,0,402
150.0,0,1,4,19,592,0,405
151.0,0,1,4,21,590,0,405
152.0,0,1,3,20,590,0,407
153.0,0,1,2,20,590,0,408
154.0,0,1,2,21,589,0,408
155.0,0,1,2,17,589,0,412
156.0,0,1,2,19,587,0,412
157.0,0,1,2,17,587,0,414
158.0,0,1,2,17,587,0,414
159.0,0,1,2,17,587,0,414
160.0,0,1,3,14,586,0,417
161.0,0,1,3,12,586,0,419
162.0,0,1,4,11,585,0,420
163.0,0,1,4,10,585,0,421
164.0,0,1,4,11,583,0,422
165.0,0,1,6,8,581,0,425
166.0,0,1,6,8,581,0,425
167.0,0,1,3,8,581,0,428
168.0,0,1,3,8,581,0,428
169.0,0,1,3,8,581,0,428
170.0,0,1,3,8,580,0,429
171.0,0,1,3,8,580,0,429
172.0,0,1,3,6,580,0,431
173.0,0,1,4,6,579,0,431
174.0,0,1,4,6,579,0,431
175.0,0,1,4,5,579,0,432
176.0,0,1,4,5,579,0,432
177.0,0,1,4,3,579,0,434
178.0,0,1,4,3,579,0,434
179.0,0,1,4,3,579,0,434
180.0,0,1,4,3,579,0,434
181.0,0,1,4,3,579,0,434
182.0,0,1,4,3,579,0,434
183.0,0,1,3,4,578,0,435
184.0,0,1,3,4,578,0,435
185.0,0,1,3,2,578,0,437
186.0,0,1,1,2,578,0,439
187.0,0,1,1,3,577,0,439
188.0,0,1,1,3,577,0,439
189.0,0,1,1,3,577,0,439
190.0,0,1,1,4,576,0,439
191.0,0,1,1,3,576,0,440
192.0,0,1,1,3,576,0,440
193.0,0,1,1,3,576,0,440
194.0,0,1,0,3,576,0,441
195.0,0,1,0,3,576,0,441
196.0,0,1,0,5,574,0,441
197.0,0,1,0,4,574,0,442
198.0,0,1,0,4,574,0,442
199.0,0,1,0,4,574,0,442
200.0,0,1,0,4,574,0,442
201.0,0,1,0,4,574,0,442
202.0,0,1,0,4,574,0,442
203.0,0,1,0,4,574,0,442
204.0,0,1,0,4,574,0,442
205.0,0,1,0,5,573,0,442
206.0,0,1,0,5,573,0,442
207.0,0,1,0,5,573,0,442
208.0,0,1,0,4,573,0,443
209.0,0,1,0,4,573,0,443
210.0,0,1,0,5,572,0,443
211.0,0,1,0,5,571,0,444
212.0,0,1,0,5,571,0,444
213.0,0,1,0,5,571,0,444
214.0,0,1,0,5,571,0,444
215.0,0,1,0,5,571,0,444
216.0,0,1,0,5,571,0,444
217.0,0,1,0,3,571,0,446
218.0,0,1,0,3,571,0,446
219.0,0,1,0,3,571,0,446
220.0,0,1,0,3,571,0,446
221.0,0,1,0,3,571,0,446
222.0,0,1,0,3,571,0,446
223.0,0,1,0,3,571,0,446
224.0,0,1,0,3,571,0,446
225.0,0,1,0,3,571,0,446
226.0,0,1,0,2,571,0,447
227.0,0,1,0,2,571,0,447
228.0,0,1,0,2,571,0,447
229.0,0,1,0,2,571,0,447
230.0,0,1,0,2,571,0,447
231.0,0,1,0,1,571,0,448
232.0,0,1,0,0,571,0,449
