"tick","Dead","InfectedvA","InfectedvB","Quarantined","Recovered","Susceptible","Vaccinated"
1.0,0,10,10,0,0,1000,0
2.0,0,10,11,0,0,999,0
3.0,0,11,11,0,0,998,0
4.0,0,11,11,0,0,998,0
5.0,0,11,11,0,0,998,0
6.0,0,12,14,0,0,994,0
7.0,0,12,15,0,0,993,0
8.0,0,13,20,0,0,987,0
9.0,0,13,22,0,0,985,0
10.0,0,17,25,0,0,978,0
11.0,0,17,26,0,0,977,0
12.0,0,18,26,0,0,976,0
13.0,0,20,31,0,0,969,0
14.0,0,20,36,0,0,964,0
15.0,0,21,39,0,0,960,0
16.0,0,23,39,0,2,956,0
17.0,0,23,43,0,2,952,0
18.0,0,25,48,0,3,944,0
19.0,0,26,50,0,4,940,0
20.0,0,27,51,0,4,938,0
21.0,0,20,46,0,23,931,0
22.0,0,24,48,0,24,924,0
23.0,0,26,53,0,25,916,0
24.0,0,25,57,0,26,912,0
25.0,0,27,62,0,26,905,0
26.0,0,29,66,0,27,898,0
27.0,0,31,67,0,31,891,0
28.0,0,32,72,0,32,884,0
29.0,0,32,66,0,41,881,0
30.0,0,35,63,0,47,875,0
31.0,0,34,65,0,55,866,0
32.0,0,33,70,0,57,860,0
33.0,0,33,75,0,58,854,0
34.0,0,35,77,0,68,840,0
35.0,0,36,77,0,72,835,0
36.0,0,39,76,0,76,829,0
37.0,0,36,79,0,80,825,0
38.0,0,37,83,0,82,818,0
39.0,0,38,81,0,90,811,0
40.0,0,42,86,0,95,797,0
41.0,0,43,90,0,97,790,0
42.0,0,45,92,0,103,780,0
43.0,0,45,94,0,109,772,0
44.0,0,44,99,0,116,761,0
45.0,0,43,103,0,121,753,0
46.0,0,43,100,0,133,744,0
47.0,0,44,104,0,141,731,0
48.0,0,45,109,0,146,720,0
49.0,0,48,113,0,152,707,0
50.0,0,49,114,0,156,701,0
51.0,0,47,119,0,162,692,0
52.0,0,46,120,0,171,683,0
53.0,0,46,118,0,179,677,0
54.0,0,48,113,0,187,672,0
