"tick","Dead","InfectedvA","InfectedvB","Quarantined","Recovered","Susceptible","Vaccinated"
1.0,0,12,12,0,0,1996,0
2.0,0,16,14,0,0,1990,0
3.0,0,17,17,0,0,1986,0
4.0,0,18,22,0,0,1980,0
5.0,0,23,27,0,0,1970,0
6.0,0,25,30,0,0,1965,0
7.0,0,27,37,0,1,1955,0
8.0,0,29,44,0,2,1945,0
9.0,1,33,56,0,2,1928,0
10.0,1,38,65,0,2,1914,0
11.0,1,44,75,0,2,1898,0
12.0,1,49,75,0,4,1891,0
13.0,1,61,84,0,6,1868,0
14.0,1,66,94,0,7,1852,0
15.0,1,73,106,0,8,1832,0
16.0,1,78,122,0,12,1807,0
17.0,1,82,139,0,15,1783,0
18.0,1,93,156,0,15,1755,0
19.0,1,100,172,0,16,1731,0
20.0,1,106,187,0,18,1708,0
21.0,1,107,194,0,37,1681,0
22.0,1,109,214,0,42,1654,0
23.0,1,121,232,0,48,1618,0
24.0,1,132,255,0,55,1577,0
25.0,1,143,260,0,66,1550,0
26.0,1,149,279,0,79,1512,0
27.0,1,164,291,0,88,1476,0
28.0,1,168,299,0,100,1452,0
29.0,1,169,309,0,111,1430,0
30.0,1,167,315,0,133,1404,0
31.0,1,178,335,0,148,1358,0
32.0,1,191,355,0,166,1307,0
33.0,1,187,374,0,179,1279,0
34.0,1,187,381,0,203,1248,0
35.0,1,196,403,0,221,1199,0
36.0,1,202,424,0,243,1150,0
37.0,1,204,433,0,274,1108,0
38.0,1,205,450,0,299,1065,0
39.0,1,200,452,0,329,1038,0
40.0,1,203,455,0,351,1010,0
41.0,1,215,463,0,379,962,0
42.0,1,214,483,0,406,916,0
43.0,1,222,489,0,428,880,0
44.0,1,217,502,0,463,837,0
45.0,1,223,491,0,506,799,0
46.0,1,218,495,0,544,762,0
47.0,1,214,486,0,584,735,0
48.0,1,208,495,0,617,699,0
49.0,1,203,488,0,647,681,0
50.0,1,207,490,0,675,647,0
51.0,1,203,483,0,708,625,0
52.0,1,198,486,0,750,585,0
53.0,1,193,467,0,798,561,0
54.0,2,196,460,0,836,526,0
55.0,2,194,451,0,866,507,0
56.0,2,178,434,0,913,493,0
57.0,2,172,413,0,960,473,0
58.0,2,165,400,0,1003,450,0
59.0,2,164,387,0,1043,424,0
60.0,2,161,387,0,1067,403,0
61.0,2,162,384,0,1091,381,0
62.0,2,152,370,0,1135,361,0
63.0,2,151,352,0,1176,339,0
64.0,2,146,346,0,1209,317,0
65.0,2,142,335,0,1243,298,0
66.0,2,124,330,0,1278,286,0
67.0,2,117,319,0,1310,272,0
68.0,2,115,310,0,1333,260,0
69.0,2,107,294,0,1364,253,0
70.0,2,103,291,0,1379,245,0
71.0,3,95,277,0,1412,233,0
72.0,3,92,269,0,1432,224,0
73.0,3,85,246,0,1470,216,0
74.0,3,77,242,0,1493,205,0
75.0,3,73,219,0,1527,198,0
76.0,3,67,209,0,1546,195,0
77.0,3,66,201,0,1558,192,0
78.0,3,64,192,0,1577,184,0
79.0,3,60,179,0,1598,180,0
80.0,3,55,167,0,1621,174,0
81.0,3,52,152,0,1643,170,0
82.0,3,44,139,0,1666,168,0
83.0,3,39,128,0,1683,167,0
84.0,3,30,117,0,1704,166,0
85.0,3,26,105,0,1722,164,0
86.0,3,24,90,0,1740,163,0
87.0,3,24,79,0,1751,163,0
88.0,3,23,71,0,1762,161,0
89.0,3,19,65,0,1772,161,0
90.0,3,20,58,0,1779,160,0
91.0,3,20,56,0,1784,157,0
92.0,3,17,49,0,1796,155,0
93.0,3,15,42,0,1806,154,0
94.0,3,13,39,0,1811,154,0
95.0,3,14,31,0,1821,151,0
96.0,3,11,29,0,1827,150,0
97.0,3,11,26,0,1830,150,0
98.0,3,11,25,0,1832,149,0
99.0,3,7,24,0,1838,148,0
100.0,3,6,22,0,1842,147,0
101.0,3,6,19,0,1846,146,0
102.0,3,5,16,0,1850,146,0
103.0,3,5,15,0,1852,145,0
104.0,3,5,14,0,1853,145,0
105.0,3,5,13,0,1854,145,0
106.0,3,5,11,0,1856,145,0
107.0,3,5,10,0,1857,145,0
108.0,3,5,10,0,1857,145,0
109.0,3,4,9,0,1859,145,0
110.0,3,4,9,0,1859,145,0
111.0,3,3,9,0,1860,145,0
112.0,3,2,8,0,1862,145,0
113.0,3,2,7,0,1863,145,0
114.0,3,2,7,0,1863,145,0
115.0,3,2,7,0,1863,145,0
116.0,3,0,6,0,1866,145,0
117.0,3,0,5,0,1867,145,0
118.0,3,0,5,0,1867,145,0
119.0,3,0,4,0,1868,145,0
120.0,3,0,3,0,1869,145,0
121.0,3,0,2,0,1870,145,0
122.0,3,0,1,0,1871,145,0
123.0,3,0,1,0,1871,145,0
124.0,3,0,0,0,1872,145,0
