"tick","Dead","InfectedvA","InfectedvB","Quarantined","Recovered","Susceptible","Vaccinated"
1.0,0,8,5,0,0,997,100
2.0,0,8,5,0,0,997,100
3.0,0,8,5,0,0,997,100
4.0,0,8,5,0,0,997,100
5.0,0,9,4,0,1,996,100
6.0,0,9,4,0,1,996,100
7.0,0,10,4,0,1,995,100
8.0,0,9,7,0,2,992,100
9.0,0,12,7,0,2,989,100
10.0,0,14,7,0,2,987,100
11.0,0,18,8,0,2,982,100
12.0,0,17,8,0,3,982,100
13.0,0,18,9,0,3,980,100
14.0,0,15,10,0,8,977,100
15.0,0,14,11,0,10,975,100
16.0,0,14,12,0,10,974,100
17.0,0,14,12,0,12,972,100
18.0,0,15,12,0,12,971,100
19.0,0,16,12,0,12,970,100
20.0,0,17,12,0,12,969,100
21.0,0,17,9,0,15,969,100
22.0,0,17,9,0,15,969,100
23.0,0,16,9,0,18,967,100
24.0,0,15,9,0,20,966,100
25.0,0,12,10,0,24,964,100
26.0,0,13,13,0,24,960,100
27.0,0,11,14,0,26,959,100
28.0,0,10,17,0,28,955,100
29.0,0,9,15,0,32,954,100
30.0,0,9,15,0,32,954,100
31.0,0,10,15,0,33,952,100
32.0,0,9,15,0,35,951,100
33.0,0,8,16,0,36,950,100
34.0,0,8,15,0,38,949,100
35.0,0,10,14,0,39,947,100
36.0,0,11,13,0,40,946,100
37.0,0,10,11,0,43,946,100
38.0,0,9,11,0,45,945,100
39.0,0,8,11,0,46,945,100
40.0,0,7,11,0,47,945,100
41.0,0,8,12,0,48,942,100
42.0,0,6,11,0,51,942,100
43.0,0,7,12,0,51,940,100
44.0,0,9,12,0,51,938,100
45.0,0,7,12,0,53,938,100
46.0,0,7,13,0,53,937,100
47.0,0,9,11,0,56,934,100
48.0,0,9,13,0,56,932,100
49.0,0,8,12,0,61,929,100
50.0,0,9,12,0,62,927,100
51.0,0,9,11,0,63,927,100
52.0,0,9,11,0,65,925,100
53.0,0,9,11,0,66,924,100
54.0,0,10,10,0,67,923,100
55.0,0,9,9,0,69,923,100
56.0,0,9,9,0,69,923,100
57.0,0,8,8,0,71,923,100
58.0,0,6,8,0,73,923,100
59.0,0,6,10,0,73,921,100
60.0,0,6,12,0,73,919,100
61.0,0,4,12,0,75,919,100
62.0,0,4,10,0,77,919,100
63.0,0,4,11,0,78,917,100
64.0,0,4,10,0,80,916,100
65.0,0,3,10,0,81,916,100
66.0,0,1,12,0,83,914,100
67.0,0,1,11,0,84,914,100
68.0,0,1,11,0,84,914,100
69.0,0,1,12,0,85,912,100
70.0,0,1,11,0,88,910,100
71.0,0,1,13,0,88,908,100
72.0,0,1,12,0,89,908,100
73.0,0,1,12,0,89,908,100
74.0,0,1,12,0,89,908,100
75.0,0,1,11,0,90,908,100
76.0,0,1,11,0,90,908,100
77.0,0,2,11,0,91,906,100
78.0,0,2,13,0,91,904,100
79.0,0,2,14,0,91,903,100
80.0,0,2,14,0,93,901,100
81.0,0,2,13,0,95,900,100
82.0,0,2,13,0,95,900,100
83.0,0,2,14,0,95,899,100
