"tick","Dead","Hospital","InfectedvA","InfectedvB","Susceptible","Vaccinatated","Recovered"
1.0,0,1,10,10,1000,100,0
2.0,0,1,12,10,997,100,1
3.0,0,1,14,10,995,100,1
4.0,0,1,14,10,995,100,1
5.0,0,1,15,9,994,100,2
6.0,0,1,18,9,991,100,2
7.0,0,1,19,10,989,100,2
8.0,0,1,22,10,986,100,2
9.0,0,1,24,13,981,100,2
10.0,0,1,25,14,979,100,2
11.0,0,1,26,14,978,100,2
12.0,0,1,30,17,971,100,2
13.0,0,1,32,17,969,100,2
14.0,0,1,35,18,965,100,2
15.0,0,1,35,18,964,100,3
16.0,0,1,36,22,959,100,3
17.0,0,1,38,24,955,100,3
18.0,0,1,39,25,952,100,4
19.0,0,1,41,29,945,100,5
20.0,0,1,42,29,943,100,6
21.0,0,1,36,26,934,100,24
22.0,0,1,35,28,930,100,27
23.0,0,1,35,31,923,100,31
24.0,0,1,35,31,920,100,34
25.0,0,1,37,33,916,100,34
26.0,0,1,37,38,910,100,35
27.0,0,1,34,41,906,100,39
28.0,0,1,36,41,901,100,42
29.0,0,1,35,42,900,100,43
30.0,0,1,34,41,896,100,49
31.0,0,1,37,47,885,100,51
32.0,0,1,37,48,882,100,53
33.0,0,1,34,42,882,100,62
34.0,0,1,36,41,879,100,64
35.0,0,1,36,41,876,100,67
36.0,0,1,36,41,875,100,68
37.0,0,1,34,42,870,100,74
38.0,0,1,33,43,865,100,79
39.0,0,1,35,47,856,100,82
40.0,0,1,33,46,854,100,87
41.0,0,1,32,53,845,100,90
42.0,0,1,30,52,840,100,98
43.0,0,1,30,49,839,100,102
44.0,0,1,26,51,833,100,110
45.0,0,1,25,51,831,100,113
46.0,0,1,23,54,827,100,116
47.0,0,1,24,52,823,100,121
48.0,0,1,24,48,822,100,126
49.0,0,1,22,50,816,100,132
50.0,0,1,25,49,811,100,135
51.0,0,1,24,48,810,100,138
52.0,0,1,25,46,804,100,145
53.0,0,1,24,47,801,100,148
54.0,0,1,27,47,796,100,150
55.0,0,1,25,51,791,100,153
56.0,0,1,25,55,785,100,155
57.0,0,1,24,58,782,100,156
58.0,0,1,25,59,777,100,159
59.0,0,1,24,59,773,100,164
60.0,0,1,22,55,770,100,173
61.0,0,1,22,55,768,100,175
62.0,0,1,21,57,762,100,180
63.0,0,1,19,58,759,100,184
64.0,0,1,18,64,752,100,186
65.0,0,1,17,62,749,100,192
66.0,0,1,18,64,745,100,193
67.0,0,1,18,67,738,100,197
68.0,0,1,16,73,730,100,201
69.0,0,1,15,78,723,100,204
70.0,0,1,14,79,718,100,209
71.0,0,1,12,77,715,100,216
72.0,0,1,12,82,709,100,217
73.0,0,1,10,79,708,100,223
74.0,0,1,10,79,704,100,227
75.0,0,1,7,83,698,100,232
76.0,0,1,6,80,696,100,238
77.0,0,1,7,79,692,100,242
78.0,0,1,7,83,685,100,245
79.0,0,1,6,81,682,100,251
80.0,0,1,5,79,681,100,255
81.0,0,1,4,82,676,100,258
82.0,0,1,4,84,672,100,260
83.0,0,1,4,84,667,100,265
84.0,0,1,4,82,666,100,268
85.0,0,1,4,80,659,100,277
86.0,0,1,4,81,656,100,279
87.0,0,1,3,86,647,100,284
88.0,0,1,3,84,645,100,288
89.0,0,1,3,81,640,100,296
90.0,0,1,3,75,638,100,304
91.0,0,1,2,72,638,100,308
92.0,0,1,2,70,637,100,311
93.0,0,1,2,67,635,100,316
94.0,0,1,2,66,634,100,318
95.0,0,1,2,63,633,100,322
96.0,0,1,2,60,630,100,328
97.0,0,1,2,61,627,100,330
98.0,0,1,0,59,626,100,335
99.0,0,1,0,54,625,100,341
100.0,0,1,0,50,625,100,345
101.0,0,1,0,51,623,100,346
102.0,0,1,0,48,620,100,352
103.0,0,1,0,45,620,100,355
104.0,0,1,0,44,617,100,359
105.0,0,1,0,45,615,100,360
106.0,0,1,0,40,614,100,366
107.0,0,1,0,37,614,100,369
108.0,0,1,0,28,614,100,378
109.0,0,1,0,29,611,100,380
110.0,0,1,0,27,609,100,384
111.0,0,1,0,25,609,100,386
112.0,0,1,0,27,607,100,386
113.0,0,1,0,26,607,100,387
114.0,0,1,0,24,606,100,390
115.0,0,1,0,24,606,100,390
116.0,0,1,0,25,604,100,391
117.0,0,1,0,24,602,100,394
118.0,0,1,0,24,601,100,395
119.0,0,1,0,25,599,100,396
120.0,0,1,0,26,597,100,397
121.0,0,1,0,26,597,100,397
122.0,0,1,0,24,597,100,399
123.0,0,1,0,22,596,100,402
124.0,0,1,0,22,596,100,402
125.0,0,1,0,20,596,100,404
126.0,0,1,0,18,596,100,406
127.0,0,1,0,17,596,100,407
128.0,0,1,0,17,596,100,407
129.0,0,1,0,18,595,100,407
130.0,0,1,0,16,594,100,410
131.0,0,1,0,14,593,100,413
132.0,0,1,0,13,593,100,414
133.0,0,1,0,13,592,100,415
134.0,0,1,0,13,592,100,415
135.0,0,1,0,12,592,100,416
