"tick","Dead","Hospital","InfectedvA","InfectedvB","Susceptible","Vaccinatated","Recovered"
136.0,0,1,0,12,592,100,416
137.0,0,1,0,11,592,100,417
138.0,0,1,0,9,592,100,419
139.0,0,1,0,8,592,100,420
140.0,0,1,0,6,592,100,422
141.0,0,1,0,4,592,100,424
142.0,0,1,0,4,592,100,424
143.0,0,1,0,4,592,100,424
144.0,0,1,0,4,592,100,424
145.0,0,1,0,4,592,100,424
146.0,0,1,0,4,592,100,424
147.0,0,1,0,4,592,100,424
148.0,0,1,0,4,592,100,424
149.0,0,1,0,4,592,100,424
150.0,0,1,0,3,592,100,425
151.0,0,1,0,2,592,100,426
152.0,0,1,0,1,592,100,427
153.0,0,1,0,1,592,100,427
154.0,0,1,0,0,592,100,428
155.0,0,1,0,0,592,100,428
