"tick","Dead","InfectedvA","InfectedvB","Quarantined","Recovered","Susceptible","Vaccinated"
1.0,0,11,10,0,0,999,0
2.0,0,11,10,0,0,999,0
3.0,0,13,10,0,0,997,0
4.0,0,15,9,0,1,995,0
5.0,0,16,8,0,2,994,0
6.0,0,14,10,0,4,992,0
7.0,0,14,10,0,4,992,0
8.0,0,16,14,0,4,986,0
9.0,0,17,14,0,5,984,0
10.0,0,17,14,0,6,983,0
11.0,0,18,19,0,6,977,0
12.0,0,19,19,0,7,975,0
13.0,0,19,20,0,7,974,0
14.0,0,20,22,0,7,971,0
15.0,0,20,23,0,9,968,0
16.0,0,20,25,0,9,966,0
17.0,0,20,27,0,9,964,0
18.0,0,21,28,0,9,962,0
19.0,0,22,28,0,9,961,0
20.0,0,23,28,0,9,960,0
21.0,0,18,24,0,23,955,0
22.0,0,18,24,0,24,954,0
23.0,0,18,25,0,24,953,0
24.0,0,16,23,0,28,953,0
25.0,0,15,25,0,30,950,0
26.0,0,15,27,0,30,948,0
27.0,0,15,29,0,32,944,0
28.0,0,16,30,0,32,942,0
29.0,0,13,31,0,37,939,0
30.0,0,14,30,0,39,937,0
31.0,0,15,31,0,40,934,0
32.0,0,20,28,0,46,926,0
33.0,0,19,30,0,48,923,0
34.0,0,20,29,0,49,922,0
35.0,0,18,29,0,52,921,0
36.0,0,17,30,0,55,918,0
37.0,0,18,27,0,59,916,0
38.0,0,18,26,0,62,914,0
39.0,0,19,25,0,65,911,0
40.0,0,20,27,0,66,907,0
41.0,0,23,26,0,68,903,0
42.0,0,23,24,0,74,899,0
43.0,0,23,25,0,74,898,0
44.0,0,25,28,0,75,892,0
45.0,0,24,28,0,77,891,0
46.0,0,24,31,0,77,888,0
47.0,0,25,31,0,80,884,0
48.0,0,26,30,0,84,880,0
49.0,0,27,29,0,86,878,0
50.0,0,29,29,0,88,874,0
51.0,0,28,30,0,89,873,0
52.0,0,28,30,0,92,870,0
53.0,0,29,27,0,100,864,0
54.0,0,29,27,0,103,861,0
55.0,0,28,28,0,104,860,0
56.0,0,28,28,0,104,860,0
57.0,0,28,29,0,107,856,0
58.0,0,29,29,0,108,854,0
59.0,0,31,29,0,110,850,0
60.0,0,28,31,0,113,848,0
61.0,0,26,30,0,116,848,0
62.0,0,24,34,0,118,844,0
63.0,0,24,32,0,122,842,0
64.0,0,24,30,0,125,841,0
65.0,0,23,26,0,132,839,0
66.0,0,23,26,0,132,839,0
67.0,0,23,25,0,136,836,0
68.0,0,23,22,0,141,834,0
69.0,0,22,21,0,146,831,0
70.0,0,22,20,0,149,829,0
71.0,0,23,19,0,152,826,0
72.0,0,24,19,0,152,825,0
73.0,0,27,23,0,155,815,0
74.0,0,23,25,0,160,812,0
75.0,0,27,22,0,164,807,0
76.0,0,28,22,0,164,806,0
77.0,0,28,23,0,164,805,0
78.0,0,31,23,0,165,801,0
79.0,0,29,24,0,167,800,0
80.0,0,28,22,0,171,799,0
81.0,0,30,20,0,173,797,0
82.0,0,32,20,0,173,795,0
83.0,0,35,16,0,177,792,0
84.0,0,34,17,0,179,790,0
85.0,0,36,15,0,182,787,0
86.0,0,38,15,0,186,781,0
87.0,0,39,16,0,186,779,0
88.0,0,40,15,0,188,777,0
89.0,0,41,16,0,190,773,0
90.0,0,42,14,0,193,771,0
91.0,0,42,15,0,195,768,0
92.0,0,39,16,0,198,767,0
93.0,0,40,17,0,200,763,0
94.0,0,36,13,0,210,761,0
95.0,0,36,11,0,212,761,0
96.0,0,34,11,0,216,759,0
97.0,0,35,11,0,217,757,0
98.0,0,34,11,0,218,757,0
99.0,0,33,10,0,222,755,0
100.0,0,35,11,0,223,751,0
101.0,0,35,10,0,225,750,0
102.0,0,34,11,0,228,747,0
103.0,0,33,11,0,231,745,0
104.0,0,29,14,0,236,741,0
105.0,0,29,15,0,238,738,0
106.0,0,27,18,0,241,734,0
107.0,0,23,17,0,247,733,0
108.0,0,25,16,0,249,730,0
109.0,0,25,16,0,251,728,0
110.0,0,23,15,0,254,728,0
111.0,0,22,16,0,256,726,0
112.0,0,21,16,0,257,726,0
113.0,0,21,14,0,259,726,0
114.0,0,17,14,0,265,724,0
115.0,0,16,14,0,267,723,0
116.0,0,16,14,0,267,723,0
117.0,0,15,14,0,269,722,0
118.0,0,14,14,0,271,721,0
119.0,0,15,13,0,272,720,0
120.0,0,15,13,0,273,719,0
121.0,0,13,12,0,277,718,0
122.0,0,13,14,0,277,716,0
123.0,0,13,15,0,279,713,0
124.0,0,10,15,0,283,712,0
125.0,0,10,12,0,286,712,0
126.0,0,10,12,0,288,710,0
127.0,0,10,12,0,290,708,0
128.0,0,10,12,0,291,707,0
129.0,0,9,13,0,293,705,0
130.0,0,8,12,0,295,705,0
131.0,0,8,14,0,295,703,0
132.0,0,7,15,0,296,702,0
133.0,0,8,15,0,296,701,0
134.0,0,8,15,0,296,701,0
