"tick","Dead","InfectedvA","InfectedvB","Quarantined","Recovered","Susceptible","Vaccinated"
1.0,0,11,12,0,0,997,0
2.0,0,10,12,0,1,997,0
3.0,0,11,13,0,1,995,0
4.0,0,12,15,0,1,992,0
5.0,0,12,17,0,1,990,0
6.0,0,12,18,0,1,989,0
7.0,0,12,19,0,1,988,0
8.0,0,13,25,0,2,980,0
9.0,0,13,30,0,2,975,0
10.0,0,16,35,0,2,967,0
11.0,0,16,35,0,3,966,0
12.0,0,16,41,0,4,959,0
13.0,0,19,39,0,6,956,0
14.0,0,20,43,0,6,951,0
15.0,0,21,47,0,7,945,0
16.0,0,22,50,0,8,940,0
17.0,0,23,53,0,9,935,0
18.0,0,24,59,0,9,928,0
19.0,0,24,63,0,9,924,0
20.0,0,24,73,0,10,913,0
21.0,0,17,65,0,29,909,0
22.0,0,16,66,0,33,905,0
23.0,0,18,68,0,34,900,0
24.0,0,18,69,0,36,897,0
25.0,0,19,69,0,37,895,0
26.0,0,20,72,0,39,889,0
27.0,0,18,73,0,44,885,0
28.0,0,19,78,0,47,876,0
29.0,0,18,78,0,56,868,0
30.0,0,22,75,0,63,860,0
31.0,0,21,73,0,68,858,0
32.0,0,24,81,0,69,846,0
33.0,0,23,81,0,76,840,0
34.0,0,22,83,0,82,833,0
35.0,0,21,83,0,88,828,0
36.0,0,21,77,0,96,826,0
37.0,0,20,81,0,99,820,0
38.0,0,19,79,0,105,817,0
39.0,0,19,79,0,110,812,0
40.0,0,19,79,0,115,807,0
41.0,0,18,77,0,126,799,0
42.0,0,17,82,0,128,793,0
43.0,0,17,84,0,130,789,0
44.0,0,17,89,0,134,780,0
45.0,0,19,91,0,137,773,0
46.0,0,19,96,0,139,766,0
47.0,0,21,100,0,143,756,0
48.0,0,22,100,0,147,751,0
49.0,0,21,98,0,155,746,0
50.0,0,20,92,0,165,743,0
51.0,0,16,92,0,172,740,0
52.0,0,16,95,0,175,734,0
53.0,0,15,92,0,186,727,0
54.0,1,14,93,0,190,722,0
55.0,1,14,88,0,199,718,0
56.0,1,14,91,0,201,713,0
57.0,1,15,95,0,203,706,0
58.0,1,14,98,0,209,698,0
59.0,1,15,99,0,213,692,0
60.0,1,15,97,0,219,688,0
61.0,1,16,92,0,225,686,0
62.0,1,16,87,0,233,683,0
