"tick","Dead","InfectedvA","InfectedvB","Quarantined","Recovered","Susceptible","Vaccinated"
1.0,0,6,6,0,0,998,0
2.0,0,8,8,0,0,994,0
3.0,0,12,9,0,1,988,0
4.0,0,16,11,0,1,982,0
5.0,0,18,13,0,1,978,0
6.0,0,19,14,0,1,976,0
7.0,0,20,14,0,1,975,0
8.0,0,23,16,0,1,970,0
9.0,0,25,21,0,1,963,0
10.0,0,27,20,0,2,961,0
11.0,0,31,20,0,3,956,0
12.0,0,34,22,0,3,951,0
13.0,0,37,24,0,4,945,0
14.0,0,44,28,0,4,934,0
15.0,0,53,32,0,4,921,0
16.0,0,57,31,0,5,917,0
17.0,0,63,36,0,6,905,0
18.0,0,70,37,0,8,895,0
19.0,0,77,39,0,9,885,0
20.0,0,83,42,0,9,876,0
21.0,0,80,41,0,17,872,0
22.0,0,82,40,0,20,868,0
23.0,0,87,42,0,25,856,0
24.0,0,90,44,0,32,844,0
25.0,0,93,45,0,37,835,0
26.0,0,91,53,0,42,824,0
27.0,0,96,52,0,45,817,0
28.0,0,105,53,0,46,806,0
29.0,0,104,52,0,54,800,0
30.0,0,103,48,0,61,798,0
31.0,0,104,49,0,63,794,0
32.0,0,99,51,0,69,791,0
33.0,0,101,52,0,78,779,0
34.0,0,97,51,0,86,776,0
35.0,0,95,50,0,93,772,0
36.0,0,90,49,0,106,765,0
37.0,0,92,51,0,109,758,0
38.0,0,87,51,0,121,751,0
39.0,0,88,54,0,130,738,0
40.0,0,91,56,0,135,728,0
41.0,0,87,57,0,146,720,0
42.0,0,89,57,0,151,713,0
43.0,0,90,60,0,155,705,0
44.0,0,85,59,0,166,700,0
45.0,0,85,58,0,176,691,0
46.0,0,83,64,0,185,678,0
47.0,0,84,58,0,198,670,0
48.0,0,80,61,0,207,662,0
49.0,0,75,63,0,219,653,0
50.0,0,78,66,0,222,644,0
51.0,0,82,70,0,224,634,0
52.0,0,81,73,0,228,628,0
53.0,0,85,80,0,231,614,0
54.0,0,79,80,0,245,606,0
55.0,0,85,81,0,249,595,0
56.0,0,87,83,0,253,587,0
57.0,0,84,84,0,262,580,0
58.0,0,87,85,0,269,569,0
59.0,0,86,86,0,277,561,0
60.0,0,83,83,0,290,554,0
61.0,0,82,81,0,300,547,0
62.0,0,82,78,0,308,542,0
63.0,0,86,76,0,317,531,0
64.0,0,85,76,0,325,524,0
65.0,0,82,74,0,333,521,0
66.0,0,82,76,0,342,510,0
67.0,0,79,73,0,354,504,0
68.0,0,81,72,0,363,494,0
69.0,0,80,69,0,372,489,0
70.0,0,78,68,0,379,485,0
71.0,0,73,66,0,390,481,0
72.0,0,70,64,0,400,476,0
73.0,0,78,62,0,404,466,0
74.0,0,79,53,0,418,460,0
75.0,0,76,51,0,426,457,0
76.0,0,73,51,0,435,451,0
77.0,0,74,47,0,443,446,0
78.0,0,75,44,0,448,443,0
79.0,0,67,42,0,459,442,0
80.0,0,68,35,0,469,438,0
81.0,0,65,36,0,475,434,0
82.0,0,66,39,0,480,425,0
83.0,0,66,37,0,487,420,0
84.0,0,62,35,0,496,417,0
85.0,0,60,37,0,501,412,0
86.0,0,60,37,0,503,410,0
87.0,0,57,32,0,513,408,0
88.0,0,55,30,0,518,407,0
89.0,0,50,31,0,528,401,0
90.0,0,50,30,0,531,399,0
91.0,0,51,31,0,533,395,0
92.0,0,52,30,0,538,390,0
93.0,0,54,30,0,540,386,0
94.0,0,50,28,0,548,384,0
95.0,0,46,30,0,554,380,0
96.0,0,45,31,0,557,377,0
97.0,1,43,29,0,563,374,0
98.0,1,43,30,0,567,369,0
99.0,1,45,29,0,569,366,0
100.0,1,44,30,0,572,363,0
101.0,1,44,30,0,577,358,0
102.0,1,47,31,0,581,350,0
103.0,1,42,33,0,589,345,0
104.0,1,40,31,0,594,344,0
105.0,1,38,29,0,598,344,0
106.0,1,39,25,0,604,341,0
107.0,1,39,25,0,607,338,0
108.0,1,41,26,0,610,332,0
109.0,1,43,26,0,611,329,0
110.0,1,42,25,0,617,325,0
111.0,1,44,27,0,619,319,0
112.0,1,45,27,0,620,317,0
113.0,1,41,27,0,626,315,0
114.0,1,40,26,0,630,313,0
115.0,1,39,24,0,634,312,0
116.0,1,40,22,0,638,309,0
117.0,1,42,21,0,639,307,0
118.0,1,42,21,0,642,304,0
119.0,1,40,19,0,648,302,0
120.0,1,39,21,0,651,298,0
121.0,1,39,22,0,652,296,0
122.0,1,37,21,0,656,295,0
123.0,1,35,18,0,664,292,0
124.0,1,36,13,0,670,290,0
125.0,1,35,13,0,671,290,0
126.0,1,35,12,0,672,290,0
127.0,1,40,12,0,673,284,0
128.0,1,39,12,0,675,283,0
129.0,1,35,11,0,681,282,0
130.0,1,34,11,0,683,281,0
131.0,1,34,9,0,686,280,0
132.0,1,33,6,0,693,277,0
133.0,1,32,6,0,695,276,0
134.0,1,32,5,0,697,275,0
135.0,1,31,5,0,701,272,0
136.0,1,30,5,0,703,271,0
137.0,1,30,4,0,706,269,0
138.0,1,29,4,0,708,268,0
139.0,1,28,4,0,711,266,0
140.0,1,26,4,0,713,266,0
141.0,1,25,3,0,716,265,0
142.0,1,24,2,0,718,265,0
143.0,1,25,2,0,719,263,0
144.0,1,21,2,0,723,263,0
145.0,1,21,2,0,725,261,0
146.0,1,24,2,0,725,258,0
147.0,1,24,2,0,726,257,0
148.0,1,22,2,0,730,255,0
149.0,1,23,2,0,730,254,0
150.0,1,26,2,0,730,251,0
151.0,1,26,2,0,731,250,0
152.0,1,26,2,0,731,250,0
153.0,1,24,2,0,733,250,0
154.0,1,23,2,0,735,249,0
155.0,1,22,2,0,736,249,0
156.0,1,22,1,0,739,247,0
157.0,1,22,1,0,739,247,0
158.0,1,20,1,0,742,246,0
159.0,1,18,1,0,744,246,0
160.0,1,18,0,0,745,246,0
161.0,1,18,0,0,745,246,0
162.0,1,18,0,0,746,245,0
163.0,1,18,0,0,746,245,0
164.0,1,17,0,0,748,244,0
165.0,1,18,0,0,748,243,0
166.0,1,18,0,0,750,241,0
167.0,1,15,0,0,753,241,0
168.0,1,14,0,0,754,241,0
169.0,1,13,0,0,755,241,0
170.0,1,13,0,0,756,240,0
171.0,1,9,0,0,760,240,0
172.0,1,8,0,0,762,239,0
173.0,1,9,0,0,762,238,0
174.0,1,10,0,0,762,237,0
175.0,1,10,0,0,763,236,0
176.0,1,10,0,0,763,236,0
177.0,1,9,0,0,764,236,0
178.0,1,9,0,0,764,236,0
179.0,1,10,0,0,764,235,0
180.0,1,11,0,0,764,234,0
181.0,1,12,0,0,764,233,0
182.0,1,12,0,0,764,233,0
183.0,1,12,0,0,765,232,0
184.0,1,14,0,0,765,230,0
185.0,1,16,0,0,765,228,0
186.0,1,16,0,0,766,227,0
187.0,1,16,0,0,768,225,0
188.0,1,16,0,0,768,225,0
189.0,1,18,0,0,768,223,0
190.0,1,18,0,0,768,223,0
191.0,1,18,0,0,769,222,0
192.0,1,18,0,0,770,221,0
193.0,1,17,0,0,771,221,0
194.0,1,16,0,0,772,221,0
195.0,1,15,0,0,773,221,0
196.0,1,13,0,0,775,221,0
197.0,1,16,0,0,775,218,0
