"tick","Dead","Hospital","InfectedvA","InfectedvB","Susceptible","Vaccinatated","Recovered"
1.0,0,1,12,13,995,0,0
2.0,0,1,13,15,992,0,0
3.0,0,1,16,17,987,0,0
4.0,0,1,21,20,979,0,0
5.0,0,1,24,22,974,0,0
6.0,0,1,27,23,970,0,0
7.0,0,1,27,22,969,0,2
8.0,0,1,29,23,965,0,3
9.0,0,1,31,26,958,0,5
10.0,0,1,32,26,956,0,6
11.0,0,1,34,30,950,0,6
12.0,0,1,35,29,949,0,7
13.0,0,1,36,37,940,0,7
14.0,0,1,38,40,934,0,8
15.0,0,1,37,42,932,0,9
16.0,0,1,39,43,924,0,14
17.0,0,1,43,44,917,0,16
18.0,0,1,44,45,915,0,16
19.0,0,1,44,51,907,0,18
20.0,0,1,48,55,898,0,19
21.0,0,1,40,51,895,0,34
22.0,0,1,38,49,893,0,40
23.0,0,1,39,50,889,0,42
24.0,0,1,38,53,884,0,45
25.0,0,1,36,53,880,0,51
26.0,0,1,38,51,876,0,55
27.0,0,1,37,55,869,0,59
28.0,0,1,39,56,865,0,60
29.0,0,1,38,55,864,0,63
30.0,0,1,37,54,860,0,69
31.0,0,1,37,55,856,0,72
32.0,0,1,35,52,853,0,80
33.0,0,1,36,50,852,0,82
34.0,0,1,35,44,852,0,89
35.0,0,1,34,43,850,0,93
36.0,0,1,34,43,848,0,95
37.0,0,1,32,45,841,0,102
38.0,0,1,29,47,835,0,109
39.0,0,1,31,46,831,0,112
40.0,0,1,30,41,829,0,120
41.0,0,1,29,39,823,0,129
42.0,0,1,31,40,818,0,131
43.0,0,1,33,40,813,0,134
44.0,0,1,32,40,811,0,137
45.0,0,1,31,40,808,0,141
46.0,0,1,29,38,806,0,147
47.0,0,1,26,39,804,0,151
48.0,0,1,23,38,800,0,159
49.0,0,1,23,40,796,0,161
50.0,0,1,24,40,794,0,162
51.0,0,1,24,39,790,0,167
52.0,0,1,25,37,787,0,171
53.0,0,1,25,38,783,0,174
54.0,0,1,25,40,781,0,174
55.0,0,1,25,40,780,0,175
56.0,0,1,23,45,774,0,178
57.0,0,1,25,44,772,0,179
58.0,0,1,25,39,770,0,186
59.0,0,1,22,39,769,0,190
60.0,0,1,22,40,764,0,194
61.0,0,1,23,40,761,0,196
62.0,0,1,22,41,755,0,202
63.0,0,1,22,41,751,0,206
64.0,0,1,20,41,749,0,210
65.0,0,1,20,40,748,0,212
66.0,0,1,21,39,746,0,214
67.0,0,1,21,38,745,0,216
68.0,0,1,19,43,739,0,219
69.0,0,1,19,39,739,0,223
70.0,0,1,17,36,738,0,229
71.0,0,1,16,37,736,0,231
72.0,0,1,14,35,735,0,236
73.0,0,1,11,34,735,0,240
74.0,0,1,12,34,731,0,243
75.0,0,1,12,35,728,0,245
76.0,0,1,12,38,724,0,246
77.0,0,1,13,34,722,0,251
78.0,0,1,11,35,721,0,253
79.0,0,1,10,35,719,0,256
80.0,0,1,9,35,718,0,258
81.0,0,1,9,32,717,0,262
82.0,0,1,9,30,715,0,266
83.0,0,1,8,27,714,0,271
84.0,0,1,7,25,714,0,274
85.0,0,1,7,25,713,0,275
86.0,0,1,7,26,711,0,276
87.0,0,1,6,26,710,0,278
88.0,0,1,6,25,710,0,279
89.0,0,1,6,20,709,0,285
90.0,0,1,6,21,708,0,285
91.0,0,1,6,21,707,0,286
92.0,0,1,6,18,707,0,289
93.0,0,1,6,19,706,0,289
94.0,0,1,6,20,705,0,289
95.0,0,1,4,18,705,0,293
96.0,0,1,6,18,701,0,295
97.0,0,1,6,15,700,0,299
98.0,0,1,5,17,698,0,300
99.0,0,1,6,16,697,0,301
100.0,0,1,6,18,693,0,303
101.0,0,1,6,18,692,0,304
102.0,0,1,6,18,692,0,304
103.0,0,1,5,21,688,0,306
104.0,0,1,5,21,687,0,307
105.0,0,1,5,21,686,0,308
106.0,0,1,4,24,683,0,309
107.0,0,1,4,23,682,0,311
108.0,0,1,4,23,680,0,313
109.0,0,1,5,23,679,0,313
110.0,0,1,5,24,678,0,313
111.0,0,1,5,24,676,0,315
112.0,0,1,5,27,673,0,315
113.0,0,1,5,27,673,0,315
114.0,0,1,5,27,672,0,316
115.0,0,1,6,26,671,0,317
116.0,0,1,6,26,671,0,317
117.0,0,1,4,25,670,0,321
118.0,0,1,4,24,669,0,323
119.0,0,1,3,23,668,0,326
120.0,0,1,2,23,668,0,327
121.0,0,1,2,22,665,0,331
122.0,0,1,2,21,664,0,333
123.0,0,1,2,20,664,0,334
124.0,0,1,2,20,662,0,336
125.0,0,1,2,20,661,0,337
126.0,0,1,2,19,661,0,338
127.0,0,1,2,17,661,0,340
128.0,0,1,2,18,660,0,340
129.0,0,1,2,16,660,0,342
130.0,0,1,1,17,659,0,343
131.0,0,1,1,18,658,0,343
132.0,0,1,1,16,658,0,345
133.0,0,1,1,14,656,0,349
134.0,0,1,1,16,653,0,350
135.0,0,1,1,18,650,0,351
136.0,0,1,0,19,649,0,352
137.0,0,1,0,19,648,0,353
138.0,0,1,0,20,646,0,354
139.0,0,1,0,20,645,0,355
140.0,0,1,0,20,644,0,356
141.0,0,1,0,21,643,0,356
142.0,0,1,0,20,642,0,358
143.0,0,1,0,20,641,0,359
144.0,0,1,0,20,641,0,359
145.0,0,1,0,22,636,0,362
146.0,0,1,0,22,636,0,362
147.0,0,1,0,23,635,0,362
148.0,0,1,0,22,635,0,363
149.0,0,1,0,23,634,0,363
150.0,0,1,0,24,633,0,363
151.0,0,1,0,23,633,0,364
152.0,0,1,0,23,633,0,364
153.0,0,1,0,23,633,0,364
154.0,0,1,0,22,632,0,366
155.0,0,1,0,23,629,0,368
156.0,0,1,0,23,626,0,371
157.0,0,1,0,23,625,0,372
158.0,0,1,0,23,624,0,373
159.0,0,1,0,22,622,0,376
160.0,0,1,0,19,622,0,379
161.0,0,1,0,19,622,0,379
162.0,0,1,0,19,621,0,380
163.0,0,1,0,18,621,0,381
164.0,0,1,0,18,620,0,382
165.0,0,1,0,21,617,0,382
166.0,0,1,0,19,615,0,386
167.0,0,1,0,18,615,0,387
168.0,0,1,0,17,615,0,388
169.0,0,1,0,17,615,0,388
170.0,0,1,0,20,611,0,389
171.0,0,1,0,19,611,0,390
172.0,0,1,0,19,611,0,390
173.0,0,1,0,19,611,0,390
174.0,0,1,0,20,609,0,391
175.0,0,1,0,19,609,0,392
176.0,0,1,0,19,608,0,393
177.0,0,1,0,17,607,0,396
178.0,0,1,0,15,607,0,398
179.0,0,1,0,15,607,0,398
180.0,0,1,0,14,606,0,400
181.0,0,1,0,14,606,0,400
182.0,0,1,0,14,606,0,400
183.0,0,1,0,12,606,0,402
184.0,0,1,0,12,606,0,402
185.0,0,1,0,11,606,0,403
186.0,0,1,0,9,606,0,405
187.0,0,1,0,9,605,0,406
188.0,0,1,0,9,605,0,406
189.0,0,1,0,9,605,0,406
190.0,0,1,0,9,605,0,406
191.0,0,1,0,6,604,0,410
192.0,0,1,0,7,603,0,410
193.0,0,1,0,8,602,0,410
194.0,0,1,0,7,602,0,411
195.0,0,1,0,6,602,0,412
196.0,0,1,0,6,602,0,412
197.0,0,1,0,5,602,0,413
198.0,0,1,0,4,602,0,414
199.0,0,1,0,4,602,0,414
200.0,0,1,0,4,602,0,414
201.0,0,1,0,3,602,0,415
202.0,0,1,0,3,602,0,415
203.0,0,1,0,3,602,0,415
204.0,0,1,0,3,602,0,415
205.0,0,1,0,3,602,0,415
206.0,0,1,0,3,602,0,415
207.0,0,1,0,3,602,0,415
208.0,0,1,0,4,600,0,416
209.0,0,1,0,4,600,0,416
210.0,0,1,0,4,600,0,416
211.0,0,1,0,5,599,0,416
212.0,0,1,0,4,599,0,417
213.0,0,1,0,3,599,0,418
214.0,0,1,0,3,599,0,418
215.0,0,1,0,3,599,0,418
216.0,0,1,0,3,599,0,418
217.0,0,1,0,3,599,0,418
218.0,0,1,0,3,599,0,418
219.0,0,1,0,3,599,0,418
220.0,0,1,0,3,599,0,418
221.0,0,1,0,3,599,0,418
222.0,0,1,0,3,599,0,418
223.0,0,1,0,3,599,0,418
224.0,0,1,0,3,599,0,418
225.0,0,1,0,3,599,0,418
226.0,0,1,0,3,599,0,418
227.0,0,1,0,3,599,0,418
228.0,0,1,0,3,599,0,418
229.0,0,1,0,2,598,0,420
230.0,0,1,0,2,598,0,420
231.0,0,1,0,2,598,0,420
232.0,0,1,0,1,598,0,421
233.0,0,1,0,1,598,0,421
234.0,0,1,0,1,598,0,421
235.0,0,1,0,1,598,0,421
236.0,0,1,0,1,598,0,421
237.0,0,1,0,1,598,0,421
238.0,0,1,0,1,598,0,421
239.0,0,1,0,1,598,0,421
240.0,0,1,0,1,598,0,421
241.0,0,1,0,1,598,0,421
242.0,0,1,0,1,598,0,421
243.0,0,1,0,1,598,0,421
244.0,0,1,0,1,598,0,421
245.0,0,1,0,1,598,0,421
246.0,0,1,0,1,598,0,421
247.0,0,1,0,1,598,0,421
248.0,0,1,0,1,598,0,421
249.0,0,1,0,1,598,0,421
250.0,0,1,0,0,598,0,422
