"tick","Dead","InfectedvA","InfectedvB","Quarantined","Recovered","Susceptible","Vaccinated"
1.0,0,18,17,0,0,995,0
2.0,0,20,22,0,0,988,0
3.0,0,21,26,0,0,983,0
4.0,0,25,29,0,1,975,0
5.0,0,33,32,0,2,963,0
6.0,0,36,33,0,3,958,0
7.0,0,42,33,0,4,951,0
8.0,0,45,37,0,4,944,0
9.0,0,56,42,0,4,928,0
10.0,0,58,45,0,4,923,0
11.0,0,63,46,0,6,915,0
12.0,0,68,51,0,6,905,0
13.0,0,73,57,0,8,892,0
14.0,0,77,61,0,9,883,0
15.0,0,81,64,0,11,874,0
16.0,0,91,68,0,12,859,0
17.0,1,98,72,0,14,845,0
18.0,2,106,73,0,16,833,0
19.0,2,105,78,0,20,825,0
20.0,2,117,83,0,22,806,0
21.0,2,108,79,0,49,792,0
22.0,2,120,82,0,53,773,0
23.0,3,125,79,0,62,761,0
24.0,3,128,78,0,72,749,0
25.0,5,124,79,0,80,742,0
26.0,5,132,80,0,90,723,0
27.0,5,136,85,0,97,707,0
28.0,6,140,86,0,104,694,0
29.0,6,150,86,0,111,677,0
30.0,6,146,90,0,126,662,0
31.0,6,153,97,0,132,642,0
32.0,6,158,101,0,140,625,0
33.0,6,158,98,0,153,615,0
34.0,6,165,94,0,166,599,0
35.0,6,171,101,0,174,578,0
36.0,6,174,104,0,188,558,0
37.0,6,173,105,0,200,546,0
38.0,6,172,106,0,211,535,0
39.0,6,169,108,0,227,520,0
40.0,6,173,105,0,236,510,0
41.0,6,175,108,0,250,491,0
42.0,6,179,104,0,264,477,0
43.0,6,176,100,0,279,469,0
44.0,7,174,102,0,291,456,0
45.0,8,172,102,0,303,445,0
46.0,8,179,99,0,312,432,0
47.0,8,170,98,0,330,424,0
48.0,8,172,92,0,346,412,0
49.0,8,173,91,0,361,397,0
50.0,8,166,93,0,373,390,0
51.0,8,170,88,0,388,376,0
52.0,8,171,80,0,407,364,0
53.0,9,161,82,0,426,352,0
54.0,9,163,84,0,434,340,0
55.0,10,153,81,0,452,334,0
56.0,10,151,75,0,468,326,0
57.0,10,147,73,0,487,313,0
58.0,10,146,71,0,499,304,0
59.0,10,145,71,0,507,297,0
60.0,10,135,67,0,526,292,0
61.0,10,134,65,0,537,284,0
62.0,10,128,68,0,554,270,0
63.0,11,119,64,0,569,267,0
64.0,11,115,64,0,578,262,0
65.0,11,110,61,0,592,256,0
66.0,11,109,58,0,603,249,0
67.0,11,106,52,0,616,245,0
68.0,11,112,49,0,624,234,0
69.0,11,111,50,0,634,224,0
70.0,11,104,53,0,644,218,0
71.0,11,104,50,0,649,216,0
72.0,11,94,49,0,664,212,0
73.0,12,84,49,0,678,207,0
74.0,12,81,44,0,691,202,0
75.0,12,78,42,0,700,198,0
76.0,12,81,43,0,702,192,0
77.0,12,75,43,0,711,189,0
78.0,12,69,43,0,722,184,0
79.0,12,66,42,0,730,180,0
80.0,12,65,39,0,738,176,0
81.0,12,65,37,0,743,173,0
82.0,12,62,36,0,753,167,0
83.0,12,59,31,0,764,164,0
84.0,12,58,31,0,766,163,0
85.0,12,63,30,0,769,156,0
86.0,12,63,28,0,773,154,0
87.0,12,58,27,0,780,153,0
88.0,12,54,26,0,786,152,0
89.0,12,46,27,0,796,149,0
90.0,12,41,25,0,806,146,0
91.0,12,39,21,0,813,145,0
92.0,12,40,21,0,816,141,0
93.0,12,40,20,0,819,139,0
94.0,12,38,18,0,823,139,0
95.0,12,38,16,0,826,138,0
96.0,12,36,15,0,829,138,0
97.0,12,32,14,0,834,138,0
98.0,12,31,13,0,836,138,0
99.0,12,30,10,0,840,138,0
100.0,12,28,12,0,842,136,0
101.0,12,28,10,0,846,134,0
102.0,12,27,9,0,849,133,0
103.0,12,23,7,0,855,133,0
104.0,12,21,6,0,858,133,0
105.0,12,21,5,0,859,133,0
106.0,12,19,4,0,865,130,0
107.0,12,18,4,0,866,130,0
108.0,12,18,4,0,867,129,0
109.0,12,20,4,0,867,127,0
110.0,12,18,3,0,870,127,0
111.0,12,16,2,0,873,127,0
112.0,12,16,2,0,873,127,0
113.0,12,11,2,0,878,127,0
114.0,12,9,1,0,881,127,0
115.0,12,10,1,0,881,126,0
116.0,12,9,1,0,882,126,0
117.0,12,9,1,0,882,126,0
118.0,12,9,1,0,882,126,0
119.0,12,9,1,0,882,126,0
120.0,12,10,1,0,882,125,0
121.0,12,10,0,0,883,125,0
122.0,12,9,0,0,885,124,0
123.0,12,8,0,0,886,124,0
124.0,12,8,0,0,886,124,0
125.0,12,8,0,0,886,124,0
126.0,12,8,0,0,886,124,0
127.0,12,5,0,0,889,124,0
128.0,12,5,0,0,889,124,0
129.0,12,4,0,0,890,124,0
130.0,12,3,0,0,891,124,0
131.0,12,3,0,0,891,124,0
132.0,12,3,0,0,891,124,0
133.0,12,3,0,0,891,124,0
134.0,12,3,0,0,891,124,0
135.0,12,3,0,0,891,124,0
136.0,12,2,0,0,892,124,0
137.0,12,2,0,0,892,124,0
138.0,12,2,0,0,892,124,0
139.0,12,2,0,0,892,124,0
140.0,12,2,0,0,892,124,0
141.0,12,1,0,0,893,124,0
142.0,12,1,0,0,893,124,0
143.0,12,0,0,0,894,124,0
