"tick","Dead","InfectedvA","InfectedvB","Quarantined","Recovered","Susceptible","Vaccinated"
1.0,0,11,12,0,0,997,0
2.0,0,12,13,0,0,995,0
3.0,0,13,12,0,2,993,0
4.0,0,15,14,0,3,988,0
5.0,0,16,14,0,3,987,0
6.0,0,17,16,0,3,984,0
7.0,0,17,17,0,5,981,0
8.0,0,16,20,0,6,978,0
9.0,0,19,26,0,6,969,0
10.0,0,19,26,0,6,969,0
11.0,0,19,28,0,6,967,0
12.0,0,19,29,0,7,965,0
13.0,0,18,30,0,9,963,0
14.0,0,18,35,0,10,957,0
15.0,0,18,38,0,10,954,0
16.0,0,19,41,0,10,950,0
17.0,0,19,40,0,11,950,0
18.0,0,20,40,0,13,947,0
19.0,0,20,39,0,14,947,0
20.0,0,22,42,0,14,942,0
21.0,0,15,36,0,29,940,0
22.0,0,15,36,0,33,936,0
23.0,0,15,41,0,35,929,0
24.0,0,16,43,0,37,924,0
25.0,0,13,42,0,43,922,0
26.0,0,12,43,0,44,921,0
27.0,0,13,41,0,47,919,0
28.0,0,14,47,0,48,911,0
29.0,0,16,47,0,51,906,0
30.0,0,12,46,0,58,904,0
31.0,0,12,52,0,59,897,0
32.0,0,13,54,0,61,892,0
33.0,0,13,58,0,64,885,0
34.0,0,13,59,0,65,883,0
35.0,0,13,58,0,70,879,0
36.0,0,13,59,0,74,874,0
37.0,0,12,64,0,77,867,0
38.0,0,12,67,0,77,864,0
39.0,0,11,74,0,79,856,0
40.0,0,11,75,0,80,854,0
41.0,0,9,79,0,86,846,0
42.0,0,10,81,0,88,841,0
43.0,0,11,82,0,93,834,0
44.0,0,11,80,0,97,832,0
45.0,0,9,82,0,102,827,0
46.0,0,9,83,0,105,823,0
47.0,0,9,84,0,106,821,0
48.0,0,8,85,0,108,819,0
49.0,0,6,84,0,116,814,0
50.0,0,5,81,0,122,812,0
51.0,0,5,87,0,123,805,0
52.0,1,5,84,0,129,801,0
53.0,1,4,83,0,134,798,0
54.0,1,4,79,0,141,795,0
55.0,1,4,83,0,144,788,0
56.0,1,5,82,0,148,784,0
57.0,1,5,82,0,152,780,0
58.0,1,5,77,0,161,776,0
59.0,1,5,80,0,165,769,0
60.0,1,6,78,0,175,760,0
61.0,1,6,79,0,179,755,0
62.0,1,6,77,0,184,752,0
63.0,1,6,78,0,187,748,0
64.0,1,4,78,0,194,743,0
65.0,1,4,84,0,195,736,0
66.0,1,4,81,0,200,734,0
67.0,1,4,84,0,203,728,0
68.0,1,4,87,0,205,723,0
69.0,1,5,88,0,207,719,0
70.0,1,5,82,0,216,716,0
71.0,1,5,83,0,218,713,0
72.0,1,5,80,0,224,710,0
73.0,2,4,84,0,228,702,0
74.0,2,4,83,0,231,700,0
75.0,2,4,91,0,232,691,0
76.0,2,4,91,0,238,685,0
77.0,2,2,91,0,243,682,0
78.0,2,2,92,0,247,677,0
79.0,2,2,92,0,251,673,0
80.0,2,2,90,0,257,669,0
81.0,2,1,84,0,265,668,0
82.0,2,1,80,0,270,667,0
83.0,2,1,79,0,274,664,0
84.0,2,1,79,0,278,660,0
85.0,2,2,78,0,283,655,0
86.0,2,3,75,0,289,651,0
87.0,2,3,75,0,291,649,0
88.0,2,3,72,0,295,648,0
89.0,2,3,68,0,300,647,0
90.0,2,2,69,0,304,643,0
91.0,2,2,70,0,306,640,0
92.0,2,2,68,0,309,639,0
93.0,2,2,65,0,313,638,0
94.0,2,2,61,0,320,635,0
95.0,2,1,60,0,323,634,0
96.0,2,0,54,0,333,631,0
97.0,2,0,53,0,338,627,0
98.0,2,0,51,0,341,626,0
99.0,2,0,47,0,345,626,0
100.0,2,0,43,0,349,626,0
101.0,2,0,40,0,353,625,0
102.0,2,0,39,0,354,625,0
103.0,2,0,40,0,355,623,0
104.0,2,0,38,0,358,622,0
105.0,2,0,35,0,362,621,0
106.0,2,0,34,0,365,619,0
107.0,2,0,30,0,370,618,0
108.0,2,0,30,0,372,616,0
109.0,2,0,31,0,372,615,0
110.0,2,0,32,0,374,612,0
111.0,2,0,29,0,378,611,0
112.0,2,0,26,0,381,611,0
113.0,2,0,25,0,382,611,0
114.0,2,0,23,0,384,611,0
115.0,2,0,23,0,386,609,0
116.0,2,0,24,0,387,607,0
117.0,2,0,20,0,391,607,0
118.0,2,0,19,0,393,606,0
119.0,2,0,18,0,394,606,0
120.0,2,0,18,0,395,605,0
121.0,2,0,18,0,395,605,0
122.0,2,0,17,0,396,605,0
123.0,2,0,17,0,396,605,0
124.0,2,0,16,0,398,604,0
125.0,2,0,16,0,399,603,0
126.0,2,0,17,0,399,602,0
127.0,2,0,15,0,401,602,0
128.0,2,0,14,0,402,602,0
129.0,2,0,13,0,404,601,0
130.0,2,0,13,0,405,600,0
131.0,2,0,11,0,407,600,0
132.0,2,0,11,0,407,600,0
133.0,2,0,11,0,407,600,0
134.0,2,0,12,0,407,599,0
135.0,2,0,13,0,407,598,0
136.0,2,0,12,0,409,597,0
137.0,2,0,11,0,411,596,0
138.0,2,0,11,0,411,596,0
139.0,2,0,10,0,412,596,0
140.0,2,0,10,0,412,596,0
141.0,2,0,9,0,413,596,0
142.0,2,0,11,0,413,594,0
143.0,2,0,12,0,413,593,0
144.0,2,0,13,0,413,592,0
145.0,2,0,13,0,414,591,0
146.0,2,0,15,0,415,588,0
147.0,2,0,14,0,416,588,0
148.0,2,0,14,0,416,588,0
149.0,2,0,15,0,416,587,0
150.0,2,0,13,0,418,587,0
151.0,2,0,14,0,419,585,0
152.0,2,0,16,0,419,583,0
153.0,2,0,16,0,420,582,0
154.0,2,0,18,0,420,580,0
155.0,2,0,17,0,421,580,0
156.0,2,0,18,0,422,578,0
157.0,2,0,18,0,423,577,0
158.0,2,0,18,0,423,577,0
159.0,2,0,21,0,423,574,0
160.0,2,0,23,0,423,572,0
161.0,2,0,24,0,423,571,0
162.0,2,0,25,0,423,570,0
163.0,2,0,25,0,424,569,0
164.0,2,0,27,0,426,565,0
165.0,2,0,25,0,428,565,0
166.0,2,0,25,0,429,564,0
167.0,2,0,24,0,433,561,0
168.0,2,0,25,0,433,560,0
169.0,2,0,26,0,433,559,0
170.0,2,0,27,0,434,557,0
171.0,2,0,29,0,434,555,0
172.0,2,0,28,0,435,555,0
173.0,2,0,26,0,437,555,0
174.0,2,0,32,0,438,548,0
175.0,2,0,31,0,440,547,0
176.0,2,0,32,0,440,546,0
177.0,2,0,30,0,442,546,0
178.0,2,0,28,0,444,546,0
179.0,2,0,29,0,444,545,0
180.0,2,0,28,0,447,543,0
181.0,2,0,26,0,449,543,0
182.0,2,0,28,0,449,541,0
183.0,2,0,30,0,450,538,0
184.0,2,0,30,0,451,537,0
185.0,2,0,28,0,454,536,0
186.0,2,0,28,0,454,536,0
187.0,2,0,29,0,455,534,0
188.0,2,0,28,0,458,532,0
189.0,2,0,27,0,459,532,0
190.0,2,0,28,0,460,530,0
191.0,2,0,30,0,462,526,0
192.0,2,0,28,0,464,526,0
193.0,2,0,30,0,464,524,0
194.0,2,0,32,0,464,522,0
195.0,2,0,27,0,471,520,0
196.0,2,0,26,0,472,520,0
197.0,2,0,28,0,472,518,0
198.0,2,0,28,0,473,517,0
199.0,2,0,28,0,473,517,0
200.0,2,0,26,0,475,517,0
201.0,2,0,23,0,478,517,0
202.0,2,0,24,0,479,515,0
203.0,2,0,22,0,482,514,0
204.0,2,0,21,0,485,512,0
205.0,2,0,18,0,488,512,0
206.0,2,0,18,0,488,512,0
207.0,2,0,20,0,488,510,0
208.0,2,0,18,0,490,510,0
209.0,2,0,15,0,494,509,0
210.0,2,0,15,0,494,509,0
211.0,2,0,14,0,495,509,0
212.0,2,0,13,0,498,507,0
213.0,2,0,14,0,498,506,0
214.0,2,0,17,0,499,502,0
215.0,2,0,16,0,501,501,0
216.0,2,0,14,0,503,501,0
217.0,2,0,13,0,504,501,0
218.0,2,0,13,0,504,501,0
219.0,2,0,14,0,504,500,0
220.0,2,0,14,0,504,500,0
221.0,2,0,13,0,505,500,0
222.0,2,0,13,0,505,500,0
223.0,2,0,13,0,506,499,0
224.0,2,0,12,0,508,498,0
225.0,2,0,12,0,509,497,0
226.0,2,0,12,0,509,497,0
227.0,2,0,14,0,509,495,0
228.0,2,0,14,0,511,493,0
229.0,2,0,14,0,511,493,0
230.0,2,0,15,0,512,491,0
231.0,2,0,15,0,512,491,0
232.0,2,0,15,0,513,490,0
233.0,2,0,15,0,514,489,0
234.0,2,0,14,0,515,489,0
235.0,2,0,12,0,517,489,0
236.0,2,0,11,0,518,489,0
237.0,2,0,12,0,518,488,0
238.0,2,0,12,0,518,488,0
239.0,2,0,12,0,518,488,0
240.0,2,0,11,0,519,488,0
241.0,2,0,11,0,519,488,0
242.0,2,0,12,0,519,487,0
243.0,2,0,16,0,519,483,0
244.0,2,0,18,0,520,480,0
245.0,2,0,18,0,521,479,0
246.0,2,0,18,0,522,478,0
247.0,2,0,18,0,522,478,0
248.0,2,0,19,0,524,475,0
249.0,2,0,18,0,525,475,0
250.0,2,0,19,0,525,474,0
251.0,2,0,17,0,527,474,0
252.0,2,0,17,0,527,474,0
253.0,2,0,17,0,528,473,0
254.0,2,0,16,0,529,473,0
255.0,2,0,17,0,529,472,0
256.0,2,0,19,0,529,470,0
257.0,2,0,19,0,529,470,0
258.0,2,0,19,0,530,469,0
259.0,2,0,20,0,530,468,0
260.0,2,0,22,0,530,466,0
261.0,2,0,25,0,530,463,0
262.0,2,0,26,0,530,462,0
263.0,2,0,25,0,531,462,0
264.0,2,0,23,0,535,460,0
265.0,2,0,19,0,539,460,0
266.0,2,0,18,0,540,460,0
267.0,2,0,18,0,541,459,0
268.0,2,0,18,0,541,459,0
269.0,2,0,14,0,545,459,0
270.0,2,0,14,0,545,459,0
271.0,2,0,14,0,546,458,0
272.0,2,0,13,0,547,458,0
273.0,2,0,13,0,547,458,0
274.0,2,0,12,0,548,458,0
275.0,2,0,12,0,549,457,0
276.0,2,0,11,0,550,457,0
277.0,2,0,11,0,551,456,0
278.0,2,0,11,0,551,456,0
279.0,2,0,10,0,552,456,0
280.0,2,0,9,0,553,456,0
281.0,2,0,8,0,554,456,0
282.0,2,0,4,0,558,456,0
283.0,2,0,4,0,558,456,0
284.0,2,0,4,0,558,456,0
285.0,2,0,3,0,559,456,0
286.0,2,0,4,0,559,455,0
287.0,2,0,5,0,559,454,0
288.0,2,0,4,0,560,454,0
289.0,2,0,4,0,560,454,0
290.0,2,0,4,0,560,454,0
291.0,2,0,4,0,560,454,0
292.0,2,0,4,0,560,454,0
293.0,2,0,4,0,560,454,0
294.0,2,0,4,0,560,454,0
295.0,2,0,4,0,560,454,0
296.0,2,0,3,0,561,454,0
297.0,2,0,4,0,561,453,0
298.0,2,0,4,0,562,452,0
299.0,2,0,4,0,562,452,0
300.0,2,0,4,0,562,452,0
301.0,2,0,4,0,562,452,0
302.0,2,0,5,0,562,451,0
303.0,2,0,5,0,562,451,0
304.0,2,0,5,0,562,451,0
305.0,2,0,5,0,562,451,0
306.0,2,0,5,0,562,451,0
307.0,2,0,4,0,563,451,0
308.0,2,0,3,0,564,451,0
309.0,2,0,3,0,564,451,0
310.0,2,0,3,0,564,451,0
311.0,2,0,3,0,564,451,0
312.0,2,0,3,0,564,451,0
313.0,2,0,3,0,564,451,0
314.0,2,0,3,0,564,451,0
315.0,2,0,3,0,564,451,0
316.0,2,0,3,0,564,451,0
317.0,2,0,3,0,564,451,0
318.0,2,0,2,0,565,451,0
319.0,2,0,1,0,566,451,0
