"tick","Dead","InfectedvA","InfectedvB","Quarantined","Recovered","Susceptible","Vaccinated"
1.0,0,11,0,0,0,999,0
2.0,0,12,0,0,0,998,0
3.0,0,12,0,0,0,998,0
4.0,0,12,0,0,0,998,0
5.0,0,12,0,0,0,998,0
6.0,0,12,0,0,0,998,0
7.0,0,12,0,0,0,998,0
8.0,0,15,0,0,0,995,0
9.0,0,15,0,0,0,995,0
10.0,0,17,0,0,0,993,0
11.0,0,19,0,0,0,991,0
12.0,0,20,0,0,0,990,0
13.0,0,26,0,0,0,984,0
14.0,0,24,0,0,2,984,0
15.0,0,24,0,0,3,983,0
16.0,0,27,0,0,3,980,0
17.0,0,28,0,0,3,979,0
18.0,0,30,0,0,3,977,0
19.0,0,30,0,0,3,977,0
20.0,1,28,0,0,5,976,0
21.0,1,22,0,0,14,973,0
22.0,1,22,0,0,15,972,0
23.0,1,22,0,0,15,972,0
24.0,1,25,0,0,15,969,0
25.0,1,25,0,0,15,969,0
26.0,1,26,0,0,15,968,0
27.0,1,27,0,0,16,966,0
28.0,1,29,0,0,17,963,0
29.0,1,27,0,0,19,963,0
30.0,1,28,0,0,19,962,0
31.0,1,27,0,0,21,961,0
32.0,1,27,0,0,23,959,0
33.0,1,33,0,0,24,952,0
34.0,1,33,0,0,29,947,0
35.0,1,35,0,0,29,945,0
36.0,1,35,0,0,30,944,0
37.0,1,35,0,0,33,941,0
38.0,1,35,0,0,34,940,0
39.0,1,35,0,0,36,938,0
40.0,1,36,0,0,36,937,0
41.0,1,38,0,0,36,935,0
42.0,1,37,0,0,39,933,0
43.0,1,36,0,0,40,933,0
44.0,1,38,0,0,40,931,0
45.0,1,38,0,0,41,930,0
46.0,1,40,0,0,41,928,0
47.0,1,40,0,0,43,926,0
48.0,1,38,0,0,45,926,0
49.0,1,37,0,0,49,923,0
50.0,1,38,0,0,49,922,0
51.0,1,39,0,0,49,921,0
52.0,1,38,0,0,50,921,0
53.0,1,37,0,0,52,920,0
54.0,1,31,0,0,59,919,0
55.0,1,28,0,0,63,918,0
56.0,1,28,0,0,65,916,0
57.0,1,29,0,0,66,914,0
58.0,1,26,0,0,69,914,0
59.0,1,28,0,0,70,911,0
60.0,2,26,0,0,71,911,0
61.0,2,25,0,0,72,911,0
62.0,2,23,0,0,74,911,0
63.0,2,21,0,0,76,911,0
64.0,2,20,0,0,78,910,0
65.0,2,18,0,0,81,909,0
66.0,2,17,0,0,82,909,0
67.0,2,18,0,0,84,906,0
68.0,2,18,0,0,85,905,0
69.0,2,20,0,0,85,903,0
70.0,2,17,0,0,88,903,0
71.0,2,16,0,0,89,903,0
72.0,2,16,0,0,89,903,0
73.0,2,17,0,0,89,902,0
74.0,2,18,0,0,89,901,0
75.0,2,18,0,0,91,899,0
76.0,2,19,0,0,92,897,0
77.0,2,20,0,0,93,895,0
78.0,2,17,0,0,96,895,0
79.0,2,19,0,0,96,893,0
80.0,2,20,0,0,98,890,0
81.0,2,21,0,0,98,889,0
82.0,2,23,0,0,98,887,0
83.0,2,23,0,0,98,887,0
84.0,2,22,0,0,99,887,0
85.0,2,22,0,0,100,886,0
86.0,2,22,0,0,100,886,0
87.0,2,24,0,0,100,884,0
88.0,2,22,0,0,103,883,0
89.0,2,22,0,0,105,881,0
90.0,2,22,0,0,107,879,0
91.0,2,23,0,0,108,877,0
