"tick","Dead","InfectedvB","Quarantined","Recovered","Susceptible","Vaccinated"
1.0,0,11,0,0,999,0
2.0,0,13,0,0,996,0
3.0,0,13,0,0,996,0
4.0,0,17,0,0,992,0
5.0,0,19,0,0,990,0
6.0,0,19,0,0,990,0
7.0,0,23,0,0,985,0
8.0,0,25,0,0,983,0
9.0,0,26,0,1,980,0
10.0,0,29,0,1,976,0
11.0,0,30,0,1,974,0
12.0,0,31,0,1,972,0
13.0,0,32,0,1,970,0
14.0,0,33,0,2,965,0
15.0,0,43,0,2,955,0
16.0,0,46,0,3,949,0
17.0,0,48,0,3,947,0
18.0,0,52,0,4,942,0
19.0,0,59,0,4,933,0
20.0,0,63,0,4,929,0
21.0,0,55,0,23,927,0
22.0,0,61,0,24,920,0
23.0,0,65,0,27,914,0
24.0,0,72,0,28,906,0
25.0,0,69,0,33,904,0
26.0,0,72,0,35,897,0
27.0,0,77,0,35,892,0
28.0,0,78,0,40,884,0
29.0,0,81,0,43,877,0
30.0,0,84,0,46,872,0
31.0,0,87,0,51,864,0
32.0,0,90,0,53,859,0
33.0,0,94,0,54,852,0
34.0,0,99,0,58,845,0
35.0,0,106,0,63,834,0
36.0,0,105,0,73,824,0
37.0,0,107,0,82,815,0
38.0,0,106,0,85,812,0
39.0,0,106,0,91,805,0
40.0,0,103,0,99,802,0
41.0,0,103,0,102,798,0
42.0,0,107,0,104,792,0
43.0,0,103,0,111,788,0
44.0,0,102,0,120,780,0
45.0,0,97,0,130,775,0
46.0,0,100,0,133,769,0
47.0,0,98,0,140,765,0
48.0,0,108,0,142,753,0
49.0,0,107,0,150,748,0
50.0,0,108,0,157,743,0
51.0,0,111,0,162,735,0
52.0,0,109,0,170,729,0
53.0,0,111,0,178,721,0
54.0,0,113,0,184,715,0
55.0,0,109,0,191,712,0
56.0,0,101,0,200,712,0
57.0,0,104,0,206,703,0
58.0,0,101,0,214,699,0
59.0,0,104,0,217,693,0
60.0,0,105,0,222,688,0
61.0,0,110,0,226,679,0
62.0,0,114,0,229,673,0
63.0,0,108,0,236,672,0
64.0,0,113,0,239,665,0
65.0,0,116,0,245,656,0
66.0,0,118,0,249,649,0
67.0,0,115,0,256,645,0
68.0,0,115,0,261,641,0
69.0,0,112,0,273,632,0
70.0,0,110,0,277,630,0
71.0,0,108,0,282,627,0
72.0,0,102,0,291,624,0
73.0,0,106,0,298,614,0
74.0,0,106,0,305,607,0
75.0,0,103,0,310,605,0
76.0,0,103,0,313,602,0
77.0,0,110,0,315,593,0
78.0,0,106,0,325,587,0
79.0,0,107,0,329,582,0
80.0,0,101,0,337,581,0
81.0,0,101,0,341,577,0
82.0,0,97,0,349,573,0
83.0,0,97,0,354,568,0
84.0,0,101,0,356,562,0
85.0,0,94,0,365,559,0
86.0,0,89,0,373,556,0
87.0,0,83,0,382,554,0
88.0,0,84,0,385,550,0
89.0,0,86,0,388,545,0
90.0,0,83,0,397,538,0
91.0,0,85,0,400,533,0
92.0,0,88,0,403,527,0
93.0,0,90,0,407,521,0
94.0,0,84,0,418,516,0
95.0,0,77,0,425,516,0
96.0,0,79,0,427,512,0
97.0,0,78,0,430,510,0
98.0,0,71,0,439,508,0
99.0,0,70,0,443,505,0
100.0,0,70,0,446,502,0
101.0,0,72,0,447,499,0
102.0,0,71,0,450,497,0
103.0,0,72,0,453,493,0
104.0,0,69,0,458,490,0
105.0,0,68,0,464,485,0
106.0,0,68,0,465,485,0
107.0,0,68,0,469,481,0
108.0,0,70,0,471,477,0
109.0,0,69,0,473,476,0
110.0,0,69,0,479,470,0
111.0,0,66,0,486,467,0
112.0,0,65,0,490,464,0
113.0,0,64,0,495,460,0
114.0,0,64,0,502,453,0
115.0,0,60,0,507,452,0
116.0,0,61,0,507,451,0
117.0,0,60,0,510,449,0
118.0,0,62,0,512,445,0
119.0,0,63,0,514,442,0
120.0,0,65,0,518,436,0
121.0,0,62,0,523,434,0
122.0,0,61,0,527,431,0
123.0,0,61,0,529,429,0
124.0,0,57,0,534,428,0
125.0,0,59,0,537,424,0
126.0,0,55,0,543,422,0
127.0,0,57,0,543,420,0
128.0,0,53,0,547,420,0
129.0,0,54,0,552,414,0
130.0,0,54,0,555,411,0
131.0,0,50,0,560,410,0
132.0,0,48,0,563,409,0
133.0,0,48,0,565,407,0
134.0,0,47,0,566,407,0
135.0,0,42,0,572,406,0
136.0,0,42,0,574,404,0
137.0,0,42,0,575,403,0
138.0,0,41,0,577,402,0
139.0,0,37,0,581,402,0
140.0,0,35,0,583,402,0
141.0,0,32,0,586,402,0
142.0,0,32,0,587,401,0
143.0,0,30,0,590,400,0
144.0,0,28,0,592,400,0
145.0,0,27,0,593,400,0
146.0,0,23,0,597,400,0
147.0,0,21,0,599,400,0
148.0,0,19,0,601,400,0
149.0,0,18,0,602,400,0
150.0,0,14,0,607,399,0
151.0,0,12,0,609,399,0
152.0,0,12,0,610,398,0
153.0,0,12,0,611,397,0
154.0,0,10,0,613,397,0
155.0,0,10,0,613,397,0
156.0,0,9,0,614,397,0
157.0,0,8,0,616,396,0
158.0,0,7,0,617,396,0
159.0,0,8,0,618,394,0
160.0,0,8,0,618,394,0
161.0,0,9,0,618,393,0
162.0,0,9,0,618,393,0
163.0,0,8,0,619,393,0
164.0,0,8,0,620,392,0
165.0,0,8,0,620,392,0
166.0,0,8,0,620,392,0
167.0,0,8,0,620,392,0
168.0,0,9,0,620,391,0
169.0,0,8,0,621,391,0
170.0,0,10,0,621,389,0
171.0,0,10,0,622,388,0
172.0,0,11,0,622,387,0
173.0,0,10,0,623,387,0
174.0,0,9,0,624,387,0
175.0,0,9,0,624,387,0
176.0,0,9,0,624,387,0
177.0,0,9,0,624,387,0
178.0,0,8,0,625,387,0
179.0,0,10,0,625,385,0
180.0,0,10,0,626,384,0
181.0,0,11,0,626,383,0
182.0,0,10,0,627,383,0
183.0,0,10,0,627,383,0
184.0,0,10,0,627,383,0
185.0,0,9,0,628,383,0
186.0,0,9,0,628,383,0
187.0,0,9,0,628,383,0
188.0,0,9,0,628,383,0
189.0,0,8,0,629,383,0
190.0,0,8,0,629,383,0
191.0,0,6,0,631,383,0
192.0,0,6,0,632,382,0
193.0,0,6,0,633,381,0
194.0,0,6,0,633,381,0
195.0,0,5,0,634,381,0
196.0,0,5,0,634,381,0
197.0,0,5,0,634,381,0
198.0,0,6,0,634,380,0
199.0,0,6,0,634,380,0
200.0,0,4,0,636,380,0
201.0,0,4,0,636,380,0
202.0,0,3,0,637,380,0
203.0,0,3,0,637,380,0
204.0,0,3,0,637,380,0
205.0,0,3,0,637,380,0
206.0,0,3,0,637,380,0
207.0,0,3,0,637,380,0
208.0,0,3,0,637,380,0
209.0,0,3,0,637,380,0
210.0,0,3,0,637,380,0
211.0,0,3,0,637,380,0
212.0,0,3,0,637,380,0
213.0,0,2,0,638,380,0
214.0,0,2,0,639,379,0
215.0,0,2,0,639,379,0
216.0,0,2,0,639,379,0
217.0,0,2,0,639,379,0
218.0,0,2,0,639,379,0
219.0,0,1,0,640,379,0
220.0,0,1,0,640,379,0
221.0,0,1,0,640,379,0
222.0,0,1,0,640,379,0
223.0,0,1,0,640,379,0
224.0,0,1,0,640,379,0
225.0,0,1,0,640,379,0
226.0,0,1,0,640,379,0
227.0,0,1,0,640,379,0
228.0,0,1,0,640,379,0
229.0,0,1,0,640,379,0
230.0,0,1,0,640,379,0
231.0,0,1,0,640,379,0
232.0,0,1,0,640,379,0
