"tick","Dead","Hospital","InfectedvA","InfectedvB","Susceptible","Vaccinatated","Recovered"
207.0,0,1,0,8,411,0,601
208.0,0,1,0,8,411,0,601
209.0,0,1,0,8,411,0,601
210.0,0,1,0,7,411,0,602
211.0,0,1,0,7,411,0,602
212.0,0,1,0,6,411,0,603
213.0,0,1,0,5,411,0,604
214.0,0,1,0,5,411,0,604
215.0,0,1,0,4,411,0,605
216.0,0,1,0,4,411,0,605
217.0,0,1,0,6,409,0,605
218.0,0,1,0,5,409,0,606
219.0,0,1,0,5,409,0,606
220.0,0,1,0,5,409,0,606
221.0,0,1,0,5,409,0,606
222.0,0,1,0,5,409,0,606
223.0,0,1,0,5,408,0,607
224.0,0,1,0,4,408,0,608
225.0,0,1,0,5,407,0,608
226.0,0,1,0,5,407,0,608
227.0,0,1,0,4,407,0,609
228.0,0,1,0,5,406,0,609
229.0,0,1,0,5,406,0,609
230.0,0,1,0,5,406,0,609
231.0,0,1,0,5,406,0,609
232.0,0,1,0,5,406,0,609
233.0,0,1,0,5,406,0,609
234.0,0,1,0,5,406,0,609
235.0,0,1,0,5,406,0,609
236.0,0,1,0,6,405,0,609
237.0,0,1,0,6,405,0,609
238.0,0,1,0,3,405,0,612
239.0,0,1,0,4,404,0,612
240.0,0,1,0,4,404,0,612
241.0,0,1,0,4,404,0,612
242.0,0,1,0,4,404,0,612
243.0,0,1,0,4,404,0,612
244.0,0,1,0,3,404,0,613
245.0,0,1,0,3,404,0,613
246.0,0,1,0,3,404,0,613
247.0,0,1,0,3,404,0,613
248.0,0,1,0,3,404,0,613
249.0,0,1,0,2,404,0,614
250.0,0,1,0,2,404,0,614
251.0,0,1,0,2,404,0,614
252.0,0,1,0,2,404,0,614
253.0,0,1,0,2,404,0,614
254.0,0,1,0,1,404,0,615
255.0,0,1,0,1,404,0,615
256.0,0,1,0,1,404,0,615
257.0,0,1,0,0,404,0,616
