"tick","Dead","Hospital","InfectedvA","InfectedvB","Susceptible","Vaccinatated","Recovered"
1.0,0,1,10,0,1000,0,0
2.0,0,1,9,0,1000,0,1
3.0,0,1,10,0,999,0,1
4.0,0,1,10,0,999,0,1
5.0,0,1,11,0,998,0,1
6.0,0,1,12,0,996,0,2
7.0,0,1,12,0,996,0,2
8.0,0,1,12,0,996,0,2
9.0,0,1,11,0,996,0,3
10.0,0,1,13,0,994,0,3
11.0,0,1,14,0,993,0,3
12.0,0,1,15,0,992,0,3
13.0,0,1,15,0,992,0,3
14.0,0,1,13,0,992,0,5
15.0,0,1,13,0,992,0,5
16.0,0,1,14,0,991,0,5
17.0,0,1,14,0,990,0,6
18.0,0,1,14,0,990,0,6
19.0,0,1,14,0,989,0,7
20.0,0,1,14,0,989,0,7
21.0,0,1,8,0,989,0,13
22.0,0,1,9,0,988,0,13
23.0,0,1,9,0,988,0,13
24.0,0,1,9,0,987,0,14
25.0,0,1,11,0,985,0,14
26.0,0,1,9,0,985,0,16
27.0,0,1,8,0,985,0,17
28.0,0,1,8,0,985,0,17
29.0,0,1,8,0,985,0,17
30.0,0,1,8,0,985,0,17
31.0,0,1,7,0,985,0,18
32.0,0,1,5,0,985,0,20
33.0,0,1,5,0,984,0,21
34.0,0,1,5,0,984,0,21
35.0,0,1,5,0,984,0,21
36.0,0,1,5,0,984,0,21
37.0,0,1,4,0,984,0,22
38.0,0,1,3,0,984,0,23
39.0,0,1,3,0,984,0,23
40.0,0,1,3,0,984,0,23
41.0,0,1,6,0,981,0,23
42.0,0,1,6,0,981,0,23
43.0,0,1,6,0,981,0,23
44.0,0,1,5,0,981,0,24
45.0,0,1,4,0,981,0,25
46.0,0,1,4,0,980,0,26
47.0,0,1,3,0,980,0,27
48.0,0,1,3,0,980,0,27
49.0,0,1,4,0,979,0,27
50.0,0,1,5,0,978,0,27
51.0,0,1,4,0,978,0,28
52.0,0,1,4,0,978,0,28
53.0,0,1,4,0,978,0,28
54.0,0,1,4,0,978,0,28
55.0,0,1,4,0,978,0,28
56.0,0,1,4,0,978,0,28
57.0,0,1,4,0,978,0,28
58.0,0,1,4,0,978,0,28
59.0,0,1,4,0,978,0,28
60.0,0,1,4,0,978,0,28
61.0,0,1,5,0,977,0,28
62.0,0,1,5,0,976,0,29
63.0,0,1,5,0,976,0,29
64.0,0,1,6,0,975,0,29
65.0,0,1,6,0,975,0,29
66.0,0,1,6,0,975,0,29
67.0,0,1,7,0,973,0,30
68.0,0,1,8,0,972,0,30
69.0,0,1,8,0,972,0,30
70.0,0,1,7,0,972,0,31
71.0,0,1,6,0,972,0,32
72.0,0,1,8,0,970,0,32
73.0,0,1,8,0,970,0,32
74.0,0,1,8,0,970,0,32
75.0,0,1,8,0,970,0,32
76.0,0,1,8,0,970,0,32
77.0,0,1,8,0,970,0,32
78.0,0,1,8,0,970,0,32
79.0,0,1,10,0,968,0,32
80.0,0,1,10,0,968,0,32
81.0,0,1,11,0,967,0,32
82.0,0,1,10,0,967,0,33
83.0,0,1,9,0,967,0,34
84.0,0,1,9,0,967,0,34
85.0,0,1,8,0,967,0,35
86.0,0,1,10,0,965,0,35
87.0,0,1,10,0,965,0,35
88.0,0,1,8,0,965,0,37
89.0,0,1,7,0,965,0,38
90.0,0,1,8,0,964,0,38
91.0,0,1,8,0,964,0,38
92.0,0,1,8,0,964,0,38
93.0,0,1,6,0,964,0,40
94.0,0,1,6,0,964,0,40
95.0,0,1,6,0,963,0,41
96.0,0,1,6,0,963,0,41
97.0,0,1,6,0,963,0,41
98.0,0,1,6,0,963,0,41
99.0,0,1,6,0,963,0,41
100.0,0,1,5,0,963,0,42
101.0,0,1,5,0,963,0,42
102.0,0,1,4,0,963,0,43
103.0,0,1,4,0,963,0,43
104.0,0,1,4,0,963,0,43
105.0,0,1,5,0,962,0,43
106.0,0,1,5,0,962,0,43
107.0,0,1,3,0,962,0,45
108.0,0,1,3,0,962,0,45
109.0,0,1,3,0,962,0,45
110.0,0,1,3,0,962,0,45
111.0,0,1,2,0,962,0,46
112.0,0,1,1,0,962,0,47
113.0,0,1,1,0,962,0,47
114.0,0,1,1,0,962,0,47
115.0,0,1,1,0,962,0,47
116.0,0,1,0,0,962,0,48
