"tick","Dead","InfectedvA","InfectedvB","Quarantined","Recovered","Susceptible","Vaccinated"
1.0,0,11,11,0,0,998,100
2.0,0,13,11,0,0,996,100
3.0,0,14,13,0,0,993,100
4.0,0,14,13,0,0,993,100
5.0,0,15,14,0,0,991,100
6.0,0,16,16,0,0,988,100
7.0,0,16,18,0,0,986,100
8.0,0,17,19,0,0,984,100
9.0,0,19,19,0,0,982,100
10.0,0,22,20,0,0,978,100
11.0,0,23,23,0,0,974,100
12.0,0,27,24,0,1,968,100
13.0,0,27,23,0,3,967,100
14.0,0,18,23,0,14,965,100
15.0,0,18,23,0,16,963,100
16.0,0,16,23,0,20,961,100
17.0,0,19,24,0,21,956,100
18.0,0,19,26,0,21,954,100
19.0,0,19,30,0,22,949,100
20.0,0,19,31,0,23,947,100
21.0,0,20,23,0,33,944,100
22.0,0,20,21,0,36,943,100
23.0,0,19,22,0,37,942,100
24.0,0,19,22,0,42,937,100
25.0,0,18,21,0,44,937,100
26.0,0,17,22,0,48,933,100
27.0,0,17,21,0,50,932,100
28.0,0,16,21,0,53,930,100
29.0,0,15,22,0,57,926,100
30.0,0,14,23,0,58,925,100
31.0,0,10,22,0,65,923,100
32.0,0,11,19,0,68,922,100
33.0,0,11,18,0,70,921,100
34.0,0,12,19,0,71,918,100
35.0,0,11,20,0,72,917,100
36.0,0,11,21,0,72,916,100
37.0,0,11,21,0,74,914,100
38.0,0,8,20,0,78,914,100
39.0,0,8,20,0,79,913,100
40.0,0,7,17,0,84,912,100
41.0,0,7,18,0,85,910,100
42.0,0,8,17,0,87,908,100
43.0,0,8,17,0,87,908,100
44.0,0,8,16,0,88,908,100
45.0,0,8,16,0,90,906,100
46.0,0,8,18,0,92,902,100
47.0,0,7,18,0,93,902,100
48.0,0,6,19,0,96,899,100
49.0,0,5,19,0,98,898,100
50.0,0,5,18,0,100,897,100
51.0,0,4,17,0,102,897,100
52.0,0,4,17,0,103,896,100
53.0,0,4,18,0,103,895,100
54.0,0,3,18,0,104,895,100
55.0,0,3,16,0,106,895,100
56.0,0,2,16,0,108,894,100
57.0,0,2,16,0,109,893,100
58.0,0,2,15,0,111,892,100
59.0,0,1,15,0,112,892,100
60.0,0,1,14,0,113,892,100
61.0,0,1,15,0,113,891,100
62.0,0,0,14,0,116,890,100
63.0,0,0,13,0,117,890,100
64.0,0,0,12,0,118,890,100
65.0,0,0,12,0,118,890,100
66.0,0,0,11,0,119,890,100
67.0,0,0,9,0,121,890,100
68.0,0,0,9,0,121,890,100
69.0,0,0,8,0,123,889,100
70.0,0,0,8,0,124,888,100
71.0,0,0,8,0,124,888,100
72.0,0,0,8,0,124,888,100
73.0,0,0,6,0,126,888,100
74.0,0,0,6,0,127,887,100
75.0,0,0,7,0,127,886,100
76.0,0,0,8,0,127,885,100
77.0,0,0,8,0,128,884,100
78.0,0,0,8,0,128,884,100
79.0,0,0,10,0,128,882,100
80.0,0,0,10,0,128,882,100
81.0,0,0,11,0,128,881,100
82.0,0,0,10,0,129,881,100
83.0,0,0,9,0,130,881,100
84.0,0,0,10,0,130,880,100
85.0,0,0,11,0,130,879,100
86.0,0,0,11,0,130,879,100
87.0,0,0,11,0,130,879,100
88.0,0,0,12,0,130,878,100
89.0,0,0,12,0,130,878,100
90.0,0,0,12,0,131,877,100
91.0,0,0,13,0,132,875,100
92.0,0,0,13,0,132,875,100
93.0,0,0,13,0,132,875,100
94.0,0,0,13,0,132,875,100
95.0,0,0,12,0,133,875,100
96.0,0,0,11,0,134,875,100
97.0,0,0,10,0,135,875,100
98.0,0,0,10,0,136,874,100
99.0,0,0,10,0,136,874,100
100.0,0,0,8,0,138,874,100
101.0,0,0,8,0,138,874,100
102.0,0,0,7,0,139,874,100
103.0,0,0,7,0,139,874,100
104.0,0,0,7,0,140,873,100
105.0,0,0,6,0,141,873,100
106.0,0,0,5,0,142,873,100
107.0,0,0,5,0,142,873,100
108.0,0,0,5,0,142,873,100
109.0,0,0,4,0,143,873,100
110.0,0,0,4,0,143,873,100
111.0,0,0,4,0,143,873,100
112.0,0,0,2,0,145,873,100
113.0,0,0,4,0,145,871,100
114.0,0,0,4,0,145,871,100
115.0,0,0,4,0,145,871,100
116.0,0,0,4,0,145,871,100
117.0,0,0,4,0,145,871,100
118.0,0,0,4,0,145,871,100
119.0,0,0,3,0,146,871,100
120.0,0,0,3,0,146,871,100
121.0,0,0,3,0,146,871,100
122.0,0,0,3,0,146,871,100
123.0,0,0,3,0,146,871,100
124.0,0,0,3,0,146,871,100
125.0,0,0,2,0,147,871,100
126.0,0,0,3,0,147,870,100
127.0,0,0,3,0,147,870,100
128.0,0,0,3,0,147,870,100
129.0,0,0,3,0,147,870,100
130.0,0,0,3,0,147,870,100
131.0,0,0,3,0,147,870,100
132.0,0,0,3,0,147,870,100
133.0,0,0,3,0,147,870,100
134.0,0,0,1,0,149,870,100
135.0,0,0,1,0,149,870,100
136.0,0,0,1,0,149,870,100
137.0,0,0,1,0,149,870,100
138.0,0,0,1,0,149,870,100
139.0,0,0,2,0,149,869,100
140.0,0,0,2,0,149,869,100
141.0,0,0,4,0,149,867,100
142.0,0,0,4,0,149,867,100
143.0,0,0,5,0,149,866,100
144.0,0,0,5,0,149,866,100
145.0,0,0,5,0,149,866,100
146.0,0,0,5,0,149,866,100
147.0,0,0,4,0,150,866,100
148.0,0,0,4,0,150,866,100
149.0,0,0,4,0,150,866,100
150.0,0,0,4,0,150,866,100
151.0,0,0,4,0,150,866,100
152.0,0,0,4,0,150,866,100
153.0,0,0,3,0,151,866,100
154.0,0,0,3,0,151,866,100
155.0,0,0,3,0,151,866,100
156.0,0,0,3,0,151,866,100
157.0,0,0,3,0,151,866,100
158.0,0,0,3,0,151,866,100
159.0,0,0,3,0,151,866,100
160.0,0,0,3,0,152,865,100
161.0,0,0,3,0,152,865,100
162.0,0,0,1,0,154,865,100
163.0,0,0,1,0,154,865,100
164.0,0,0,1,0,154,865,100
165.0,0,0,1,0,154,865,100
166.0,0,0,1,0,154,865,100
167.0,0,0,1,0,154,865,100
168.0,0,0,1,0,154,865,100
169.0,0,0,2,0,154,864,100
170.0,0,0,2,0,154,864,100
171.0,0,0,2,0,154,864,100
172.0,0,0,2,0,154,864,100
173.0,0,0,2,0,154,864,100
174.0,0,0,2,0,154,864,100
175.0,0,0,2,0,154,864,100
176.0,0,0,2,0,154,864,100
177.0,0,0,2,0,154,864,100
178.0,0,0,2,0,154,864,100
179.0,0,0,2,0,154,864,100
180.0,0,0,2,0,154,864,100
181.0,0,0,2,0,155,863,100
182.0,0,0,2,0,155,863,100
183.0,0,0,2,0,155,863,100
184.0,0,0,2,0,155,863,100
185.0,0,0,2,0,155,863,100
186.0,0,0,2,0,155,863,100
187.0,0,0,2,0,155,863,100
188.0,0,0,2,0,155,863,100
189.0,0,0,2,0,155,863,100
190.0,0,0,1,0,156,863,100
191.0,0,0,1,0,156,863,100
192.0,0,0,1,0,156,863,100
193.0,0,0,1,0,156,863,100
194.0,0,0,1,0,156,863,100
195.0,0,0,1,0,156,863,100
196.0,0,0,1,0,156,863,100
197.0,0,0,1,0,156,863,100
198.0,0,0,1,0,156,863,100
199.0,0,0,1,0,156,863,100
200.0,0,0,1,0,156,863,100
201.0,0,0,1,0,156,863,100
202.0,0,0,0,0,157,863,100
