"tick","Dead","InfectedvA","InfectedvB","Quarantined","Recovered","Susceptible","Vaccinated"
1.0,0,16,18,0,0,996,0
2.0,0,17,19,0,0,994,0
3.0,0,17,22,0,1,990,0
4.0,0,17,22,0,2,989,0
5.0,0,17,24,0,3,986,0
6.0,0,18,28,0,3,981,0
7.0,0,21,30,0,3,976,0
8.0,0,21,35,0,3,971,0
9.0,0,22,38,0,5,965,0
10.0,0,27,40,0,6,957,0
11.0,0,28,43,0,6,953,0
12.0,0,35,44,0,7,944,0
13.0,0,37,47,0,7,939,0
14.0,0,38,49,0,7,936,0
15.0,0,42,50,0,7,931,0
16.0,0,44,54,0,9,923,0
17.0,0,49,60,0,9,912,0
18.0,0,51,63,0,9,907,0
19.0,0,54,63,0,10,903,0
20.0,0,63,67,0,11,889,0
21.0,0,52,60,0,37,881,0
22.0,0,55,59,0,42,874,0
23.0,0,61,61,0,45,863,0
24.0,0,61,60,0,49,860,0
25.0,0,65,62,0,50,853,0
26.0,0,68,65,0,53,844,0
27.0,0,72,65,0,60,833,0
28.0,0,76,69,0,65,820,0
29.0,0,78,76,0,71,805,0
30.0,0,84,84,0,75,787,0
31.0,0,84,86,0,85,775,0
32.0,0,88,89,0,88,765,0
33.0,0,83,98,0,100,749,0
34.0,0,85,105,0,107,733,0
35.0,0,90,115,0,111,714,0
36.0,0,92,124,0,117,697,0
37.0,0,91,128,0,124,687,0
38.0,0,96,133,0,133,668,0
39.0,0,100,135,0,140,655,0
40.0,0,103,146,0,144,637,0
41.0,0,103,148,0,159,620,0
42.0,0,108,153,0,167,602,0
43.0,0,107,158,0,175,590,0
44.0,0,105,161,0,187,577,0
45.0,1,107,167,0,192,563,0
46.0,1,103,170,0,203,553,0
47.0,1,105,179,0,212,533,0
48.0,1,104,182,0,224,519,0
49.0,1,99,192,0,237,501,0
50.0,1,100,188,0,253,488,0
51.0,1,96,186,0,269,478,0
52.0,1,96,191,0,281,461,0
53.0,1,95,197,0,291,446,0
54.0,1,95,194,0,307,433,0
55.0,1,97,192,0,321,419,0
56.0,2,98,185,0,340,405,0
57.0,2,102,181,0,358,387,0
58.0,2,105,182,0,367,374,0
59.0,2,102,177,0,385,364,0
60.0,2,99,174,0,402,353,0
61.0,2,96,171,0,416,345,0
62.0,2,95,166,0,433,334,0
63.0,2,93,159,0,449,327,0
64.0,2,91,159,0,460,318,0
65.0,2,87,155,0,475,311,0
66.0,2,89,150,0,490,299,0
67.0,2,92,143,0,501,292,0
68.0,2,91,131,0,520,286,0
69.0,2,87,124,0,535,282,0
70.0,2,89,110,0,552,277,0
71.0,2,91,102,0,564,271,0
72.0,2,91,100,0,572,265,0
73.0,3,88,89,0,589,261,0
74.0,3,83,84,0,603,257,0
75.0,3,81,81,0,616,249,0
76.0,3,78,75,0,631,243,0
77.0,3,73,71,0,644,239,0
78.0,4,68,64,0,660,234,0
79.0,4,65,60,0,671,230,0
80.0,4,61,57,0,681,227,0
81.0,4,56,53,0,691,226,0
82.0,4,56,48,0,700,222,0
83.0,4,53,44,0,712,217,0
84.0,5,52,41,0,719,213,0
85.0,5,51,36,0,725,213,0
86.0,5,50,33,0,731,211,0
87.0,5,47,30,0,740,208,0
88.0,5,45,30,0,744,206,0
89.0,6,42,28,0,749,205,0
90.0,6,42,28,0,753,201,0
91.0,6,43,26,0,756,199,0
92.0,6,40,25,0,762,197,0
93.0,6,39,21,0,769,195,0
94.0,6,39,22,0,771,192,0
95.0,6,37,19,0,776,192,0
96.0,6,37,18,0,782,187,0
97.0,6,34,17,0,787,186,0
98.0,6,34,15,0,790,185,0
99.0,6,30,14,0,797,183,0
100.0,6,27,13,0,801,183,0
