"tick","Dead","Hospital","InfectedvA","InfectedvB","Susceptible","Vaccinatated","Recovered"
1.0,0,1,11,13,996,0,0
2.0,0,1,11,15,994,0,0
3.0,0,1,10,18,991,0,1
4.0,0,1,10,19,990,0,1
5.0,0,1,10,20,988,0,2
6.0,0,1,11,21,986,0,2
7.0,0,1,10,23,984,0,3
8.0,0,1,10,26,981,0,3
9.0,0,1,10,30,977,0,3
10.0,0,1,10,35,972,0,3
11.0,0,1,12,40,965,0,3
12.0,0,1,13,42,962,0,3
13.0,0,1,14,47,956,0,3
14.0,0,1,16,49,951,0,4
15.0,0,1,15,52,948,0,5
16.0,0,1,14,55,945,0,6
17.0,0,1,15,58,941,0,6
18.0,0,1,15,62,936,0,7
19.0,0,1,14,67,929,0,10
20.0,0,1,16,69,925,0,10
21.0,0,1,10,65,921,0,24
22.0,0,1,10,65,916,0,29
23.0,0,1,12,69,908,0,31
24.0,0,1,11,71,903,0,35
25.0,0,1,11,74,899,0,36
26.0,0,1,13,78,891,0,38
27.0,0,1,12,83,884,0,41
28.0,0,1,12,84,880,0,44
29.0,0,1,13,81,878,0,48
30.0,0,1,14,82,873,0,51
31.0,0,1,14,80,869,0,57
32.0,0,1,16,80,861,0,63
33.0,0,1,16,79,857,0,68
34.0,0,1,17,79,851,0,73
35.0,0,1,16,78,849,0,77
36.0,0,1,17,81,843,0,79
37.0,0,1,17,85,835,0,83
38.0,0,1,18,87,828,0,87
39.0,0,1,18,87,823,0,92
40.0,0,1,18,85,816,0,101
41.0,0,1,20,88,808,0,104
42.0,0,1,21,92,798,0,109
43.0,0,1,21,94,792,0,113
44.0,0,1,19,94,785,0,122
45.0,0,1,19,96,778,0,127
46.0,0,1,18,96,774,0,132
47.0,0,1,17,92,770,0,141
48.0,0,1,19,93,761,0,147
49.0,0,1,20,93,756,0,151
50.0,0,1,20,96,751,0,153
51.0,0,1,19,97,747,0,157
52.0,0,1,18,93,745,0,164
53.0,0,1,16,94,740,0,170
54.0,0,1,15,93,738,0,174
55.0,0,1,13,98,730,0,179
56.0,0,1,13,99,726,0,182
57.0,0,1,13,97,722,0,188
58.0,0,1,13,100,712,0,195
59.0,0,1,11,97,708,0,204
60.0,0,1,12,99,702,0,207
61.0,0,1,12,94,699,0,215
62.0,0,1,11,94,692,0,223
63.0,0,1,10,92,684,0,234
64.0,0,1,9,89,682,0,240
65.0,0,1,8,87,677,0,248
66.0,0,1,7,84,673,0,256
67.0,0,1,8,84,669,0,259
68.0,0,1,7,87,662,0,264
69.0,0,1,7,85,656,0,272
70.0,0,1,7,83,654,0,276
71.0,0,1,6,88,646,0,280
72.0,0,1,6,81,646,0,287
73.0,0,1,5,85,642,0,288
74.0,0,1,5,84,637,0,294
75.0,0,1,6,88,630,0,296
76.0,0,1,5,85,627,0,303
77.0,0,1,5,83,624,0,308
78.0,0,1,5,84,619,0,312
79.0,0,1,4,77,617,0,322
80.0,0,1,4,83,608,0,325
81.0,0,1,1,84,602,0,333
82.0,0,1,1,85,598,0,336
83.0,0,1,1,83,595,0,341
84.0,0,1,1,80,590,0,349
85.0,0,1,1,84,586,0,349
86.0,0,1,2,80,582,0,356
87.0,0,1,2,76,581,0,361
88.0,0,1,2,75,578,0,365
89.0,0,1,2,79,569,0,370
90.0,0,1,1,77,566,0,376
91.0,0,1,1,76,564,0,379
92.0,0,1,1,71,562,0,386
93.0,0,1,1,70,561,0,388
94.0,0,1,1,67,560,0,392
95.0,0,1,1,68,555,0,396
96.0,0,1,1,67,551,0,401
97.0,0,1,1,69,546,0,404
98.0,0,1,1,72,541,0,406
99.0,0,1,1,66,540,0,413
100.0,0,1,1,67,537,0,415
101.0,0,1,1,63,536,0,420
102.0,0,1,1,60,534,0,425
103.0,0,1,1,57,531,0,431
104.0,0,1,1,57,528,0,434
105.0,0,1,1,54,526,0,439
106.0,0,1,1,49,526,0,444
107.0,0,1,0,48,525,0,447
108.0,0,1,0,50,522,0,448
109.0,0,1,0,51,518,0,451
110.0,0,1,0,45,518,0,457
111.0,0,1,0,43,517,0,460
112.0,0,1,0,43,515,0,462
113.0,0,1,0,44,513,0,463
114.0,0,1,0,43,513,0,464
115.0,0,1,0,42,513,0,465
116.0,0,1,0,44,508,0,468
117.0,0,1,0,41,507,0,472
118.0,0,1,0,40,504,0,476
119.0,0,1,0,37,502,0,481
120.0,0,1,0,37,501,0,482
121.0,0,1,0,34,500,0,486
122.0,0,1,0,35,498,0,487
123.0,0,1,0,34,497,0,489
124.0,0,1,0,33,495,0,492
125.0,0,1,0,31,494,0,495
126.0,0,1,0,32,491,0,497
127.0,0,1,0,36,487,0,497
128.0,0,1,0,38,484,0,498
129.0,0,1,0,39,481,0,500
130.0,0,1,0,36,480,0,504
131.0,0,1,0,36,478,0,506
132.0,0,1,0,37,474,0,509
133.0,0,1,0,37,472,0,511
134.0,0,1,0,37,470,0,513
135.0,0,1,0,38,469,0,513
136.0,0,1,0,41,466,0,513
137.0,0,1,0,37,466,0,517
138.0,0,1,0,36,466,0,518
139.0,0,1,0,33,465,0,522
