"tick","Dead","InfectedvA","InfectedvB","Quarantined","Recovered","Susceptible","Vaccinated"
1.0,0,12,0,0,0,998,0
2.0,0,12,0,0,0,998,0
3.0,0,13,0,0,0,997,0
4.0,0,13,0,0,0,997,0
5.0,0,16,0,0,0,994,0
6.0,0,19,0,0,0,991,0
7.0,0,19,0,0,0,991,0
8.0,0,20,0,0,1,989,0
9.0,0,22,0,0,1,987,0
10.0,0,22,0,0,1,987,0
11.0,0,23,0,0,1,986,0
12.0,0,26,0,0,1,983,0
13.0,0,31,0,0,2,977,0
14.0,0,32,0,0,3,975,0
15.0,0,34,0,0,3,973,0
16.0,0,33,0,0,4,973,0
17.0,0,37,0,0,5,968,0
18.0,0,43,0,0,6,961,0
19.0,0,45,0,0,6,959,0
20.0,0,45,0,0,7,958,0
21.0,0,38,0,0,14,958,0
22.0,0,36,0,0,17,957,0
23.0,0,36,0,0,17,957,0
24.0,0,36,0,0,17,957,0
25.0,0,38,0,0,17,955,0
26.0,0,39,0,0,19,952,0
27.0,0,39,0,0,22,949,0
28.0,0,39,0,0,22,949,0
29.0,0,36,0,0,26,948,0
30.0,0,35,0,0,28,947,0
31.0,0,37,0,0,28,945,0
32.0,0,35,0,0,30,945,0
33.0,0,34,0,0,32,944,0
34.0,0,30,0,0,36,944,0
35.0,0,29,0,0,38,943,0
36.0,0,26,0,0,41,943,0
37.0,0,28,0,0,42,940,0
38.0,0,27,0,0,45,938,0
39.0,0,20,0,0,52,938,0
40.0,0,19,0,0,54,937,0
41.0,0,21,0,0,55,934,0
42.0,0,23,0,0,55,932,0
43.0,0,23,0,0,55,932,0
44.0,0,23,0,0,56,931,0
45.0,0,23,0,0,56,931,0
46.0,0,22,0,0,57,931,0
47.0,0,22,0,0,59,929,0
48.0,0,21,0,0,62,927,0
49.0,0,24,0,0,62,924,0
50.0,0,25,0,0,63,922,0
51.0,0,25,0,0,64,921,0
52.0,0,24,0,0,66,920,0
53.0,0,24,0,0,67,919,0
54.0,0,23,0,0,68,919,0
55.0,0,24,0,0,68,918,0
56.0,0,23,0,0,69,918,0
57.0,0,24,0,0,69,917,0
58.0,0,23,0,0,72,915,0
59.0,0,20,0,0,75,915,0
60.0,0,21,0,0,75,914,0
61.0,0,20,0,0,76,914,0
62.0,0,21,0,0,77,912,0
63.0,0,19,0,0,79,912,0
64.0,0,19,0,0,80,911,0
65.0,0,19,0,0,81,910,0
66.0,0,18,0,0,82,910,0
67.0,0,18,0,0,82,910,0
68.0,0,17,0,0,84,909,0
69.0,0,16,0,0,86,908,0
70.0,0,13,0,0,90,907,0
71.0,0,11,0,0,92,907,0
72.0,0,9,0,0,94,907,0
73.0,0,7,0,0,96,907,0
74.0,0,8,0,0,96,906,0
75.0,0,10,0,0,96,904,0
