"tick","Dead","InfectedvA","InfectedvB","Quarantined","Recovered","Susceptible","Vaccinated"
1.0,0,7,7,0,0,996,0
2.0,0,8,7,0,0,995,0
3.0,0,9,8,0,0,993,0
4.0,0,9,8,0,0,993,0
5.0,0,9,9,0,0,992,0
6.0,0,11,11,0,1,987,0
7.0,0,14,11,0,1,984,0
8.0,0,17,14,0,1,978,0
9.0,0,17,15,0,2,976,0
10.0,0,18,16,0,2,974,0
11.0,0,20,19,0,2,969,0
12.0,0,21,19,0,2,968,0
13.0,0,22,20,0,2,966,0
14.0,0,22,21,0,2,965,0
15.0,0,24,21,0,2,963,0
16.0,0,25,25,0,2,958,0
17.0,0,26,30,0,4,950,0
18.0,0,30,32,0,4,944,0
19.0,0,35,36,0,5,934,0
20.0,0,42,39,0,7,922,0
21.0,0,43,38,0,16,913,0
22.0,0,48,45,0,20,897,0
23.0,0,51,46,0,21,892,0
24.0,0,53,48,0,23,886,0
25.0,0,67,51,0,23,869,0
26.0,0,74,53,0,25,858,0
27.0,0,79,53,0,30,848,0
28.0,0,86,60,0,33,831,0
29.0,0,89,63,0,41,817,0
30.0,0,92,64,0,46,808,0
31.0,0,97,64,0,47,802,0
32.0,0,100,62,0,54,794,0
33.0,0,100,64,0,60,786,0
34.0,0,108,66,0,64,772,0
35.0,0,117,67,0,65,761,0
36.0,0,123,72,0,71,744,0
37.0,0,134,71,0,79,726,0
38.0,0,139,69,0,88,714,0
39.0,0,143,68,0,96,703,0
40.0,0,146,66,0,108,690,0
41.0,0,144,66,0,119,681,0
42.0,0,138,67,0,128,677,0
43.0,0,144,63,0,143,660,0
44.0,0,147,63,0,148,652,0
45.0,0,152,63,0,154,641,0
46.0,0,146,65,0,168,631,0
47.0,0,140,68,0,179,623,0
48.0,0,141,73,0,186,610,0
49.0,0,137,69,0,202,602,0
50.0,0,136,67,0,214,593,0
51.0,0,134,67,0,223,586,0
52.0,0,130,70,0,229,581,0
53.0,0,134,68,0,240,568,0
54.0,0,134,67,0,249,560,0
55.0,0,130,68,0,261,551,0
56.0,0,128,69,0,272,541,0
57.0,0,123,66,0,288,533,0
58.0,0,122,65,0,300,523,0
59.0,0,116,62,0,315,517,0
60.0,0,114,64,0,326,506,0
61.0,0,107,65,0,340,498,0
62.0,0,106,62,0,349,493,0
