"tick","Dead","InfectedvA","InfectedvB","Quarantined","Recovered","Susceptible","Vaccinated"
1.0,0,5,7,0,1,997,0
2.0,0,5,8,0,1,996,0
3.0,0,7,8,0,1,994,0
4.0,0,7,9,0,1,993,0
5.0,0,9,11,0,1,989,0
6.0,0,11,12,0,1,986,0
7.0,0,12,14,0,2,982,0
8.0,0,15,14,0,2,979,0
9.0,0,17,15,0,2,976,0
10.0,0,19,18,0,2,971,0
11.0,0,24,18,0,2,966,0
12.0,0,28,19,0,2,961,0
13.0,0,31,22,0,2,955,0
14.0,0,34,27,0,3,946,0
15.0,0,34,25,0,6,945,0
16.0,0,37,27,0,7,939,0
17.0,0,40,30,0,9,931,0
18.0,0,43,32,0,9,926,0
19.0,0,48,36,0,10,916,0
20.0,0,53,37,0,11,909,0
21.0,0,52,34,0,18,906,0
22.0,0,52,37,0,22,899,0
23.0,0,55,39,0,23,893,0
24.0,0,55,44,0,27,884,0
25.0,0,59,43,0,29,879,0
26.0,0,58,42,0,36,874,0
27.0,0,59,45,0,38,868,0
28.0,0,61,44,0,44,861,0
29.0,0,62,47,0,49,852,0
30.0,0,61,50,0,54,845,0
31.0,0,63,56,0,58,833,0
32.0,0,61,57,0,64,828,0
33.0,0,60,59,0,68,823,0
34.0,0,63,62,0,73,812,0
35.0,0,67,60,0,80,803,0
36.0,0,73,63,0,81,793,0
37.0,0,78,70,0,89,773,0
38.0,0,78,70,0,96,766,0
39.0,0,78,70,0,105,757,0
40.0,0,85,72,0,112,741,0
41.0,0,85,75,0,119,731,0
42.0,0,90,77,0,121,722,0
43.0,0,95,79,0,126,710,0
44.0,0,97,78,0,132,703,0
45.0,0,97,76,0,141,696,0
46.0,0,99,77,0,146,688,0
47.0,0,99,75,0,153,683,0
48.0,0,107,74,0,158,671,0
49.0,0,104,72,0,168,666,0
50.0,0,105,72,0,176,657,0
51.0,0,109,69,0,187,645,0
52.0,0,112,66,0,199,633,0
53.0,0,116,67,0,205,622,0
54.0,0,123,66,0,211,610,0
55.0,0,118,63,0,222,607,0
56.0,0,116,63,0,232,599,0
57.0,0,118,62,0,240,590,0
58.0,0,116,62,0,258,574,0
59.0,0,115,62,0,267,566,0
60.0,0,117,64,0,275,554,0
61.0,0,111,62,0,289,548,0
62.0,0,107,60,0,298,545,0
63.0,0,104,57,0,310,539,0
64.0,0,98,55,0,323,534,0
65.0,0,96,56,0,329,529,0
66.0,0,96,57,0,335,522,0
67.0,0,95,58,0,343,514,0
68.0,0,99,61,0,350,500,0
69.0,0,92,65,0,360,493,0
70.0,0,96,64,0,366,484,0
71.0,0,97,65,0,370,478,0
72.0,0,95,64,0,384,467,0
73.0,0,94,65,0,392,459,0
74.0,0,94,65,0,404,447,0
75.0,0,87,67,0,417,439,0
76.0,0,86,67,0,420,437,0
77.0,0,89,69,0,428,424,0
78.0,0,87,71,0,434,418,0
79.0,0,82,72,0,449,407,0
80.0,0,80,73,0,460,397,0
81.0,0,76,68,0,471,395,0
82.0,0,79,72,0,475,384,0
83.0,0,80,72,0,480,378,0
84.0,0,80,70,0,486,374,0
85.0,0,78,73,0,491,368,0
86.0,0,81,72,0,497,360,0
87.0,0,77,75,0,504,354,0
88.0,0,78,76,0,511,345,0
89.0,0,68,75,0,526,341,0
90.0,0,68,72,0,532,338,0
91.0,0,63,76,0,541,330,0
92.0,0,65,77,0,547,321,0
93.0,0,62,76,0,558,314,0
94.0,0,58,77,0,566,309,0
95.0,0,52,76,0,577,305,0
96.0,0,52,72,0,585,301,0
97.0,0,50,72,0,588,300,0
98.0,0,46,70,0,599,295,0
99.0,0,48,68,0,604,290,0
100.0,0,46,60,0,616,288,0
101.0,0,44,54,0,628,284,0
102.0,0,46,52,0,630,282,0
103.0,0,46,47,0,643,274,0
104.0,0,44,46,0,648,272,0
105.0,0,43,48,0,651,268,0
106.0,0,45,45,0,656,264,0
