"tick","Dead","Hospital","InfectedvA","InfectedvB","Susceptible","Vaccinatated","Recovered"
1.0,0,1,10,0,1000,0,0
2.0,0,1,10,0,1000,0,0
3.0,0,1,10,0,1000,0,0
4.0,0,1,12,0,998,0,0
5.0,0,1,15,0,995,0,0
6.0,0,1,17,0,993,0,0
7.0,0,1,17,0,993,0,0
8.0,0,1,19,0,991,0,0
9.0,0,1,19,0,990,0,1
10.0,0,1,20,0,989,0,1
11.0,0,1,21,0,988,0,1
12.0,0,1,22,0,987,0,1
13.0,0,1,21,0,987,0,2
14.0,0,1,21,0,987,0,2
15.0,0,1,21,0,986,0,3
16.0,0,1,21,0,986,0,3
17.0,0,1,22,0,985,0,3
18.0,0,1,24,0,983,0,3
19.0,0,1,24,0,983,0,3
20.0,0,1,25,0,982,0,3
21.0,0,1,16,0,982,0,12
22.0,0,1,16,0,982,0,12
23.0,0,1,16,0,982,0,12
24.0,0,1,17,0,981,0,12
25.0,0,1,18,0,979,0,13
26.0,0,1,16,0,979,0,15
27.0,0,1,14,0,979,0,17
28.0,0,1,13,0,979,0,18
29.0,0,1,12,0,978,0,20
30.0,0,1,11,0,978,0,21
31.0,0,1,10,0,978,0,22
32.0,0,1,9,0,978,0,23
33.0,0,1,10,0,976,0,24
34.0,0,1,11,0,975,0,24
35.0,0,1,10,0,975,0,25
36.0,0,1,9,0,975,0,26
37.0,0,1,11,0,973,0,26
38.0,0,1,11,0,973,0,26
39.0,0,1,10,0,973,0,27
40.0,0,1,10,0,973,0,27
41.0,0,1,12,0,970,0,28
42.0,0,1,11,0,970,0,29
43.0,0,1,11,0,970,0,29
44.0,0,1,11,0,970,0,29
45.0,0,1,11,0,969,0,30
46.0,0,1,13,0,965,0,32
47.0,0,1,13,0,965,0,32
48.0,0,1,13,0,965,0,32
49.0,0,1,12,0,965,0,33
50.0,0,1,11,0,965,0,34
51.0,0,1,11,0,965,0,34
52.0,0,1,11,0,965,0,34
53.0,0,1,11,0,965,0,34
54.0,0,1,11,0,964,0,35
55.0,0,1,11,0,963,0,36
56.0,0,1,12,0,962,0,36
57.0,0,1,13,0,961,0,36
58.0,0,1,11,0,961,0,38
59.0,0,1,11,0,961,0,38
60.0,0,1,11,0,961,0,38
61.0,0,1,11,0,960,0,39
62.0,0,1,9,0,960,0,41
63.0,0,1,12,0,957,0,41
64.0,0,1,13,0,956,0,41
65.0,0,1,13,0,956,0,41
66.0,0,1,12,0,956,0,42
67.0,0,1,10,0,954,0,46
68.0,0,1,11,0,953,0,46
69.0,0,1,11,0,953,0,46
70.0,0,1,11,0,953,0,46
71.0,0,1,11,0,953,0,46
72.0,0,1,11,0,953,0,46
73.0,0,1,11,0,953,0,46
74.0,0,1,12,0,952,0,46
75.0,0,1,13,0,951,0,46
76.0,0,1,12,0,951,0,47
77.0,0,1,12,0,950,0,48
78.0,0,1,11,0,950,0,49
79.0,0,1,11,0,949,0,50
80.0,0,1,12,0,948,0,50
81.0,0,1,13,0,947,0,50
82.0,0,1,12,0,947,0,51
83.0,0,1,11,0,946,0,53
84.0,0,1,9,0,945,0,56
85.0,0,1,9,0,944,0,57
86.0,0,1,9,0,944,0,57
87.0,0,1,9,0,944,0,57
88.0,0,1,8,0,944,0,58
89.0,0,1,7,0,944,0,59
90.0,0,1,8,0,943,0,59
91.0,0,1,9,0,942,0,59
92.0,0,1,10,0,941,0,59
93.0,0,1,10,0,941,0,59
94.0,0,1,11,0,940,0,59
95.0,0,1,10,0,940,0,60
96.0,0,1,10,0,940,0,60
97.0,0,1,9,0,940,0,61
98.0,0,1,8,0,940,0,62
99.0,0,1,8,0,940,0,62
100.0,0,1,9,0,939,0,62
101.0,0,1,8,0,939,0,63
102.0,0,1,8,0,939,0,63
103.0,0,1,8,0,939,0,63
104.0,0,1,8,0,938,0,64
105.0,0,1,7,0,938,0,65
106.0,0,1,6,0,938,0,66
107.0,0,1,6,0,938,0,66
108.0,0,1,10,0,933,0,67
109.0,0,1,11,0,932,0,67
110.0,0,1,10,0,932,0,68
111.0,0,1,9,0,932,0,69
112.0,0,1,8,0,932,0,70
113.0,0,1,7,0,932,0,71
114.0,0,1,8,0,931,0,71
115.0,0,1,7,0,931,0,72
116.0,0,1,7,0,931,0,72
117.0,0,1,8,0,930,0,72
118.0,0,1,8,0,930,0,72
119.0,0,1,9,0,929,0,72
120.0,0,1,11,0,927,0,72
121.0,0,1,11,0,927,0,72
122.0,0,1,11,0,927,0,72
