"tick","Dead","InfectedvA","InfectedvB","Quarantined","Recovered","Susceptible","Vaccinated"
1.0,0,18,17,0,0,995,0
2.0,0,18,20,0,0,992,0
3.0,0,19,24,0,0,987,0
4.0,0,21,28,0,0,981,0
5.0,0,23,33,0,1,973,0
6.0,0,27,35,0,1,967,0
7.0,0,31,36,0,2,961,0
8.0,0,35,39,0,2,954,0
9.0,0,38,42,0,2,948,0
10.0,0,42,48,0,4,936,0
11.0,0,47,57,0,6,920,0
12.0,0,48,61,0,8,913,0
13.0,0,50,70,0,8,902,0
14.0,0,50,77,0,9,894,0
15.0,0,48,89,0,13,880,0
16.0,0,52,101,0,14,863,0
17.0,0,62,102,0,16,850,0
18.0,0,67,104,0,20,839,0
19.0,0,70,120,0,22,818,0
20.0,0,72,129,0,25,804,0
21.0,0,65,120,0,55,790,0
22.0,0,64,130,0,61,775,0
23.0,0,72,134,0,64,760,0
24.0,0,75,138,0,71,746,0
25.0,0,76,143,0,78,733,0
26.0,0,80,156,0,83,711,0
27.0,0,80,166,0,89,695,0
28.0,0,78,181,0,96,675,0
29.0,0,76,183,0,104,667,0
30.0,0,74,193,0,112,651,0
31.0,0,76,198,0,124,632,0
32.0,0,75,195,0,139,621,0
33.0,0,78,196,0,145,611,0
34.0,0,81,200,0,156,593,0
35.0,0,84,217,0,162,567,0
36.0,0,85,218,0,180,547,0
37.0,0,85,214,0,197,534,0
38.0,0,81,219,0,213,517,0
39.0,0,79,225,0,229,497,0
40.0,0,80,216,0,248,486,0
41.0,2,79,218,0,262,469,0
42.0,2,75,218,0,277,458,0
43.0,2,75,225,0,287,441,0
44.0,2,73,227,0,300,428,0
45.0,2,72,225,0,314,417,0
46.0,2,67,228,0,329,404,0
47.0,2,68,223,0,350,387,0
48.0,2,68,218,0,364,378,0
49.0,2,70,210,0,386,362,0
50.0,2,71,210,0,393,354,0
51.0,2,71,207,0,408,342,0
52.0,2,72,202,0,425,329,0
53.0,2,72,202,0,434,320,0
54.0,2,71,206,0,441,310,0
55.0,2,72,203,0,458,295,0
56.0,2,78,192,0,482,276,0
57.0,2,80,181,0,501,266,0
58.0,2,82,173,0,515,258,0
59.0,2,85,170,0,528,245,0
60.0,2,85,162,0,547,234,0
61.0,2,83,157,0,559,229,0
62.0,3,84,149,0,577,217,0
63.0,4,82,142,0,588,214,0
64.0,4,82,135,0,601,208,0
65.0,4,81,125,0,615,205,0
66.0,5,77,120,0,628,200,0
67.0,5,77,116,0,640,192,0
68.0,5,75,110,0,658,182,0
69.0,5,75,108,0,667,175,0
70.0,5,67,102,0,684,172,0
71.0,6,65,98,0,692,169,0
72.0,6,65,95,0,700,164,0
73.0,6,59,93,0,711,161,0
74.0,6,55,88,0,721,160,0
75.0,6,57,79,0,732,156,0
76.0,6,54,71,0,745,154,0
77.0,7,43,62,0,766,152,0
78.0,7,43,57,0,775,148,0
79.0,7,37,53,0,785,148,0
80.0,7,32,49,0,794,148,0
81.0,7,30,42,0,804,147,0
82.0,7,30,39,0,808,146,0
83.0,7,26,35,0,817,145,0
84.0,7,25,33,0,820,145,0
85.0,7,22,29,0,827,145,0
86.0,7,20,30,0,830,143,0
87.0,7,19,28,0,834,142,0
88.0,7,18,24,0,841,140,0
89.0,7,14,20,0,849,140,0
90.0,7,15,17,0,852,139,0
91.0,7,14,15,0,855,139,0
92.0,7,13,13,0,859,138,0
93.0,7,11,12,0,863,137,0
94.0,7,11,9,0,866,137,0
95.0,7,11,9,0,867,136,0
96.0,7,8,9,0,870,136,0
97.0,7,8,7,0,872,136,0
98.0,7,7,6,0,874,136,0
99.0,7,4,6,0,877,136,0
100.0,7,5,6,0,877,135,0
101.0,7,5,6,0,877,135,0
102.0,7,5,6,0,878,134,0
103.0,7,4,6,0,879,134,0
104.0,7,5,6,0,879,133,0
105.0,7,5,6,0,879,133,0
106.0,7,5,6,0,879,133,0
107.0,7,4,5,0,881,133,0
108.0,7,4,5,0,881,133,0
109.0,7,4,3,0,883,133,0
110.0,7,5,3,0,883,132,0
111.0,7,4,3,0,884,132,0
112.0,7,4,3,0,884,132,0
113.0,7,3,3,0,885,132,0
114.0,7,3,2,0,886,132,0
115.0,7,3,2,0,886,132,0
116.0,7,3,1,0,887,132,0
117.0,7,3,1,0,887,132,0
118.0,7,2,1,0,888,132,0
119.0,7,2,1,0,888,132,0
120.0,7,3,1,0,888,131,0
121.0,7,3,1,0,888,131,0
122.0,7,3,1,0,888,131,0
123.0,7,3,0,0,889,131,0
124.0,7,3,0,0,889,131,0
125.0,7,2,0,0,890,131,0
126.0,7,2,0,0,890,131,0
127.0,7,2,0,0,890,131,0
128.0,7,2,0,0,890,131,0
129.0,7,2,0,0,890,131,0
130.0,7,2,0,0,890,131,0
131.0,7,1,0,0,891,131,0
132.0,7,1,0,0,891,131,0
133.0,7,1,0,0,891,131,0
134.0,7,1,0,0,891,131,0
135.0,7,1,0,0,891,131,0
136.0,7,1,0,0,891,131,0
137.0,7,1,0,0,891,131,0
138.0,7,1,0,0,891,131,0
139.0,7,1,0,0,891,131,0
140.0,7,1,0,0,891,131,0
141.0,7,0,0,0,892,131,0
142.0,7,0,0,0,892,131,0
