"run","tick","Dead","InfectedvA","InfectedvB","Quarantined","Recovered","Susceptible","Vaccinated"
1,1.0,0,12,0,0,0,988,0
1,2.0,0,14,0,0,0,986,0
1,3.0,0,15,0,0,0,985,0
1,4.0,0,15,0,0,0,985,0
1,5.0,0,18,0,0,0,982,0
1,6.0,0,19,0,0,0,981,0
1,7.0,0,20,0,0,0,980,0
1,8.0,1,19,0,0,0,980,0
1,9.0,3,17,0,0,0,980,0
1,10.0,4,17,0,0,0,979,0
1,11.0,8,13,0,0,0,979,0
1,12.0,8,12,0,0,1,979,0
1,13.0,9,11,0,0,1,979,0
1,14.0,10,10,0,0,1,979,0
1,15.0,12,8,0,0,1,979,0
1,16.0,12,8,0,0,1,979,0
1,17.0,12,8,0,0,1,979,0
1,18.0,12,9,0,0,1,978,0
1,19.0,12,15,0,0,1,972,0
1,20.0,13,15,0,0,1,971,0
1,21.0,15,12,0,0,3,970,0
1,22.0,17,10,0,0,3,970,0
1,23.0,17,11,0,0,3,969,0
1,24.0,17,12,0,0,3,968,0
1,25.0,18,12,0,0,3,967,0
1,26.0,18,13,0,0,5,964,0
1,27.0,19,13,0,0,5,963,0
1,28.0,20,11,0,0,6,963,0
1,29.0,20,13,0,0,6,961,0
1,30.0,21,12,0,0,6,961,0
1,31.0,23,11,0,0,6,960,0
1,32.0,24,13,0,0,6,957,0
1,33.0,24,14,0,0,6,956,0
1,34.0,24,15,0,0,6,955,0
1,35.0,24,17,0,0,6,953,0
1,36.0,25,18,0,0,6,951,0
1,37.0,27,17,0,0,6,950,0
1,38.0,27,17,0,0,6,950,0
1,39.0,27,17,0,0,7,949,0
1,40.0,27,16,0,0,9,948,0
1,41.0,28,15,0,0,9,948,0
1,42.0,30,14,0,0,9,947,0
1,43.0,30,17,0,0,9,944,0
1,44.0,32,15,0,0,9,944,0
1,45.0,33,14,0,0,10,943,0
1,46.0,33,16,0,0,10,941,0
1,47.0,33,14,0,0,13,940,0
1,48.0,34,12,0,0,14,940,0
1,49.0,35,11,0,0,14,940,0
1,50.0,36,9,0,0,15,940,0
1,51.0,37,10,0,0,15,938,0
1,52.0,37,11,0,0,15,937,0
1,53.0,39,9,0,0,15,937,0
1,54.0,39,12,0,0,15,934,0
1,55.0,40,10,0,0,16,934,0
1,56.0,41,9,0,0,17,933,0
1,57.0,41,10,0,0,17,932,0
1,58.0,42,9,0,0,17,932,0
1,59.0,42,9,0,0,17,932,0
1,60.0,43,8,0,0,17,932,0
1,61.0,43,8,0,0,18,931,0
1,62.0,43,9,0,0,18,930,0
1,63.0,45,7,0,0,18,930,0
1,64.0,46,5,0,0,19,930,0
1,65.0,46,6,0,0,19,929,0
1,66.0,47,6,0,0,19,928,0
1,67.0,47,6,0,0,19,928,0
1,68.0,48,5,0,0,19,928,0
1,69.0,48,5,0,0,19,928,0
1,70.0,48,7,0,0,19,926,0
1,71.0,48,7,0,0,19,926,0
1,72.0,48,5,0,0,21,926,0
1,73.0,48,5,0,0,21,926,0
1,74.0,49,4,0,0,21,926,0
1,75.0,49,4,0,0,22,925,0
1,76.0,49,4,0,0,22,925,0
1,77.0,49,5,0,0,23,923,0
1,78.0,49,5,0,0,23,923,0
1,79.0,49,6,0,0,23,922,0
1,80.0,49,6,0,0,23,922,0
1,81.0,49,6,0,0,23,922,0
1,82.0,49,6,0,0,23,922,0
1,83.0,49,5,0,0,24,922,0
1,84.0,49,5,0,0,24,922,0
1,85.0,49,6,0,0,24,921,0
1,86.0,49,6,0,0,24,921,0
1,87.0,49,8,0,0,24,919,0
1,88.0,49,10,0,0,24,917,0
1,89.0,50,9,0,0,24,917,0
1,90.0,51,8,0,0,24,917,0
1,91.0,52,6,0,0,25,917,0
1,92.0,52,6,0,0,25,917,0
1,93.0,52,6,0,0,25,917,0
1,94.0,53,5,0,0,25,917,0
1,95.0,53,5,0,0,25,917,0
1,96.0,53,6,0,0,25,916,0
1,97.0,53,7,0,0,25,915,0
1,98.0,53,7,0,0,26,914,0
1,99.0,53,6,0,0,27,914,0
1,100.0,53,6,0,0,28,913,0
1,101.0,54,5,0,0,28,913,0
1,102.0,54,5,0,0,28,913,0
1,103.0,54,6,0,0,28,912,0
1,104.0,54,6,0,0,28,912,0
1,105.0,54,5,0,0,29,912,0
1,106.0,55,4,0,0,29,912,0
1,107.0,56,3,0,0,29,912,0
1,108.0,56,3,0,0,29,912,0
1,109.0,56,2,0,0,30,912,0
1,110.0,56,2,0,0,30,912,0
1,111.0,56,2,0,0,30,912,0
1,112.0,56,2,0,0,30,912,0
