"run","tick","Dead","InfectedvA","InfectedvB","Quarantined","Recovered","Susceptible","Vaccinated"
1,1.0,0,12,0,0,0,738,250
1,2.0,0,12,0,0,0,738,250
1,3.0,0,12,0,0,0,738,250
1,4.0,0,12,0,0,0,738,250
1,5.0,0,15,0,0,0,735,250
1,6.0,0,16,0,0,0,734,250
1,7.0,0,21,0,0,0,729,250
1,8.0,0,22,0,0,0,728,250
1,9.0,0,25,0,0,0,725,250
1,10.0,0,25,0,0,0,725,250
1,11.0,0,26,0,0,0,724,250
1,12.0,0,25,0,0,1,724,250
1,13.0,0,25,0,0,3,722,250
1,14.0,0,25,0,0,3,722,250
1,15.0,0,28,0,0,3,719,250
1,16.0,0,28,0,0,4,718,250
1,17.0,0,31,0,0,4,715,250
1,18.0,0,33,0,0,5,712,250
1,19.0,0,33,0,0,5,712,250
1,20.0,0,35,0,0,5,710,250
1,21.0,0,29,0,0,12,709,250
1,22.0,0,29,0,0,13,708,250
1,23.0,0,30,0,0,14,706,250
1,24.0,0,31,0,0,15,704,250
1,25.0,0,33,0,0,15,702,250
1,26.0,0,31,0,0,18,701,250
1,27.0,0,29,0,0,20,701,250
1,28.0,0,25,0,0,25,700,250
1,29.0,0,24,0,0,26,700,250
1,30.0,0,21,0,0,29,700,250
1,31.0,0,21,0,0,29,700,250
1,32.0,0,21,0,0,29,700,250
1,33.0,0,23,0,0,29,698,250
1,34.0,0,20,0,0,32,698,250
1,35.0,0,20,0,0,32,698,250
1,36.0,0,18,0,0,34,698,250
1,37.0,0,18,0,0,34,698,250
1,38.0,0,15,0,0,39,696,250
1,39.0,0,13,0,0,41,696,250
1,40.0,0,14,0,0,41,695,250
1,41.0,0,12,0,0,43,695,250
1,42.0,0,11,0,0,44,695,250
1,43.0,0,11,0,0,45,694,250
1,44.0,0,11,0,0,45,694,250
1,45.0,0,10,0,0,47,693,250
1,46.0,0,8,0,0,49,693,250
1,47.0,0,8,0,0,50,692,250
1,48.0,0,8,0,0,50,692,250
1,49.0,0,8,0,0,51,691,250
1,50.0,0,8,0,0,51,691,250
1,51.0,0,9,0,0,51,690,250
1,52.0,0,9,0,0,51,690,250
1,53.0,0,9,0,0,51,690,250
1,54.0,0,8,0,0,52,690,250
1,55.0,0,8,0,0,52,690,250
1,56.0,0,8,0,0,52,690,250
1,57.0,0,8,0,0,52,690,250
1,58.0,0,8,0,0,52,690,250
1,59.0,0,6,0,0,54,690,250
1,60.0,0,7,0,0,54,689,250
1,61.0,0,7,0,0,55,688,250
1,62.0,0,7,0,0,55,688,250
1,63.0,0,7,0,0,55,688,250
1,64.0,0,6,0,0,56,688,250
1,65.0,0,6,0,0,56,688,250
1,66.0,0,5,0,0,57,688,250
1,67.0,0,5,0,0,57,688,250
1,68.0,0,4,0,0,58,688,250
1,69.0,0,4,0,0,58,688,250
1,70.0,0,3,0,0,59,688,250
1,71.0,0,3,0,0,59,688,250
1,72.0,0,2,0,0,60,688,250
1,73.0,0,2,0,0,60,688,250
1,74.0,0,2,0,0,60,688,250
1,75.0,0,2,0,0,60,688,250
1,76.0,0,2,0,0,60,688,250
1,77.0,0,2,0,0,60,688,250
1,78.0,0,2,0,0,60,688,250
1,79.0,0,4,0,0,60,686,250
1,80.0,0,4,0,0,60,686,250
1,81.0,0,3,0,0,61,686,250
1,82.0,0,2,0,0,62,686,250
1,83.0,0,2,0,0,62,686,250
1,84.0,0,2,0,0,62,686,250
1,85.0,0,2,0,0,62,686,250
1,86.0,0,2,0,0,62,686,250
1,87.0,0,1,0,0,63,686,250
1,88.0,0,1,0,0,63,686,250
1,89.0,0,1,0,0,63,686,250
1,90.0,0,1,0,0,63,686,250
1,91.0,0,1,0,0,63,686,250
1,92.0,0,1,0,0,63,686,250
1,93.0,0,1,0,0,63,686,250
1,94.0,0,1,0,0,63,686,250
1,95.0,0,1,0,0,63,686,250
1,96.0,0,1,0,0,63,686,250
1,97.0,0,1,0,0,63,686,250
1,98.0,0,1,0,0,63,686,250
1,99.0,0,1,0,0,63,686,250
1,100.0,0,0,0,0,64,686,250
1,101.0,0,0,0,0,64,686,250
