"run","tick","Dead","Hospital","InfectedvA","InfectedvB","Susceptible","Vaccinatated","Recovered"
1,1.0,0,1,10,10,990,0,0
1,2.0,0,1,10,11,989,0,0
1,3.0,0,1,10,11,989,0,0
1,4.0,0,1,10,11,988,0,1
1,5.0,0,1,10,13,986,0,1
1,6.0,0,1,11,13,985,0,1
1,7.0,0,1,11,13,985,0,1
1,8.0,0,1,10,14,984,0,2
1,9.0,0,1,12,14,982,0,2
1,10.0,0,1,11,14,982,0,3
1,11.0,1,1,10,15,981,0,3
1,12.0,1,1,10,16,980,0,3
1,13.0,1,1,10,19,977,0,3
1,14.0,1,1,10,23,973,0,3
1,15.0,1,1,10,24,972,0,3
1,16.0,2,1,9,25,971,0,3
1,17.0,3,1,8,27,969,0,3
1,18.0,3,1,8,29,966,0,4
1,19.0,3,1,9,30,964,0,4
1,20.0,3,1,9,31,963,0,4
1,21.0,3,1,4,32,962,0,9
1,22.0,3,1,5,34,957,0,11
1,23.0,3,1,5,35,956,0,11
1,24.0,3,1,5,38,952,0,12
1,25.0,3,1,5,39,951,0,12
1,26.0,3,1,5,37,951,0,14
1,27.0,3,1,4,40,947,0,16
1,28.0,3,1,4,34,946,0,23
1,29.0,3,1,4,35,944,0,24
1,30.0,4,1,1,35,942,0,28
1,31.0,4,1,1,36,940,0,29
1,32.0,5,1,0,38,938,0,29
1,33.0,5,1,0,40,934,0,31
1,34.0,5,1,0,43,931,0,31
1,35.0,5,1,0,45,929,0,31
1,36.0,5,1,0,49,924,0,32
1,37.0,5,1,0,52,921,0,32
1,38.0,5,1,0,53,920,0,32
1,39.0,5,1,0,58,913,0,34
1,40.0,5,1,0,64,905,0,36
1,41.0,5,1,0,61,903,0,41
1,42.0,5,1,0,62,899,0,44
1,43.0,5,1,0,64,896,0,45
1,44.0,5,1,0,68,892,0,45
1,45.0,5,1,0,72,885,0,48
1,46.0,5,1,0,80,875,0,50
1,47.0,5,1,0,79,873,0,53
1,48.0,5,1,0,80,871,0,54
1,49.0,5,1,0,83,868,0,54
1,50.0,5,1,0,89,859,0,57
1,51.0,5,1,0,90,854,0,61
1,52.0,5,1,0,92,847,0,66
1,53.0,5,1,0,96,842,0,67
1,54.0,5,1,0,98,839,0,68
1,55.0,5,1,0,101,835,0,69
1,56.0,5,1,0,100,832,0,73
1,57.0,5,1,0,105,826,0,74
1,58.0,5,1,0,110,819,0,76
1,59.0,5,1,0,110,817,0,78
1,60.0,5,1,0,114,811,0,80
1,61.0,5,1,0,111,807,0,87
1,62.0,5,1,0,111,803,0,91
1,63.0,5,1,0,111,798,0,96
1,64.0,5,1,0,109,793,0,103
1,65.0,5,1,0,112,787,0,106
1,66.0,5,1,0,116,782,0,107
1,67.0,5,1,0,113,779,0,113
1,68.0,5,1,0,110,778,0,117
1,69.0,5,1,0,111,775,0,119
1,70.0,5,1,0,108,773,0,124
1,71.0,5,1,0,104,772,0,129
1,72.0,5,1,0,104,768,0,133
1,73.0,5,1,0,100,765,0,140
1,74.0,5,1,0,99,757,0,149
1,75.0,5,1,0,104,751,0,150
1,76.0,5,1,0,106,745,0,154
1,77.0,5,1,0,110,739,0,156
1,78.0,5,1,0,115,731,0,159
1,79.0,5,1,0,111,730,0,164
1,80.0,5,1,0,111,723,0,171
1,81.0,5,1,0,115,714,0,176
1,82.0,5,1,0,121,705,0,179
1,83.0,5,1,0,124,697,0,184
1,84.0,5,1,0,128,690,0,187
1,85.0,5,1,0,128,684,0,193
1,86.0,5,1,0,129,677,0,199
1,87.0,5,1,0,131,673,0,201
1,88.0,5,1,0,125,670,0,210
1,89.0,5,1,0,127,664,0,214
1,90.0,5,1,0,129,657,0,219
1,91.0,5,1,0,130,652,0,223
1,92.0,5,1,0,133,645,0,227
1,93.0,5,1,0,129,639,0,237
1,94.0,5,1,0,131,630,0,244
1,95.0,5,1,0,137,621,0,247
1,96.0,5,1,0,136,620,0,249
1,97.0,5,1,0,131,617,0,257
1,98.0,5,1,0,139,607,0,259
1,99.0,5,1,0,139,606,0,260
1,100.0,5,1,0,141,600,0,264
1,101.0,5,1,0,145,593,0,267
1,102.0,5,1,0,147,586,0,272
1,103.0,5,1,0,149,581,0,275
1,104.0,5,1,0,150,574,0,281
1,105.0,5,1,0,150,567,0,288
1,106.0,5,1,0,150,561,0,294
1,107.0,5,1,0,155,552,0,298
1,108.0,5,1,0,155,547,0,303
1,109.0,5,1,0,154,540,0,311
1,110.0,5,1,0,156,530,0,319
1,111.0,5,1,0,160,520,0,325
1,112.0,5,1,0,163,512,0,330
1,113.0,5,1,0,160,507,0,338
1,114.0,5,1,0,164,494,0,347
1,115.0,5,1,0,171,482,0,352
1,116.0,5,1,0,177,471,0,357
1,117.0,5,1,0,180,460,0,365
1,118.0,5,1,0,173,458,0,374
1,119.0,5,1,0,175,451,0,379
1,120.0,5,1,0,175,447,0,383
1,121.0,5,1,0,172,440,0,393
1,122.0,5,1,0,168,434,0,403
1,123.0,5,1,0,160,432,0,413
1,124.0,5,1,0,167,422,0,416
1,125.0,5,1,0,166,417,0,422
1,126.0,5,1,0,158,415,0,432
1,127.0,5,1,0,161,410,0,434
1,128.0,5,1,0,162,404,0,439
1,129.0,5,1,0,164,397,0,444
1,130.0,5,1,0,163,391,0,451
1,131.0,5,1,0,163,386,0,456
1,132.0,5,1,0,157,383,0,465
1,133.0,5,1,0,156,378,0,471
1,134.0,5,1,0,152,374,0,479
1,135.0,5,1,0,151,370,0,484
1,136.0,5,1,0,150,366,0,489
1,137.0,5,1,0,148,361,0,496
1,138.0,5,1,0,140,357,0,508
1,139.0,5,1,0,138,350,0,517
1,140.0,5,1,0,135,346,0,524
1,141.0,5,1,0,133,343,0,529
1,142.0,5,1,0,131,336,0,538
1,143.0,5,1,0,128,332,0,545
1,144.0,5,1,0,122,329,0,554
1,145.0,5,1,0,121,320,0,564
1,146.0,5,1,0,122,316,0,567
1,147.0,5,1,0,118,314,0,573
1,148.0,5,1,0,116,312,0,577
1,149.0,5,1,0,115,306,0,584
1,150.0,5,1,0,112,304,0,589
1,151.0,5,1,0,116,297,0,592
1,152.0,5,1,0,110,294,0,601
1,153.0,5,1,0,108,290,0,607
1,154.0,5,1,0,108,287,0,610
1,155.0,6,1,0,106,283,0,615
1,156.0,6,1,0,101,281,0,622
1,157.0,6,1,0,94,280,0,630
1,158.0,6,1,0,88,280,0,636
1,159.0,6,1,0,86,276,0,642
1,160.0,6,1,0,83,275,0,646
1,161.0,6,1,0,81,273,0,650
1,162.0,6,1,0,79,272,0,653
1,163.0,6,1,0,80,266,0,658
1,164.0,6,1,0,76,265,0,663
1,165.0,6,1,0,75,262,0,667
1,166.0,6,1,0,73,262,0,669
1,167.0,6,1,0,69,261,0,674
1,168.0,6,1,0,67,261,0,676
1,169.0,6,1,0,66,259,0,679
1,170.0,6,1,0,63,256,0,685
1,171.0,6,1,0,62,255,0,687
1,172.0,6,1,0,65,252,0,687
1,173.0,6,1,0,58,250,0,696
1,174.0,6,1,0,55,250,0,699
1,175.0,6,1,0,54,249,0,701
1,176.0,6,1,0,52,248,0,704
1,177.0,6,1,0,48,246,0,710
1,178.0,6,1,0,47,246,0,711
1,179.0,6,1,0,42,246,0,716
1,180.0,6,1,0,40,245,0,719
1,181.0,6,1,0,38,244,0,722
1,182.0,6,1,0,34,244,0,726
1,183.0,6,1,0,33,242,0,729
1,184.0,6,1,0,32,242,0,730
1,185.0,6,1,0,32,241,0,731
1,186.0,6,1,0,31,241,0,732
1,187.0,6,1,0,27,241,0,736
1,188.0,6,1,0,28,239,0,737
1,189.0,6,1,0,27,238,0,739
1,190.0,6,1,0,26,236,0,742
1,191.0,6,1,0,25,235,0,744
1,192.0,6,1,0,25,234,0,745
1,193.0,6,1,0,22,234,0,748
1,194.0,6,1,0,23,233,0,748
1,195.0,6,1,0,22,233,0,749
1,196.0,6,1,0,22,233,0,749
1,197.0,6,1,0,20,233,0,751
1,198.0,6,1,0,18,232,0,754
1,199.0,6,1,0,18,232,0,754
1,200.0,6,1,0,17,232,0,755
1,201.0,6,1,0,16,232,0,756
1,202.0,6,1,0,15,232,0,757
1,203.0,6,1,0,14,232,0,758
1,204.0,6,1,0,16,230,0,758
1,205.0,6,1,0,15,229,0,760
1,206.0,6,1,0,15,229,0,760
1,207.0,6,1,0,15,228,0,761
1,208.0,6,1,0,14,228,0,762
1,209.0,6,1,0,13,228,0,763
1,210.0,6,1,0,13,228,0,763
1,211.0,6,1,0,13,227,0,764
1,212.0,6,1,0,13,227,0,764
1,213.0,6,1,0,12,227,0,765
