"run","tick","Dead","InfectedvA","InfectedvB","Quarantined","Recovered","Susceptible","Vaccinated"
1,1.0,0,10,0,0,0,990,0
1,2.0,0,11,0,0,0,989,0
1,3.0,0,12,0,0,0,988,0
1,4.0,0,13,0,0,0,987,0
1,5.0,0,15,0,0,0,985,0
1,6.0,0,19,0,0,0,981,0
1,7.0,0,19,0,0,0,981,0
1,8.0,0,19,0,0,0,981,0
1,9.0,0,25,0,0,0,975,0
1,10.0,0,25,0,0,0,975,0
1,11.0,0,29,0,0,1,970,0
1,12.0,0,34,0,0,1,965,0
1,13.0,0,37,0,0,2,961,0
1,14.0,0,38,0,0,2,960,0
1,15.0,0,40,0,0,2,958,0
1,16.0,0,45,0,0,2,953,0
1,17.0,0,49,0,0,2,949,0
1,18.0,0,51,0,0,2,947,0
1,19.0,0,54,0,0,2,944,0
1,20.0,0,54,0,0,4,942,0
1,21.0,0,48,0,0,13,939,0
1,22.0,0,48,0,0,14,938,0
1,23.0,0,48,0,0,15,937,0
1,24.0,0,51,0,0,17,932,0
1,25.0,0,50,0,0,19,931,0
1,26.0,0,50,0,0,22,928,0
1,27.0,0,53,0,0,25,922,0
1,28.0,0,58,0,0,25,917,0
1,29.0,0,59,0,0,25,916,0
1,30.0,0,53,0,0,31,916,0
1,31.0,0,52,0,0,32,916,0
1,32.0,0,52,0,0,36,912,0
1,33.0,0,52,0,0,41,907,0
1,34.0,0,50,0,0,45,905,0
1,35.0,0,54,0,0,45,901,0
1,36.0,0,53,0,0,47,900,0
1,37.0,0,52,0,0,52,896,0
1,38.0,0,54,0,0,54,892,0
1,39.0,0,55,0,0,56,889,0
1,40.0,0,53,0,0,60,887,0
1,41.0,0,54,0,0,63,883,0
1,42.0,0,52,0,0,68,880,0
1,43.0,0,53,0,0,71,876,0
1,44.0,0,53,0,0,72,875,0
1,45.0,0,54,0,0,76,870,0
1,46.0,0,56,0,0,77,867,0
1,47.0,0,56,0,0,79,865,0
1,48.0,0,52,0,0,84,864,0
1,49.0,0,51,0,0,89,860,0
1,50.0,0,52,0,0,91,857,0
1,51.0,0,52,0,0,92,856,0
1,52.0,0,51,0,0,94,855,0
1,53.0,0,50,0,0,97,853,0
1,54.0,0,50,0,0,101,849,0
1,55.0,0,53,0,0,103,844,0
1,56.0,0,50,0,0,107,843,0
1,57.0,0,50,0,0,108,842,0
1,58.0,0,53,0,0,111,836,0
1,59.0,0,52,0,0,114,834,0
1,60.0,0,55,0,0,115,830,0
1,61.0,0,56,0,0,116,828,0
1,62.0,0,54,0,0,120,826,0
1,63.0,0,53,0,0,123,824,0
1,64.0,0,52,0,0,126,822,0
1,65.0,0,54,0,0,127,819,0
1,66.0,0,52,0,0,132,816,0
1,67.0,0,53,0,0,134,813,0
1,68.0,0,52,0,0,136,812,0
1,69.0,0,51,0,0,140,809,0
1,70.0,0,51,0,0,145,804,0
1,71.0,0,51,0,0,147,802,0
1,72.0,0,51,0,0,149,800,0
1,73.0,0,57,0,0,150,793,0
1,74.0,0,57,0,0,152,791,0
1,75.0,0,57,0,0,155,788,0
1,76.0,0,55,0,0,161,784,0
1,77.0,0,57,0,0,163,780,0
1,78.0,0,60,0,0,164,776,0
1,79.0,0,59,0,0,168,773,0
1,80.0,0,58,0,0,171,771,0
1,81.0,0,57,0,0,175,768,0
1,82.0,0,56,0,0,176,768,0
1,83.0,0,54,0,0,179,767,0
1,84.0,0,53,0,0,182,765,0
1,85.0,0,58,0,0,184,758,0
1,86.0,0,57,0,0,186,757,0
1,87.0,0,56,0,0,190,754,0
1,88.0,0,57,0,0,192,751,0
1,89.0,0,57,0,0,194,749,0
1,90.0,0,57,0,0,197,746,0
1,91.0,0,53,0,0,201,746,0
1,92.0,0,49,0,0,206,745,0
1,93.0,0,49,0,0,207,744,0
1,94.0,0,44,0,0,213,743,0
1,95.0,0,44,0,0,215,741,0
1,96.0,0,43,0,0,219,738,0
1,97.0,0,43,0,0,222,735,0
1,98.0,0,39,0,0,227,734,0
1,99.0,0,36,0,0,230,734,0
1,100.0,0,33,0,0,235,732,0
1,101.0,0,32,0,0,238,730,0
1,102.0,0,29,0,0,243,728,0
1,103.0,0,29,0,0,243,728,0
1,104.0,0,28,0,0,244,728,0
1,105.0,0,28,0,0,247,725,0
1,106.0,0,23,0,0,252,725,0
1,107.0,0,25,0,0,252,723,0
1,108.0,0,24,0,0,254,722,0
1,109.0,0,23,0,0,256,721,0
1,110.0,0,23,0,0,258,719,0
1,111.0,0,22,0,0,260,718,0
1,112.0,0,25,0,0,260,715,0
1,113.0,0,28,0,0,260,712,0
1,114.0,0,28,0,0,262,710,0
1,115.0,0,26,0,0,265,709,0
1,116.0,0,28,0,0,266,706,0
1,117.0,0,26,0,0,268,706,0
1,118.0,0,24,0,0,271,705,0
1,119.0,0,24,0,0,271,705,0
1,120.0,0,25,0,0,271,704,0
1,121.0,0,27,0,0,271,702,0
1,122.0,0,25,0,0,273,702,0
1,123.0,0,28,0,0,273,699,0
1,124.0,0,29,0,0,273,698,0
1,125.0,0,29,0,0,273,698,0
1,126.0,0,25,0,0,277,698,0
1,127.0,0,26,0,0,277,697,0
1,128.0,0,24,0,0,279,697,0
1,129.0,0,24,0,0,280,696,0
1,130.0,0,24,0,0,281,695,0
1,131.0,0,22,0,0,283,695,0
1,132.0,0,20,0,0,285,695,0
1,133.0,0,17,0,0,288,695,0
1,134.0,0,14,0,0,291,695,0
1,135.0,0,17,0,0,292,691,0
1,136.0,0,17,0,0,293,690,0
1,137.0,0,14,0,0,296,690,0
1,138.0,0,14,0,0,296,690,0
1,139.0,0,13,0,0,297,690,0
1,140.0,0,13,0,0,297,690,0
