"run","tick","Dead","Hospital","InfectedvA","InfectedvB","Susceptible","Vaccinatated","Recovered"
1,1.0,0,1,9,11,989,0,1
1,2.0,0,1,8,13,987,0,2
1,3.0,0,1,9,14,985,0,2
1,4.0,0,1,9,15,984,0,2
1,5.0,0,1,9,18,981,0,2
1,6.0,0,1,9,19,980,0,2
1,7.0,0,1,9,21,977,0,3
1,8.0,1,1,9,22,974,0,4
1,9.0,1,1,9,25,971,0,4
1,10.0,1,1,11,29,965,0,4
1,11.0,1,1,11,34,960,0,4
1,12.0,1,1,11,38,955,0,5
1,13.0,1,1,12,42,950,0,5
1,14.0,2,1,11,41,949,0,7
1,15.0,2,1,11,44,946,0,7
1,16.0,3,1,10,42,946,0,9
1,17.0,3,1,10,48,940,0,9
1,18.0,3,1,10,52,936,0,9
1,19.0,4,1,9,53,933,0,11
1,20.0,5,1,11,57,926,0,11
1,21.0,5,1,9,61,919,0,16
1,22.0,5,1,9,59,918,0,19
1,23.0,6,1,10,64,911,0,19
1,24.0,6,1,8,70,905,0,21
1,25.0,6,1,8,72,903,0,21
1,26.0,7,1,7,72,901,0,23
1,27.0,7,1,7,80,892,0,24
1,28.0,9,1,7,80,883,0,31
1,29.0,9,1,8,80,878,0,35
1,30.0,9,1,10,78,872,0,41
1,31.0,9,1,10,84,864,0,43
1,32.0,10,1,9,89,858,0,44
1,33.0,10,1,9,93,849,0,49
1,34.0,10,1,9,97,844,0,50
1,35.0,12,1,7,103,837,0,51
1,36.0,13,1,5,104,831,0,57
1,37.0,13,1,5,108,823,0,61
1,38.0,13,1,6,111,813,0,67
1,39.0,14,1,5,117,803,0,71
1,40.0,14,1,5,118,798,0,75
1,41.0,14,1,4,123,789,0,80
1,42.0,15,1,3,130,781,0,81
1,43.0,16,1,1,136,770,0,87
1,44.0,16,1,1,136,768,0,89
1,45.0,16,1,1,139,761,0,93
1,46.0,16,1,1,144,755,0,94
1,47.0,16,1,1,147,749,0,97
1,48.0,16,1,1,148,743,0,102
1,49.0,16,1,0,150,736,0,108
1,50.0,16,1,0,160,724,0,110
1,51.0,16,1,0,162,718,0,114
1,52.0,16,1,0,158,714,0,122
1,53.0,16,1,0,167,704,0,123
1,54.0,16,1,0,175,695,0,124
1,55.0,16,1,0,182,679,0,133
1,56.0,16,1,0,185,672,0,137
1,57.0,16,1,0,191,661,0,142
1,58.0,16,1,0,189,657,0,148
1,59.0,16,1,0,193,648,0,153
1,60.0,16,1,0,195,638,0,161
1,61.0,16,1,0,195,631,0,168
1,62.0,16,1,0,196,623,0,175
1,63.0,16,1,0,198,616,0,180
1,64.0,16,1,0,205,606,0,183
1,65.0,16,1,0,208,595,0,191
1,66.0,16,1,0,205,585,0,204
1,67.0,16,1,0,202,576,0,216
1,68.0,16,1,0,204,567,0,223
1,69.0,16,1,0,206,556,0,232
1,70.0,16,1,0,205,550,0,239
1,71.0,16,1,0,202,538,0,254
1,72.0,16,1,0,205,532,0,257
1,73.0,16,1,0,205,524,0,265
1,74.0,16,1,0,202,520,0,272
1,75.0,16,1,0,209,506,0,279
1,76.0,16,1,0,214,495,0,285
1,77.0,16,1,0,212,490,0,292
1,78.0,16,1,0,208,484,0,302
1,79.0,16,1,0,208,478,0,308
1,80.0,16,1,0,210,472,0,312
1,81.0,16,1,0,204,468,0,322
1,82.0,16,1,0,200,463,0,331
1,83.0,16,1,0,195,454,0,345
1,84.0,16,1,0,193,449,0,352
1,85.0,16,1,0,195,440,0,359
1,86.0,16,1,0,195,434,0,365
1,87.0,16,1,0,191,427,0,376
1,88.0,16,1,0,189,421,0,384
1,89.0,16,1,0,187,416,0,391
1,90.0,16,1,0,187,409,0,398
1,91.0,16,1,0,184,405,0,405
1,92.0,16,1,0,178,402,0,414
1,93.0,16,1,0,173,395,0,426
1,94.0,16,1,0,168,390,0,436
1,95.0,16,1,0,169,385,0,440
1,96.0,16,1,0,165,381,0,448
1,97.0,16,1,0,158,375,0,461
1,98.0,16,1,0,158,370,0,466
1,99.0,16,1,0,151,366,0,477
1,100.0,16,1,0,147,364,0,483
1,101.0,16,1,0,144,358,0,492
1,102.0,16,1,0,142,355,0,497
1,103.0,16,1,0,137,349,0,508
1,104.0,16,1,0,133,346,0,515
1,105.0,16,1,0,130,342,0,522
1,106.0,16,1,0,127,340,0,527
1,107.0,16,1,0,128,334,0,532
1,108.0,16,1,0,127,328,0,539
1,109.0,16,1,0,129,322,0,543
1,110.0,16,1,0,126,319,0,549
1,111.0,16,1,0,119,316,0,559
1,112.0,16,1,0,116,315,0,563
1,113.0,16,1,0,113,311,0,570
1,114.0,16,1,0,114,303,0,577
1,115.0,16,1,0,110,300,0,584
1,116.0,16,1,0,111,294,0,589
1,117.0,16,1,0,111,292,0,591
1,118.0,16,1,0,107,292,0,595
1,119.0,16,1,0,106,289,0,599
1,120.0,16,1,0,108,285,0,601
1,121.0,16,1,0,106,280,0,608
1,122.0,16,1,0,100,279,0,615
1,123.0,16,1,0,94,279,0,621
1,124.0,16,1,0,96,274,0,624
1,125.0,16,1,0,95,268,0,631
1,126.0,16,1,0,92,266,0,636
1,127.0,16,1,0,89,262,0,643
1,128.0,16,1,0,91,259,0,644
1,129.0,16,1,0,85,257,0,652
1,130.0,16,1,0,86,253,0,655
1,131.0,16,1,0,82,252,0,660
1,132.0,16,1,0,79,251,0,664
1,133.0,16,1,0,77,249,0,668
1,134.0,16,1,0,80,245,0,669
1,135.0,16,1,0,77,244,0,673
1,136.0,16,1,0,75,241,0,678
1,137.0,16,1,0,70,239,0,685
1,138.0,16,1,0,70,237,0,687
1,139.0,16,1,0,68,237,0,689
1,140.0,16,1,0,68,236,0,690
1,141.0,16,1,0,66,236,0,692
1,142.0,16,1,0,62,234,0,698
1,143.0,16,1,0,60,232,0,702
1,144.0,16,1,0,57,231,0,706
1,145.0,16,1,0,55,231,0,708
1,146.0,16,1,0,55,231,0,708
1,147.0,16,1,0,54,230,0,710
1,148.0,16,1,0,53,228,0,713
1,149.0,16,1,0,50,226,0,718
1,150.0,16,1,0,50,225,0,719
1,151.0,16,1,0,50,225,0,719
1,152.0,16,1,0,47,224,0,723
1,153.0,16,1,0,43,223,0,728
1,154.0,16,1,0,43,221,0,730
1,155.0,16,1,0,40,220,0,734
1,156.0,16,1,0,38,220,0,736
1,157.0,16,1,0,38,218,0,738
1,158.0,16,1,0,37,215,0,742
1,159.0,16,1,0,35,214,0,745
1,160.0,16,1,0,35,213,0,746
1,161.0,16,1,0,33,213,0,748
1,162.0,16,1,0,29,212,0,753
1,163.0,16,1,0,28,212,0,754
1,164.0,16,1,0,26,211,0,757
1,165.0,16,1,0,28,208,0,758
1,166.0,16,1,0,30,205,0,759
1,167.0,16,1,0,31,204,0,759
1,168.0,16,1,0,31,203,0,760
1,169.0,16,1,0,31,203,0,760
1,170.0,16,1,0,29,203,0,762
1,171.0,16,1,0,27,202,0,765
1,172.0,16,1,0,26,202,0,766
1,173.0,16,1,0,28,200,0,766
1,174.0,16,1,0,29,199,0,766
1,175.0,16,1,0,26,199,0,769
1,176.0,16,1,0,25,198,0,771
1,177.0,16,1,0,25,197,0,772
1,178.0,16,1,0,24,197,0,773
1,179.0,16,1,0,24,197,0,773
1,180.0,16,1,0,24,196,0,774
1,181.0,16,1,0,25,195,0,774
1,182.0,16,1,0,25,194,0,775
1,183.0,16,1,0,24,194,0,776
1,184.0,16,1,0,24,194,0,776
1,185.0,16,1,0,22,194,0,778
1,186.0,16,1,0,20,194,0,780
1,187.0,16,1,0,18,194,0,782
1,188.0,16,1,0,17,194,0,783
1,189.0,16,1,0,17,194,0,783
1,190.0,16,1,0,16,194,0,784
1,191.0,16,1,0,16,194,0,784
1,192.0,16,1,0,17,192,0,785
1,193.0,16,1,0,14,192,0,788
1,194.0,16,1,0,11,192,0,791
1,195.0,16,1,0,11,192,0,791
1,196.0,16,1,0,11,191,0,792
1,197.0,16,1,0,11,191,0,792
1,198.0,16,1,0,11,190,0,793
1,199.0,16,1,0,11,189,0,794
1,200.0,16,1,0,11,189,0,794
1,201.0,16,1,0,10,189,0,795
1,202.0,16,1,0,9,189,0,796
1,203.0,16,1,0,10,188,0,796
1,204.0,16,1,0,9,188,0,797
1,205.0,16,1,0,9,187,0,798
1,206.0,16,1,0,9,187,0,798
1,207.0,16,1,0,10,186,0,798
1,208.0,16,1,0,8,186,0,800
1,209.0,16,1,0,7,186,0,801
1,210.0,16,1,0,6,186,0,802
1,211.0,16,1,0,6,186,0,802
1,212.0,16,1,0,6,186,0,802
1,213.0,16,1,0,6,186,0,802
1,214.0,16,1,0,6,186,0,802
1,215.0,16,1,0,6,186,0,802
1,216.0,16,1,0,6,186,0,802
1,217.0,16,1,0,8,184,0,802
1,218.0,16,1,0,7,184,0,803
1,219.0,16,1,0,7,184,0,803
1,220.0,16,1,0,7,183,0,804
1,221.0,16,1,0,7,183,0,804
1,222.0,16,1,0,7,183,0,804
1,223.0,16,1,0,8,182,0,804
1,224.0,16,1,0,8,182,0,804
1,225.0,16,1,0,8,182,0,804
1,226.0,16,1,0,8,181,0,805
1,227.0,16,1,0,9,180,0,805
1,228.0,16,1,0,9,180,0,805
1,229.0,16,1,0,9,180,0,805
1,230.0,16,1,0,9,180,0,805
1,231.0,16,1,0,7,180,0,807
1,232.0,16,1,0,7,180,0,807
1,233.0,16,1,0,5,180,0,809
1,234.0,16,1,0,5,180,0,809
1,235.0,16,1,0,5,180,0,809
1,236.0,16,1,0,5,180,0,809
1,237.0,16,1,0,5,180,0,809
1,238.0,16,1,0,5,180,0,809
1,239.0,16,1,0,5,180,0,809
1,240.0,16,1,0,5,180,0,809
1,241.0,16,1,0,5,180,0,809
1,242.0,16,1,0,5,180,0,809
1,243.0,16,1,0,6,179,0,809
1,244.0,16,1,0,6,179,0,809
1,245.0,16,1,0,4,179,0,811
1,246.0,16,1,0,4,179,0,811
1,247.0,16,1,0,4,179,0,811
1,248.0,16,1,0,3,179,0,812
1,249.0,16,1,0,3,179,0,812
1,250.0,16,1,0,3,179,0,812
1,251.0,16,1,0,2,179,0,813
1,252.0,16,1,0,2,179,0,813
1,253.0,16,1,0,2,179,0,813
1,254.0,16,1,0,2,179,0,813
1,255.0,16,1,0,1,179,0,814
1,256.0,16,1,0,1,179,0,814
1,257.0,16,1,0,1,179,0,814
1,258.0,16,1,0,1,179,0,814
1,259.0,16,1,0,1,179,0,814
1,260.0,16,1,0,1,179,0,814
1,261.0,16,1,0,1,179,0,814
1,262.0,16,1,0,1,179,0,814
1,263.0,16,1,0,1,179,0,814
1,264.0,16,1,0,1,179,0,814
1,265.0,16,1,0,1,179,0,814
1,266.0,16,1,0,1,179,0,814
1,267.0,16,1,0,1,179,0,814
1,268.0,16,1,0,1,179,0,814
1,269.0,16,1,0,1,179,0,814
1,270.0,16,1,0,1,179,0,814
1,271.0,16,1,0,0,179,0,815
