"run","tick","Dead","InfectedvA","InfectedvB","Quarantined","Recovered","Susceptible","Vaccinated"
1,1.0,0,6,7,0,0,997,100
1,2.0,0,6,8,0,0,996,100
1,3.0,0,7,8,0,0,995,100
1,4.0,0,9,9,0,0,992,100
1,5.0,0,10,9,0,0,991,100
1,6.0,0,10,10,0,0,990,100
1,7.0,0,10,12,0,0,988,100
1,8.0,0,10,12,0,1,987,100
1,9.0,0,13,14,0,1,982,100
1,10.0,0,13,15,0,1,981,100
1,11.0,0,14,17,0,1,978,100
1,12.0,0,17,18,0,1,974,100
1,13.0,0,18,20,0,1,971,100
1,14.0,0,13,21,0,6,970,100
1,15.0,0,12,24,0,7,967,100
1,16.0,0,14,27,0,7,962,100
1,17.0,0,14,33,0,8,955,100
1,18.0,0,14,37,0,10,949,100
1,19.0,0,14,39,0,11,946,100
1,20.0,0,15,41,0,11,943,100
1,21.0,0,17,39,0,17,937,100
1,22.0,0,17,37,0,20,936,100
1,23.0,0,15,38,0,24,933,100
1,24.0,0,19,42,0,24,925,100
1,25.0,0,21,43,0,26,920,100
1,26.0,0,21,42,0,32,915,100
1,27.0,0,24,42,0,34,910,100
1,28.0,0,24,45,0,35,906,100
1,29.0,0,25,45,0,36,904,100
1,30.0,1,25,45,0,40,899,100
1,31.0,1,28,47,0,43,891,100
1,32.0,1,29,50,0,46,884,100
1,33.0,1,29,52,0,48,880,100
1,34.0,1,32,55,0,51,871,100
1,35.0,1,32,56,0,56,865,100
1,36.0,1,32,57,0,61,859,100
1,37.0,1,32,56,0,67,854,100
1,38.0,1,32,51,0,75,851,100
1,39.0,1,32,53,0,81,843,100
1,40.0,1,31,53,0,86,839,100
1,41.0,1,30,54,0,91,834,100
1,42.0,1,32,56,0,95,826,100
1,43.0,1,34,59,0,96,820,100
1,44.0,1,34,58,0,101,816,100
1,45.0,1,33,58,0,108,810,100
1,46.0,1,33,58,0,112,806,100
1,47.0,1,36,63,0,114,796,100
1,48.0,1,34,65,0,121,789,100
1,49.0,1,35,63,0,127,784,100
1,50.0,1,35,65,0,129,780,100
1,51.0,1,38,64,0,133,774,100
1,52.0,1,36,65,0,140,768,100
1,53.0,1,36,63,0,148,762,100
